sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
seeds,16,3,42,2,-153.26711059662722,-153.26711059662722,0.0,16.820031584240496,True,1.3851408274006345,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,43,2,-136.0634329689806,-153.26711059662722,11.224637536831855,16.772718065418303,False,1.3695992059528768,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,44,2,-153.2608488673824,-153.26711059662722,0.004085500940441283,16.87647293880582,True,1.376780890762973,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,45,2,-153.2608488673824,-153.26711059662722,0.004085500940441283,16.96860241983086,True,1.376780890762973,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,46,2,-153.23187921152646,-153.26711059662722,0.022986918043676658,16.884182270616293,True,1.4578597337788786,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,42,2,-335.9747295240489,-336.15232144200877,0.05283078730441684,30.054690977558494,True,1.5323130382754206,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,43,2,-335.82332290065153,-336.15232144200877,0.09787186354861864,30.046322636306286,True,1.0252409721525555,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,44,2,-336.1222593946752,-336.15232144200877,0.008942983705898515,30.33558089658618,True,1.4638129909258697,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,45,2,-336.1358449771381,-336.15232144200877,0.004901487754118071,30.379882430657744,True,1.4638807071588888,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,46,2,-336.07853556721267,-336.15232144200877,0.021950130964313593,30.244964310899377,True,1.1836913736499022,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
