backend,qaoa_seed,task_arn,n_assets,n_select,energy_quantum,energy_classical,gap_pct,selected_assets,classical_assets,sharpe_ratio,sharpe_classical,shots,distinct_bitstrings,feasible_shots,feasible_fraction,best_energy_any_cardinality,data_start,data_end
braket_ionq,42,arn:aws:braket:us-east-1:000000000000:quantum-task/5f0c0d93-e4a8-4d8f-b4d6-1ad17e6445ad,8,2,-36.150768603026215,-36.252611680776944,0.2809261816707448,5 6,0 6,1.337964475552203,1.3218756853432454,100,60,25,0.25,-36.150768603026215,2023-08-06,2026-08-05
braket_ionq,43,arn:aws:braket:us-east-1:000000000000:quantum-task/ad6a3540-7945-4059-a5f7-884ba1f2e792,8,2,-36.11061687330323,-36.252611680776944,0.3916815944849792,0 5,0 6,1.088869188485919,1.3218756853432454,100,79,7,0.07,-36.11061687330323,2023-08-06,2026-08-05
braket_ionq,42,arn:aws:braket:us-east-1:000000000000:quantum-task/3792bbb3-8d18-4e00-b345-79a96cc0a267,12,2,-52.25261168074922,-52.25261168074922,0.0,1 9,1 9,1.3218756853432454,1.3218756853432454,100,92,11,0.11,-52.25261168074922,2023-08-06,2026-08-05
braket_ionq,42,arn:aws:braket:us-east-1:000000000000:quantum-task/05c73894-77c9-4dab-8f83-5336fd54a9b6,16,3,-153.2000271022216,-153.26711059662722,0.04376900833092659,1 3 14,1 12 14,1.283647374185967,1.3851408274006345,100,95,18,0.18,-153.2000271022216,2023-08-06,2026-08-05
