n_assets,penalty_label,runs,runs_ok,runs_failed,instances,a_over_crit_median,best_shot_feasible_rate,no_feasible_shot_runs,optimal_rate,within_tau_main_rate,g_off_success_rate,g_off_success_but_not_tau_rate,final_P_F_p25,final_P_F_median,final_P_F_p75,final_P_tau_main_p25,final_P_tau_main_median,final_P_tau_main_p75,final_P_opt_p25,final_P_opt_median,final_P_opt_p75,final_Q_tau_main_1000_p25,final_Q_tau_main_1000_median,final_Q_tau_main_1000_p75,final_Q_opt_1000_p25,final_Q_opt_1000_median,final_Q_opt_1000_p75,initial_P_F_p25,initial_P_F_median,initial_P_F_p75,initial_P_tau_main_p25,initial_P_tau_main_median,initial_P_tau_main_p75,feasible_shot_fraction_p25,feasible_shot_fraction_median,feasible_shot_fraction_p75,g_F_p25,g_F_median,g_F_p75,g_off_p25,g_off_median,g_off_p75,rank_best_feasible_p25,rank_best_feasible_median,rank_best_feasible_p75,deflation_D_p25,deflation_D_median,deflation_D_p75,final_expected_violation_p25,final_expected_violation_median,final_expected_violation_p75,runtime_s_p25,runtime_s_median,runtime_s_p75
12,Amargin,50,50,0,10,3.538141124912944,1.0,0,0.88,0.9,0.88,0.0,0.1282417473598798,0.32117287686560303,0.3961656464089174,0.0025227701844414696,0.007408779812976718,0.011657776311039925,0.0019814247789327055,0.007408779812976718,0.009802649496123195,0.9195382435556803,0.9994077904224966,0.9999919210490282,0.8616284756661989,0.9994077904224966,0.9999437220336652,0.11732832356938161,0.1248072320013307,0.1487874766389723,0.00164980607223697,0.003253159229643643,0.004336651007179171,0.129,0.3185,0.40025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.004899635218029,1.11388288412555,1.2832598956701655,1.0699370190205342,1.398837542766047,11.861952137046487,10.158393666613847,10.205529269762337,10.280981591437012
12,Aheur,50,50,0,10,199.05708987546817,1.0,0,0.8,0.8,0.84,0.04,0.1355268930492457,0.1804417158709839,0.31236369581893086,0.0022000509197823703,0.002699006930924952,0.005223846295848489,0.0022000509197823703,0.0025847498327493668,0.004668192472308874,0.889464670381852,0.9327148035071122,0.994682660500004,0.889464670381852,0.9248369838264356,0.9907127933532298,0.06583334421156906,0.11426837940234691,0.1191039526311215,0.0010121784871444106,0.0017526151495985687,0.0033394844213034958,0.1285,0.2005,0.319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,45.93851747260685,55.38331551445825,58.0870804276855,1.5755252755608495,10.592810258805912,12.923498184016353,10.162233385024592,10.219900415278971,10.301301230443642
16,Amargin,50,50,0,10,3.4579695018270256,0.88,4,0.45652173913043476,0.4782608695652174,0.45652173913043476,0.0,0.02615757521124351,0.3077821154583944,0.39874777079967316,3.220878602405719e-05,0.001089789962861687,0.0019860169413732365,2.90613793367811e-05,0.0007768100767862052,0.0013526638213079423,0.031692690230885584,0.6583661282785397,0.8603520474818248,0.028643148898540527,0.5402314651310949,0.7416848572564986,0.05548771025462429,0.09842679969938217,0.11342596393228632,0.00028461079273256473,0.0005073641950730234,0.0009007627522805706,0.035250000000000004,0.3165,0.41025,0.0,0.013389369065635709,0.1433121527244633,0.0,0.005200938625998611,0.04687016122060618,1.0,2.0,26.75,2.3352594286602835,2.707483610575431,2.8314958309141867,1.3233044738303712,1.6145045717114974,19.62024039069714,17.749438635073602,17.837489913683385,17.931634434498847
16,Aheur,50,50,0,10,115.15916496655164,0.86,7,0.23255813953488372,0.37209302325581395,0.8604651162790697,0.4883720930232558,0.11060050583546399,0.22865425303461961,0.28575034902314655,0.0002166545600630343,0.000502104579936713,0.0008130728165269829,0.00019965770115959458,0.0004065544926561415,0.0005146615148987621,0.19480972815747763,0.39481683069968126,0.556653426528135,0.18099879697721896,0.33411424238168347,0.4023760992687442,0.0301178395648094,0.03496135132809286,0.10090445115565672,4.771884141518967e-05,0.00012608198449015617,0.00036288961928221397,0.11525,0.2275,0.282,0.003600918391140797,0.016376832598068335,0.056428161390152595,4.470623647641825e-05,0.00017495440875287037,0.0007270605947113529,2.0,2.0,6.0,75.30471513997615,88.43389680029597,98.62519330634984,3.0541149396294576,3.9985725218784296,22.663588181867112,17.745379224186763,17.86104813264683,17.92835570196621
20,Amargin,50,50,0,10,3.092285879725817,1.0,0,0.08,0.36,0.24,0.0,0.21348935416790482,0.296453046872557,0.3621061031399222,7.875701248849509e-05,0.00019146245540468954,0.00039782927251508227,3.672638922580518e-05,8.178805364877917e-05,0.00010421740989841055,0.07572852341837197,0.1742638761386046,0.32823684811740317,0.03606069363747669,0.07853584242342115,0.09897325208608465,0.031468535915394114,0.04758393086888191,0.08830381869529447,3.8912293121029506e-05,5.638893890136387e-05,0.00011844343316624872,0.202,0.303,0.36424999999999996,0.006048616872491731,0.02297272390024529,0.0654253957879136,0.0013342754806577207,0.004945737644726318,0.014923628441075252,3.0,6.5,28.25,4.245646058099574,4.428655974473811,5.212760669348396,2.912563681311221,3.669346269659848,10.791776765232868,29.64350135670975,29.81218817131594,31.341445764992386
20,Aheur,50,50,0,10,91.91689512042865,1.0,0,0.04,0.14,0.8,0.66,0.048593266139732805,0.16550198977529362,0.30214444697412546,2.0857976323895855e-05,0.00010339182153984439,0.00021836453379364684,1.027322537083819e-05,3.474916775303427e-05,6.343640779959969e-05,0.020642160023360806,0.09823084849963554,0.1961867828339219,0.010220686275755814,0.03415293135455166,0.061468086652366805,0.03216930826181397,0.08713955571784027,0.09254126539872232,1.2247964946254797e-05,3.731181368493708e-05,6.931956977496156e-05,0.05125,0.1655,0.30125,0.025288341714714592,0.04636410374084353,0.08751520921929858,0.0002061772223275706,0.00036200609798304925,0.000730554737914712,11.0,21.5,84.0,118.30514614324345,124.04424471238491,140.454128909449,3.2018497092385467,14.243820106790196,30.326559183279052,29.687220734311268,29.9216988501139,31.407228495460004
