n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
16,5xAcrit,Aheur,final_P_tau_main,2,0,2,0.0006471397064160556,0.0002024490386247635,0.0010918303742073476,2,0,better
16,5xAcrit,Aheur,final_Q_tau_main_1000,2,0,2,0.09146629982120608,0.0891558828710205,0.09377671677139165,2,0,better
16,5xAcrit,Aheur,final_P_opt,2,0,2,0.00032249229843728244,0.0002024490386247635,0.0004425355582498014,2,0,better
16,5xAcrit,Aheur,g_F,2,0,2,-0.03322038989139635,-0.0664407797827927,0.0,1,1,better
16,5xAcrit,Aheur,g_off,2,0,2,-0.0002811854260000369,-0.0005623708520000738,0.0,1,1,better
16,5xAcrit,Aheur,rank_best_feasible,2,0,2,-1.5,-3.0,0.0,1,1,better
16,5xAcrit,Aheur,feasible_shot_fraction,2,0,2,0.07549999999999998,-0.05099999999999999,0.20199999999999996,1,0,better
16,5xAcrit,Aheur,runtime_s,2,0,2,0.09167440794408321,0.06902876310050488,0.11432005278766155,0,0,worse
16,10xAcrit,Aheur,final_P_F,2,0,2,0.09801364694430958,-0.005752989178290591,0.20178028306690976,1,0,better
16,10xAcrit,Aheur,final_P_tau_main,2,0,2,0.0003658259811345488,0.0002592637902125716,0.00047238817205652595,2,0,better
16,10xAcrit,Aheur,final_Q_tau_main_1000,2,0,2,0.08369861420479613,0.05053873554670418,0.11685849286288807,2,0,better
16,10xAcrit,Aheur,final_P_opt,2,0,2,0.0002225131611339748,0.00018576253205537796,0.0002592637902125716,2,0,better
16,10xAcrit,Aheur,g_F,2,0,2,-0.029290829248871966,-0.0664407797827927,0.007859121285048768,1,0,better
16,10xAcrit,Aheur,g_off,2,0,2,0.0008970879065022476,-0.0005623708520000738,0.002356546665004569,1,0,worse
16,10xAcrit,Aheur,rank_best_feasible,2,0,2,-0.5,-3.0,2.0,1,0,better
16,10xAcrit,Aheur,feasible_shot_fraction,2,0,2,0.07649999999999996,-0.03400000000000003,0.18699999999999994,1,0,better
16,10xAcrit,Aheur,runtime_s,2,0,2,0.14478815672919154,0.14131024852395058,0.1482660649344325,0,0,worse
16,1.1xAcrit,Aheur,final_P_F,2,0,2,-0.12135446569300257,-0.15015039312129375,-0.09255853826471139,0,0,worse
16,1.1xAcrit,Aheur,final_P_tau_main,2,0,2,0.0021336156351026148,0.0003566034138202667,0.003910627856384963,2,0,better
16,1.1xAcrit,Aheur,final_Q_tau_main_1000,2,0,2,0.14241965964026504,0.13135912531638017,0.1534801939641499,2,0,better
16,1.1xAcrit,Aheur,final_P_opt,2,0,2,0.0011170535872224718,0.0003566034138202667,0.001877503760624677,2,0,better
16,1.1xAcrit,Aheur,g_F,2,0,2,-0.03322038989139635,-0.0664407797827927,0.0,1,1,better
16,1.1xAcrit,Aheur,g_off,2,0,2,-0.0002811854260000369,-0.0005623708520000738,0.0,1,1,better
16,1.1xAcrit,Aheur,rank_best_feasible,2,0,2,-1.5,-3.0,0.0,1,1,better
16,1.1xAcrit,Aheur,feasible_shot_fraction,2,0,2,-0.16450000000000004,-0.17600000000000002,-0.15300000000000002,0,0,worse
16,1.1xAcrit,Aheur,runtime_s,2,0,2,0.050640861969441175,-0.039756021462380886,0.14103774540126324,1,0,worse
20,Amargin,Aheur,final_P_F,2,0,2,0.44458279355694685,0.4082489180518678,0.4809166690620259,2,0,better
20,Amargin,Aheur,final_P_tau_main,2,0,2,0.00021308878422132693,6.488878443633439e-05,0.0003612887840063195,2,0,better
20,Amargin,Aheur,final_Q_tau_main_1000,2,0,2,0.1769027419364137,0.062213062484489545,0.29159242138833785,2,0,better
20,Amargin,Aheur,final_P_opt,2,0,2,7.689908488828223e-05,6.488878443633439e-05,8.890938534023007e-05,2,0,better
20,Amargin,Aheur,g_F,2,0,2,-0.044487443019287434,-0.08349478513105896,-0.005480100907515911,2,0,better
20,Amargin,Aheur,g_off,2,0,2,0.017133614166968528,0.0015424894114601285,0.032724738922476924,0,0,worse
