n_assets,penalty_label,shots,runs,Q_tau_final_median,Q_opt_final_median,Q_tau_initial_median,Q_opt_initial_median,Q_tau_uniform_all_median,Q_tau_uniform_F_median,Q_opt_uniform_all_median,Q_opt_uniform_F_median,final_beats_uniform_F_rate,final_beats_uniform_F_runs_opt,final_beats_uniform_F_runs_alt
12,Amargin,10,50,0.05312575268184014,0.05312575268184014,0.023148385150753625,0.021258544331684243,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.06,3,3
12,Amargin,100,50,0.42044485804002735,0.42044485804002735,0.20867998707176713,0.19335955727204224,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.06,3,3
12,Amargin,1000,50,0.9955552332403772,0.9955552332403772,0.9022544487443191,0.8833686098701456,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.06,3,3
12,Amargin,10000,50,1.0,1.0,0.9999999997828526,0.9999999995325826,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,3,3
12,Aheur,10,50,0.05255106024678592,0.05255106024678592,0.016797200935880635,0.016780986447976473,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.0,0,0
12,Aheur,100,50,0.41710556683899813,0.41710556683899813,0.15582776542856608,0.15568853766419177,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.0,0,0
12,Aheur,1000,50,0.995438934525263,0.995438934525263,0.8162147084414213,0.8159113527480935,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.0,0,0
12,Aheur,10000,50,1.0,1.0,0.9999999560338053,0.9999999553022743,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,0,0
16,Amargin,10,50,0.007742996931144384,0.0060558829887967,0.004176822730657665,0.003268584680865612,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.08,5,4
16,Amargin,100,50,0.07478474007841063,0.05885306205009773,0.040991824113956826,0.03220588659300913,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.08,5,4
16,Amargin,1000,50,0.5402371700467605,0.4500327080250427,0.34200282253942044,0.27892466218464607,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.08,5,4
16,Amargin,10000,50,0.9995676520644752,0.9950985147342291,0.9847828379943467,0.960673492606748,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.06,5,4
16,Aheur,10,50,0.004717333061975931,0.004650209279775932,0.0006378654552431366,0.0006293615486767609,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.0,0,0
16,Aheur,100,50,0.04618442378754185,0.04554085616791052,0.00636037629313952,0.006275821000352165,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.0,0,0
16,Aheur,1000,50,0.37677575920602235,0.37255126724796517,0.061813840423892215,0.061015176640768165,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.0,0,0
16,Aheur,10000,50,0.9911597056714105,0.9905318747804056,0.47168771276330335,0.4671733397407102,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.0,0,0
20,Amargin,10,50,0.001362352395051214,0.0005802349732079832,0.00043421876883138657,0.00021261895847793204,1.9073322619911345e-05,0.0041203073609808625,9.536702236905002e-06,0.002062067530338662,0.08,4,4
20,Amargin,100,50,0.013540274770733106,0.005787009478769668,0.004333712919474015,0.0021241562117294646,0.00019071685640812213,0.0404474454306457,9.536292978210036e-05,0.020430378183014807,0.08,4,4
20,Amargin,1000,50,0.127440636924475,0.05636583653016383,0.042501672688594894,0.021039644691622054,0.001905532614865598,0.338259584560454,0.0009532201678953594,0.1865083786494737,0.08,4,4
20,Amargin,10000,50,0.7440887547126336,0.43899345268142437,0.35229042022438195,0.19155216940721526,0.01889275622277957,0.9838981195612596,0.009491417149575684,0.8730797723776871,0.08,4,4
20,Aheur,10,50,0.0007639266855396785,0.0005471171266867153,0.00020889346488974902,0.0001810378324698085,1.9073322619911345e-05,0.0041203073609808625,9.536702236905002e-06,0.002062067530338662,0.0,0,0
20,Aheur,100,50,0.007613058922808474,0.005457720728319026,0.0020869563932981346,0.0018089041750935127,0.00019071685640812213,0.0404474454306457,9.536292978210036e-05,0.020430378183014807,0.0,0,0
20,Aheur,1000,50,0.07357469189680131,0.053256128020572585,0.020673116796700988,0.017942503736669727,0.001905532614865598,0.338259584560454,0.0009532201678953594,0.1865083786494737,0.0,0,0
20,Aheur,10000,50,0.5343019113258651,0.42147113789448165,0.18839424403465047,0.16560988430062212,0.01889275622277957,0.9838981195612596,0.009491417149575684,0.8730797723776871,0.0,0,0
