n_assets,n_select,instances_planned,instances_with_reference,instances_a_crit_zero,seeds,penalty_conditions_nominal,runs_nominal,penalty_conditions_run,runs_expected,runs_done,runs_ok,runs_failed,failure_kinds,runs_without_feasible_shot,runs_best_shot_infeasible,feasible_set_size,reference_seconds_total,runtime_s_median,gpu_hours_total
12,2,30,2,0,42,6,900,6,12,12,12,0,,0,0,66,0.004417151212692261,10.185544536449015,0.033882515695618676
16,3,30,2,0,42,6,900,6,12,12,12,0,,0,0,560,0.05154001712799072,16.672708966303617,0.05551191803637064
20,4,30,2,0,42,6,900,6,12,12,12,0,,0,2,4845,0.6826019641011953,29.78656269982457,0.09929674546855191
