n_assets,treatment,control,pairs,skipped_zero,P_tau_ratio_geomean,P_F_ratio_geomean,R_tau_ratio_geomean,log_share_P_F,P_tau_ratio_median,P_F_ratio_median,R_tau_ratio_median,pairs_P_tau_ratio_above_1,pairs_P_F_ratio_above_1,pairs_R_tau_ratio_above_1
12,Amargin,Aheur,150,0,1.6448249728625821,1.3507251459192873,1.2177347684921747,0.6041420120069253,1.685945069711538,1.255224577405988,1.3727956416803542,122,95,113
16,Amargin,Aheur,150,0,1.594693312706366,1.101422379225819,1.4478490203070538,0.20699862648538683,2.40665392907901,1.258902413894982,1.5560588299533769,116,92,125
20,Amargin,Aheur,150,0,2.291800629152707,1.785112439117536,1.2838410505310525,0.698727825608143,2.519555427115404,1.6094356584724088,1.0187108650949352,120,113,88
