n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
16,5xAcrit,Aheur,final_Q_tau_main_1000,150,0,30,0.09371993525221656,0.06944475480338291,0.11304654038564538,29,0,better
16,5xAcrit,Aheur,final_P_opt,150,0,30,0.00020424884860403836,0.00014588513295166194,0.00024947203064584755,29,0,better
16,5xAcrit,Aheur,g_F,126,24,30,0.004695375493743843,-0.0031778507147081493,0.00925409063400108,11,2,worse
16,5xAcrit,Aheur,g_off,126,24,30,0.0020558490022010473,0.0013276642845714004,0.0048129368025052865,5,1,worse
16,5xAcrit,Aheur,rank_best_feasible,126,24,30,0.5,-0.5,0.5,11,3,worse
16,5xAcrit,Aheur,feasible_shot_fraction,150,0,30,0.07649999999999998,0.04849999999999999,0.09449999999999997,24,3,better
16,5xAcrit,Aheur,runtime_s,150,0,30,-0.01149530615657568,-0.05101432278752327,0.028300235979259014,16,0,better
16,10xAcrit,Aheur,final_P_F,150,0,30,0.009305953375587706,-4.2768584208374705e-05,0.03198348129808437,20,0,better
16,10xAcrit,Aheur,final_P_tau_main,150,0,30,5.641076131723821e-05,1.3512959640138433e-08,0.00017929216846823692,21,0,better
16,10xAcrit,Aheur,final_Q_tau_main_1000,150,0,30,0.0279598647536497,1.2897004399992085e-06,0.05053873554670418,21,0,better
16,10xAcrit,Aheur,final_P_opt,150,0,30,5.641076131723821e-05,1.2908571989100892e-09,0.00012088764924556017,21,0,better
16,10xAcrit,Aheur,g_F,130,20,30,0.0,-0.0014066758772828718,0.0067903442760114,10,7,equal
16,10xAcrit,Aheur,g_off,130,20,30,0.0013292471532523427,0.0009887464926016838,0.0019099881995399163,2,4,worse
16,10xAcrit,Aheur,rank_best_feasible,130,20,30,0.0,-0.25,0.75,10,7,equal
16,10xAcrit,Aheur,feasible_shot_fraction,150,0,30,0.0030000000000000027,0.0,0.01849999999999996,18,6,better
16,10xAcrit,Aheur,runtime_s,150,0,30,-0.002368074841797352,-0.02651127614080906,0.03383877411251848,17,0,better
16,1.1xAcrit,Aheur,final_P_F,150,0,30,0.012908327892318994,-0.0006822640335540697,0.026419380325478414,20,0,better
16,1.1xAcrit,Aheur,final_P_tau_main,150,0,30,0.00038691067612717234,0.0002571342167243529,0.0010508249857821284,30,0,better
16,1.1xAcrit,Aheur,final_Q_tau_main_1000,150,0,30,0.2140883868313116,0.14458011785302943,0.3194118764480777,30,0,better
16,1.1xAcrit,Aheur,final_P_opt,150,0,30,0.00035361848432557963,0.00017725181533023715,0.0008667537485962384,30,0,better
16,1.1xAcrit,Aheur,g_F,136,14,30,-0.013278532539383462,-0.019719126256161564,-0.0052373647446331,21,6,better
16,1.1xAcrit,Aheur,g_off,136,14,30,0.0,-8.199485382412998e-05,8.862754738798221e-05,12,8,equal
16,1.1xAcrit,Aheur,rank_best_feasible,136,14,30,-1.0,-2.0,-0.5,21,6,better
16,1.1xAcrit,Aheur,feasible_shot_fraction,150,0,30,0.011000000000000003,0.0015000000000000013,0.03249999999999999,21,0,better
16,1.1xAcrit,Aheur,runtime_s,150,0,30,0.009805574081838131,-0.039450631476938725,0.047760896384716034,13,0,worse
20,Amargin,Aheur,final_P_F,150,0,30,0.034010506025879295,0.016669721516666416,0.05623167912108329,30,0,better
20,Amargin,Aheur,final_P_tau_main,150,0,30,9.219405728799757e-05,7.633712220922462e-05,0.00013537737822844065,30,0,better
20,Amargin,Aheur,final_Q_tau_main_1000,150,0,30,0.08568693118958387,0.0710255704054839,0.1163231000794459,30,0,better
20,Amargin,Aheur,final_P_opt,150,0,30,6.611293474634294e-05,5.9938472531939624e-05,7.574722985737026e-05,30,0,better
20,Amargin,Aheur,g_F,149,1,30,-0.016114138674683885,-0.031118450065029345,-0.006741711746584073,24,1,better
20,Amargin,Aheur,g_off,149,1,30,0.008082578202029005,0.006430698388199989,0.01105896427592891,1,0,worse
20,Amargin,Aheur,rank_best_feasible,149,1,30,-11.75,-17.5,-3.0,24,1,better
20,Amargin,Aheur,feasible_shot_fraction,150,0,30,0.038000000000000034,0.013000000000000008,0.049500000000000016,29,1,better
20,Amargin,Aheur,runtime_s,150,0,30,-0.005613005720078945,-0.044360073283314705,0.023468106519430876,15,0,better
20,5xAcrit,Aheur,final_P_F,150,0,30,0.0017708229528921038,-0.024440745768515626,0.0026994926770385064,18,0,better
20,5xAcrit,Aheur,final_P_tau_main,150,0,30,2.0435031728993636e-05,2.6447098377957445e-06,4.762699063576292e-05,30,0,better
20,5xAcrit,Aheur,final_Q_tau_main_1000,150,0,30,0.018805180952155276,0.002493153897918432,0.04490249677572544,30,0,better
20,5xAcrit,Aheur,final_P_opt,150,0,30,1.7110650333052035e-05,1.605839827334421e-06,3.736234793905169e-05,30,0,better
20,5xAcrit,Aheur,g_F,149,1,30,-0.014990231813488693,-0.02054189016852793,-0.003335138576400498,23,2,better
20,5xAcrit,Aheur,g_off,149,1,30,0.005744719966485676,0.004362460269281325,0.007710706634603796,0,0,worse
20,5xAcrit,Aheur,rank_best_feasible,149,1,30,-6.0,-15.0,-2.0,23,2,better
20,5xAcrit,Aheur,feasible_shot_fraction,150,0,30,0.0010000000000000005,-0.003,0.004,18,0,better
20,5xAcrit,Aheur,runtime_s,150,0,30,-0.0003706510178744793,-0.024827155750244856,0.04603901831433177,15,0,better
20,10xAcrit,Aheur,final_P_F,150,0,30,0.0029377026605743595,0.002601436634847687,0.0032082756982561023,28,0,better
20,10xAcrit,Aheur,final_P_tau_main,150,0,30,1.1184027925992268e-06,7.342969752244244e-07,1.2386929029162275e-05,28,0,better
20,10xAcrit,Aheur,final_Q_tau_main_1000,150,0,30,0.0011148253817986342,0.0006833334762925136,0.011697265866100148,28,0,better
20,10xAcrit,Aheur,final_P_opt,150,0,30,5.834248497649241e-07,4.806840365745302e-07,5.6842700359993614e-06,28,0,better
20,10xAcrit,Aheur,g_F,149,1,30,-0.00921646904886092,-0.02181410214128475,-0.0016659534390477196,21,1,better
20,10xAcrit,Aheur,g_off,149,1,30,0.003010616516751872,0.002223821729028815,0.004025396181749965,0,0,worse
20,10xAcrit,Aheur,rank_best_feasible,149,1,30,-5.0,-11.0125,-3.0,21,1,better
20,10xAcrit,Aheur,feasible_shot_fraction,150,0,30,0.004500000000000001,0.0034999999999999983,0.0075,26,0,better
20,10xAcrit,Aheur,runtime_s,150,0,30,0.010493670590221882,-0.027659758925437927,0.05656324792653322,13,0,worse
20,1.1xAcrit,Aheur,final_P_F,150,0,30,0.03274267581953605,0.012429555362597766,0.05119958163004529,24,0,better
20,1.1xAcrit,Aheur,final_P_tau_main,150,0,30,0.00016928416880546138,0.00013107222639519023,0.00020498563526416547,30,0,better
20,1.1xAcrit,Aheur,final_Q_tau_main_1000,150,0,30,0.1520840301793765,0.11307804712340719,0.18060120104361715,30,0,better
20,1.1xAcrit,Aheur,final_P_opt,150,0,30,9.339225243820692e-05,8.627880333733629e-05,0.00010801338723354093,30,0,better
20,1.1xAcrit,Aheur,g_F,149,1,30,-0.03293749992831842,-0.05225090523985629,-0.027839940532713357,29,1,better
20,1.1xAcrit,Aheur,g_off,149,1,30,0.01288031707794356,0.009028811617924563,0.017050487722753374,1,0,worse
20,1.1xAcrit,Aheur,rank_best_feasible,149,1,30,-18.0,-23.0,-12.987500000000068,29,1,better
20,1.1xAcrit,Aheur,feasible_shot_fraction,150,0,30,0.026499999999999996,0.014487499999999986,0.05299999999999999,24,0,better
20,1.1xAcrit,Aheur,runtime_s,150,0,30,0.017877936828881502,-0.027020282112061977,0.08470627339556813,13,0,worse
