n_assets,n_select,instances_planned,instances_with_reference,instances_a_crit_zero,seeds,penalty_conditions_nominal,runs_nominal,penalty_conditions_run,runs_expected,runs_done,runs_ok,runs_failed,failure_kinds,runs_without_feasible_shot,runs_best_shot_infeasible,feasible_set_size,reference_seconds_total,runtime_s_median,gpu_hours_total
12,2,30,10,4,42 43 44 45 46,6,900,2,100,100,100,0,,0,0,66,0.020064231008291245,14.948654547799379,0.4395637519305779
16,3,30,10,0,42 43 44 45 46,6,900,2,100,100,100,0,,10,11,560,0.26413047313690186,24.514673547819257,0.6748099872674276
20,4,30,10,0,42 43 44 45 46,6,900,2,100,100,100,0,,0,1,4845,3.4025098364800215,42.91251820418984,1.1814150463155886
