n_assets,quantity,E1,E5
16,Aheur: deflation D median,117.8852301308144,88.43389680029597
16,Amargin − Aheur: final_P_F median diff,0.0004150901677224539,0.00043523932951394784
16,Amargin − Aheur: final_P_F CI low,1.0047391747036727e-05,-0.00048038148513995793
16,Amargin − Aheur: final_P_F CI high,0.00113542013963297,0.04645713698118925
16,Amargin − Aheur: final_P_F instances better / tied / of,8 / 0 / 10,7 / 0 / 10
16,Amargin − Aheur: final_P_tau_main median diff,0.00010438563185743988,0.0001401380868628621
16,Amargin − Aheur: final_P_tau_main CI low,3.5280990573482995e-06,0.00010559690417721868
16,Amargin − Aheur: final_P_tau_main CI high,0.0002699666074477136,0.0002523772418498993
16,Amargin − Aheur: final_P_tau_main instances better / tied / of,10 / 0 / 10,10 / 0 / 10
16,Amargin − Aheur: final_Q_tau_main_1000 median diff,0.04080140774767438,0.05691417572749402
16,Amargin − Aheur: final_Q_tau_main_1000 CI low,0.0035186775795085223,0.029258424928456872
16,Amargin − Aheur: final_Q_tau_main_1000 CI high,0.06191792704497767,0.07419524273938344
16,Amargin − Aheur: final_Q_tau_main_1000 instances better / tied / of,10 / 0 / 10,10 / 0 / 10
16,Amargin − Aheur: final_P_opt median diff,0.00010438563185743988,0.00011670056846924126
16,Amargin − Aheur: final_P_opt CI low,3.5280990573482995e-06,4.479696508497e-05
16,Amargin − Aheur: final_P_opt CI high,0.00015548212104476988,0.00019066617605858474
16,Amargin − Aheur: final_P_opt instances better / tied / of,10 / 0 / 10,10 / 0 / 10
16,Amargin − Aheur: g_F median diff,0.0,-0.21804601543146981
16,Amargin − Aheur: g_F CI low,-2.305193153853101,-2.0548579424200573
16,Amargin − Aheur: g_F CI high,0.0663232508542933,0.13163269846922726
16,Amargin − Aheur: g_F instances better / tied / of,4 / 4 / 10,5 / 3 / 10
16,Amargin − Aheur: g_off median diff,0.27684935236725794,0.1932000494209083
16,Amargin − Aheur: g_off CI low,-0.0010213752351153373,-0.011972315848874383
16,Amargin − Aheur: g_off CI high,1.4126587724730553,0.7560799411679965
16,Amargin − Aheur: g_off instances better / tied / of,2 / 2 / 10,4 / 0 / 10
16,Amargin − Aheur: rank_best_feasible median diff,0.0,-0.25
16,Amargin − Aheur: rank_best_feasible CI low,-1.0,-1.75
16,Amargin − Aheur: rank_best_feasible CI high,0.25,0.25
16,Amargin − Aheur: rank_best_feasible instances better / tied / of,4 / 4 / 10,5 / 3 / 10
16,Amargin − Aheur: feasible_shot_fraction median diff,0.0005,0.0005
16,Amargin − Aheur: feasible_shot_fraction CI low,-0.0005,0.0
16,Amargin − Aheur: feasible_shot_fraction CI high,0.0030000000000000022,0.035500000000000004
16,Amargin − Aheur: feasible_shot_fraction instances better / tied / of,5 / 3 / 10,5 / 4 / 10
16,Amargin − Aheur: runtime_s median diff,-0.06720944913104177,0.05458062933757901
16,Amargin − Aheur: runtime_s CI low,-0.1707841125316918,-0.009697970002889633
16,Amargin − Aheur: runtime_s CI high,0.011725465767085552,0.10301391407847404
16,Amargin − Aheur: runtime_s instances better / tied / of,6 / 0 / 10,3 / 0 / 10
16,Amargin: E2 optimised beats uniform-F at S = 1000 (rate),0.08,0.04
16,Amargin: E2 Q_τ(1000) optimised / unoptimised / uniform-F,0.523 / 0.342 / 0.833,0.658 / 0.398 / 0.902
16,Aheur: E2 optimised beats uniform-F at S = 1000 (rate),0.0,0.0
16,Aheur: E2 Q_τ(1000) optimised / unoptimised / uniform-F,0.336 / 0.062 / 0.833,0.395 / 0.118 / 0.902
16,Amargin / Aheur g_off ratio: pairs,20,17
16,Amargin / Aheur g_off ratio: median total / solution / denominator,60.8 / 1.26 / 47.8,44.7 / 1.62 / 34.3
16,Amargin / Aheur g_off ratio: geometric total = solution × denominator,42.7 = 0.98 × 43.7,69.1 = 2.05 × 33.7
