n_assets,n_select,instance,annealing_seed,energy_optimum,energy_annealing,feasible,reported_gap_pct,gap_of_objective_range_pct,rank,feasible_set_size,sharpe_optimum,sharpe_annealing,sharpe_delta_pct,runtime_s
12,2,0,1000,-52.25261168074922,-52.25261168074922,True,0.0,0.0,1,66,1.3218756853432454,1.3218756853432454,0.0,3.4142408398911357
12,2,0,1001,-52.25261168074922,-52.25261168074922,True,0.0,0.0,1,66,1.3218756853432454,1.3218756853432454,0.0,3.4053276628255844
12,2,0,1002,-52.25261168074922,-52.25261168074922,True,0.0,0.0,1,66,1.3218756853432454,1.3218756853432454,0.0,3.387903304770589
12,2,0,1003,-52.25261168074922,-52.25261168074922,True,0.0,0.0,1,66,1.3218756853432454,1.3218756853432454,0.0,3.3663432439789176
12,2,0,1004,-52.25261168074922,-52.25261168074922,True,0.0,0.0,1,66,1.3218756853432454,1.3218756853432454,0.0,3.366752821020782
12,2,1,1000,-51.84652728797141,-51.84652728797141,True,0.0,0.0,1,66,0.8071062374637792,0.8071062374637792,0.0,3.4095504004508257
12,2,1,1001,-51.84652728797141,-51.84652728797141,True,0.0,0.0,1,66,0.8071062374637792,0.8071062374637792,0.0,3.4186381213366985
12,2,1,1002,-51.84652728797141,-51.84652728797141,True,0.0,0.0,1,66,0.8071062374637792,0.8071062374637792,0.0,3.4024825394153595
12,2,1,1003,-51.84652728797141,-51.84652728797141,True,0.0,0.0,1,66,0.8071062374637792,0.8071062374637792,0.0,3.3882445078343153
12,2,1,1004,-51.84652728797141,-51.84652728797141,True,0.0,0.0,1,66,0.8071062374637792,0.8071062374637792,0.0,3.395400334149599
12,2,2,1000,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.412386196665466
12,2,2,1001,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.3766247909516096
12,2,2,1002,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.375819891691208
12,2,2,1003,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.37302952632308
12,2,2,1004,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.3822701750323176
12,2,3,1000,-52.082687980084636,-52.082687980084636,True,0.0,0.0,1,66,1.5910944783780911,1.5910944783780911,0.0,3.380511501803994
12,2,3,1001,-52.082687980084636,-52.082687980084636,True,0.0,0.0,1,66,1.5910944783780911,1.5910944783780911,0.0,3.421058861538768
12,2,3,1002,-52.082687980084636,-52.082687980084636,True,0.0,0.0,1,66,1.5910944783780911,1.5910944783780911,0.0,3.3956616213545203
12,2,3,1003,-52.082687980084636,-52.082687980084636,True,0.0,0.0,1,66,1.5910944783780911,1.5910944783780911,0.0,3.3997697420418262
12,2,3,1004,-52.082687980084636,-52.082687980084636,True,0.0,0.0,1,66,1.5910944783780911,1.5910944783780911,0.0,3.709216154180467
12,2,4,1000,-52.30715718882962,-52.30715718882962,True,0.0,0.0,1,66,1.4663767341361262,1.4663767341361262,0.0,4.478798504918814
12,2,4,1001,-52.30715718882962,-52.30715718882962,True,0.0,0.0,1,66,1.4663767341361262,1.4663767341361262,0.0,4.492522664368153
12,2,4,1002,-52.30715718882962,-52.30715718882962,True,0.0,0.0,1,66,1.4663767341361262,1.4663767341361262,0.0,4.484367313794792
12,2,4,1003,-52.30715718882962,-52.30715718882962,True,0.0,0.0,1,66,1.4663767341361262,1.4663767341361262,0.0,4.470205910503864
12,2,4,1004,-52.30715718882962,-52.30715718882962,True,0.0,0.0,1,66,1.4663767341361262,1.4663767341361262,0.0,4.482966722920537
12,2,5,1000,-51.86816642870462,-51.86816642870462,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,4.480653668753803
12,2,5,1001,-51.86816642870462,-51.86816642870462,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,4.478949145413935
12,2,5,1002,-51.86816642870462,-51.86816642870462,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,4.468414371833205
12,2,5,1003,-51.86816642870462,-51.86816642870462,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,4.470032545737922
12,2,5,1004,-51.86816642870462,-51.86816642870462,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,4.473185519687831
12,2,6,1000,-51.838797150611875,-51.838797150611875,True,0.0,0.0,1,66,1.0149862954812678,1.0149862954812678,0.0,4.463570230640471
12,2,6,1001,-51.838797150611875,-51.838797150611875,True,0.0,0.0,1,66,1.0149862954812678,1.0149862954812678,0.0,4.465590870007873
12,2,6,1002,-51.838797150611875,-51.838797150611875,True,0.0,0.0,1,66,1.0149862954812678,1.0149862954812678,0.0,4.475701533257961
12,2,6,1003,-51.838797150611875,-51.838797150611875,True,0.0,0.0,1,66,1.0149862954812678,1.0149862954812678,0.0,4.474726992659271
12,2,6,1004,-51.838797150611875,-51.838797150611875,True,0.0,0.0,1,66,1.0149862954812678,1.0149862954812678,0.0,4.156995607540011
12,2,7,1000,-52.24331837770312,-52.24331837770312,True,0.0,0.0,1,66,1.7210190677255686,1.7210190677255686,0.0,4.502924575470388
12,2,7,1001,-52.24331837770312,-52.24331837770312,True,0.0,0.0,1,66,1.7210190677255686,1.7210190677255686,0.0,4.494617639109492
12,2,7,1002,-52.24331837770312,-52.24331837770312,True,0.0,0.0,1,66,1.7210190677255686,1.7210190677255686,0.0,4.4873588820919394
12,2,7,1003,-52.24331837770312,-52.24331837770312,True,0.0,0.0,1,66,1.7210190677255686,1.7210190677255686,0.0,4.493658180348575
12,2,7,1004,-52.24331837770312,-52.24331837770312,True,0.0,0.0,1,66,1.7210190677255686,1.7210190677255686,0.0,4.479015142656863
12,2,8,1000,-52.146062597946894,-52.146062597946894,True,0.0,0.0,1,66,1.433203646389279,1.4332036463892788,-1.549288584943502e-14,4.4219052866101265
12,2,8,1001,-52.146062597946894,-52.146062597946894,True,0.0,0.0,1,66,1.433203646389279,1.4332036463892788,-1.549288584943502e-14,3.407726811245084
12,2,8,1002,-52.146062597946894,-52.146062597946894,True,0.0,0.0,1,66,1.433203646389279,1.4332036463892788,-1.549288584943502e-14,3.3718890668824315
12,2,8,1003,-52.146062597946894,-52.146062597946894,True,0.0,0.0,1,66,1.433203646389279,1.4332036463892788,-1.549288584943502e-14,3.375622846186161
12,2,8,1004,-52.146062597946894,-52.146062597946894,True,0.0,0.0,1,66,1.433203646389279,1.4332036463892788,-1.549288584943502e-14,3.3901979783549905
12,2,9,1000,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.386823968961835
12,2,9,1001,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.3933373503386974
12,2,9,1002,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.393430524505675
12,2,9,1003,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.394029313698411
12,2,9,1004,-52.137517188605415,-52.137517188605415,True,0.0,0.0,1,66,1.5925130800477116,1.5925130800477116,0.0,3.369649488478899
12,2,10,1000,-52.122063767041865,-52.122063767041865,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,3.380402577109635
12,2,10,1001,-52.122063767041865,-52.122063767041865,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,3.7018467634916306
12,2,10,1002,-52.122063767041865,-52.122063767041865,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,4.477619071491063
12,2,10,1003,-52.122063767041865,-52.122063767041865,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,4.115938201546669
12,2,10,1004,-52.122063767041865,-52.122063767041865,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,3.367896961979568
12,2,11,1000,-51.99581597601609,-51.99581597601609,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.3999141231179237
12,2,11,1001,-51.99581597601609,-51.99581597601609,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.388200313784182
12,2,11,1002,-51.99581597601609,-51.99581597601609,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.394746563397348
12,2,11,1003,-51.99581597601609,-51.99581597601609,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.3831343669444323
12,2,11,1004,-51.99581597601609,-51.99581597601609,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.397978444583714
12,2,12,1000,-51.95435957370202,-51.95435957370202,True,0.0,0.0,1,66,1.1763543666609393,1.1763543666609393,0.0,3.3933622306212783
12,2,12,1001,-51.95435957370202,-51.95435957370202,True,0.0,0.0,1,66,1.1763543666609393,1.1763543666609393,0.0,3.92235354706645
12,2,12,1002,-51.95435957370202,-51.95435957370202,True,0.0,0.0,1,66,1.1763543666609393,1.1763543666609393,0.0,3.454045115970075
12,2,12,1003,-51.95435957370202,-51.95435957370202,True,0.0,0.0,1,66,1.1763543666609393,1.1763543666609393,0.0,3.3942541731521487
12,2,12,1004,-51.95435957370202,-51.95435957370202,True,0.0,0.0,1,66,1.1763543666609393,1.1763543666609393,0.0,3.3832940720021725
12,2,13,1000,-52.138286732569824,-52.138286732569824,True,0.0,0.0,1,66,1.4634666035522454,1.4634666035522452,-1.5172509190579855e-14,3.391476634889841
12,2,13,1001,-52.138286732569824,-52.138286732569824,True,0.0,0.0,1,66,1.4634666035522454,1.4634666035522452,-1.5172509190579855e-14,3.719192418269813
12,2,13,1002,-52.138286732569824,-52.138286732569824,True,0.0,0.0,1,66,1.4634666035522454,1.4634666035522452,-1.5172509190579855e-14,4.126523097977042
12,2,13,1003,-52.138286732569824,-52.138286732569824,True,0.0,0.0,1,66,1.4634666035522454,1.4634666035522452,-1.5172509190579855e-14,3.3816387187689543
12,2,13,1004,-52.138286732569824,-52.138286732569824,True,0.0,0.0,1,66,1.4634666035522454,1.4634666035522452,-1.5172509190579855e-14,3.3813410867005587
12,2,14,1000,-52.1644544152372,-52.1644544152372,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.3680725805461407
12,2,14,1001,-52.1644544152372,-52.1644544152372,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.3731102515012026
12,2,14,1002,-52.1644544152372,-52.1644544152372,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.396026933565736
12,2,14,1003,-52.1644544152372,-52.1644544152372,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.4383523939177394
12,2,14,1004,-52.1644544152372,-52.1644544152372,True,0.0,0.0,1,66,1.484935652137471,1.484935652137471,0.0,3.367145722731948
12,2,15,1000,-52.202370089477384,-52.202370089477384,True,0.0,0.0,1,66,1.3871554782995212,1.3871554782995212,0.0,3.3828419921919703
12,2,15,1001,-52.202370089477384,-52.202370089477384,True,0.0,0.0,1,66,1.3871554782995212,1.3871554782995212,0.0,3.3893054286018014
12,2,15,1002,-52.202370089477384,-52.202370089477384,True,0.0,0.0,1,66,1.3871554782995212,1.3871554782995212,0.0,3.372733950614929
12,2,15,1003,-52.202370089477384,-52.202370089477384,True,0.0,0.0,1,66,1.3871554782995212,1.3871554782995212,0.0,3.361946758814156
12,2,15,1004,-52.202370089477384,-52.202370089477384,True,0.0,0.0,1,66,1.3871554782995212,1.3871554782995212,0.0,3.3814242519438267
12,2,16,1000,-52.09557192178276,-52.09557192178276,True,0.0,0.0,1,66,1.127426809467307,1.1274268094673072,1.9694813273949393e-14,3.386233478784561
12,2,16,1001,-52.09557192178276,-52.09557192178276,True,0.0,0.0,1,66,1.127426809467307,1.1274268094673072,1.9694813273949393e-14,3.3685909612104297
12,2,16,1002,-52.09557192178276,-52.09557192178276,True,0.0,0.0,1,66,1.127426809467307,1.1274268094673072,1.9694813273949393e-14,3.3641342194750905
12,2,16,1003,-52.09557192178276,-52.09557192178276,True,0.0,0.0,1,66,1.127426809467307,1.1274268094673072,1.9694813273949393e-14,3.37556872703135
12,2,16,1004,-52.09557192178276,-52.09557192178276,True,0.0,0.0,1,66,1.127426809467307,1.1274268094673072,1.9694813273949393e-14,3.389473745599389
12,2,17,1000,-52.479760503611345,-52.479760503611345,True,0.0,0.0,1,66,1.4125341729798935,1.4125341729798935,0.0,3.359382833354175
12,2,17,1001,-52.479760503611345,-52.479760503611345,True,0.0,0.0,1,66,1.4125341729798935,1.4125341729798935,0.0,3.3747007325291634
12,2,17,1002,-52.479760503611345,-52.479760503611345,True,0.0,0.0,1,66,1.4125341729798935,1.4125341729798935,0.0,3.3523561777547
12,2,17,1003,-52.479760503611345,-52.479760503611345,True,0.0,0.0,1,66,1.4125341729798935,1.4125341729798935,0.0,3.3634064188227057
12,2,17,1004,-52.479760503611345,-52.479760503611345,True,0.0,0.0,1,66,1.4125341729798935,1.4125341729798935,0.0,3.367411836050451
