spec_version,arm,backend,precision,n_assets,n_select,instance,instance_digest,qaoa_seed,e1_run_id,penalty_label,penalty,p_layers,angles,f_star,delta_F,feasible_set_size,data_start,data_end,batch,task_arn,execution_ms,shots,feasible_shots,distinct_shots,best_all_index,best_all_cardinality,best_all_feasible,best_all_E,best_all_f,energy_no_offset_solver,best_shot_scorer_agrees,feasible_shot_fraction,best_feasible_index,f_best_feasible,g_F,g_off,rank_best_feasible,rank_ties,is_optimal,within_tau_main,within_tau_alt,sharpe_best_feasible,return_best_feasible,volatility_best_feasible,shots_within_tau_main,shots_optimal
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,0,,,1000,183,607,6,2,True,-52.19909386988679,-0.19909386996995387,,,0.183,6,-0.19909386996995387,0.08246008551089888,0.0010242131281288315,2,1,False,False,False,1.1763543666609393,0.2522455012773938,0.21357977527685781,0,0
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,1,,,1000,179,605,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.179,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,2,2
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,2,,,1000,180,631,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.18,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,2,2
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,3,,,1000,163,624,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.163,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,3,3
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,4,,,1000,188,613,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.188,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,5,5
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,5,,,1000,171,643,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.171,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,4,4
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,6,,,1000,171,641,6,2,True,-52.19909386988679,-0.19909386996995387,,,0.171,6,-0.19909386996995387,0.08246008551089888,0.0010242131281288315,2,1,False,False,False,1.1763543666609393,0.2522455012773938,0.21357977527685781,0,0
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,7,,,1000,158,637,6,2,True,-52.19909386988679,-0.19909386996995387,,,0.158,6,-0.19909386996995387,0.08246008551089888,0.0010242131281288315,2,1,False,False,False,1.1763543666609393,0.2522455012773938,0.21357977527685781,0,0
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,8,,,1000,145,638,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.145,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,1,1
e4a-v1,gpu_double,lightning_gpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,9,,,1000,184,629,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.184,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,1,1
