n_assets,penalty_label,instances,seeds_per_instance,single_seed_P_tau_median,best_of_seeds_P_tau_median,single_seed_Q_tau_1000_median,random_seed_Q_tau_1000_median,best_of_seeds_Q_tau_1000_median,median_seed_Q_tau_5000_median,random_seed_Q_tau_5000_median,pooled_5x1000_Q_tau_median,pooled_minus_random_Q_tau_median,pooled_minus_random_Q_tau_ci95_low,pooled_minus_random_Q_tau_ci95_high,pooled_minus_random_Q_tau_max,instances_pooled_gains_over_0.01_Q_tau,uniform_F_Q_tau_5000_median,single_seed_optimal_rate,any_seed_optimal_rate,median_seed_P_opt_5000_median,random_seed_P_opt_5000_median,pooled_5x1000_P_opt_median,pooled_minus_random_P_opt_median,pooled_minus_random_P_opt_ci95_low,pooled_minus_random_P_opt_ci95_high,pooled_minus_random_P_opt_max,instances_pooled_gains_over_0.01_P_opt,single_seed_g_F_median,best_of_seeds_g_F_median,single_seed_optimisation_seconds_median,all_seeds_optimisation_seconds_median,extra_optimisation_seconds_median,all_seeds_shots_median
12,Aheur,30,5,0.0026107728481292725,0.007682795403525233,0.92677255495655,0.7908688058776074,0.9995527785489099,0.9999978943528081,0.9052986593429824,0.9999999696144124,0.0947013151719206,0.09465941616227536,0.09486504490413744,0.09559894266638524,30,1.0,0.7666666666666668,1.0,0.9999977970945337,0.905265039819663,0.9999999689831843,0.09473492339191975,0.09467174853838567,0.09487121886457056,0.09559894266638524,30,0.0,0.0,10.134768009185791,50.60659142350778,40.478953981306404,5000.0
12,Amargin,30,5,0.007903417106717825,0.015165412100031972,0.9996413150718809,0.8270789670416205,0.9999997657217318,1.0,0.9447127505020225,0.9999999999999994,0.055287249497616486,0.02644112970628417,0.07581680979827782,0.2207004255608359,23,1.0,0.7866666666666668,1.0,1.0,0.9421591692420501,0.9999999999999993,0.05784083075794988,0.041730230544767155,0.08069844688294808,0.2207004255608359,25,0.0,0.0,10.146488850470632,50.69252271670848,40.55364137515426,5000.0
12,1.1xAcrit,21,5,0.006809388753026724,0.012332053855061531,0.998922033007818,0.9690979306039706,0.9999959171881253,0.9999999999999986,0.9999852939395234,1.0,1.4706060395663911e-05,2.5653342783371613e-09,0.001282384229122635,0.10022758581797575,3,1.0,0.9428571428571428,1.0,0.9999999999999941,0.9999852939395234,0.9999999999999991,1.4706060395663911e-05,2.5653342783371613e-09,0.001282384229122635,0.10022758581797575,3,0.0,0.0,10.17616418004036,50.86862110905349,40.70099853910506,5000.0
12,2xAcrit,21,5,0.006502453703433275,0.013611169531941414,0.9985317539446048,0.8603090373540121,0.9999988827617076,0.9999999999999932,0.9964251600678512,0.9999999999999999,0.003574839932100393,2.6714849357567516e-05,0.02223665515004447,0.14310582956274132,10,1.0,0.8476190476190478,1.0,0.9999999999999932,0.9964251600678512,0.9999999999999998,0.003574839932100393,2.6714849357567516e-05,0.02223665515004447,0.14310582956274132,10,0.0,0.0,10.158303909003735,50.7478835824877,40.629140368662775,5000.0
12,5xAcrit,21,5,0.0027518949937075377,0.01075750682502985,0.9364347548393055,0.7084173077119976,0.9999799200177224,0.9999989622359267,0.9175270146024029,0.9999999999135831,0.08247296745585597,0.021534544555248503,0.09586092250189548,0.26453680262068335,15,1.0,0.7238095238095239,1.0,0.9999949642032782,0.9175270146024029,0.9999999998946633,0.08247296745585597,0.06535000284925829,0.09586092250189548,0.26453680262068335,15,0.0,0.0,10.183679587207735,50.848346582613885,40.69883137289435,5000.0
12,10xAcrit,21,5,0.002542003057897091,0.0086840083822608,0.9215457348411482,0.7012634694629589,0.9998370283188557,0.9999970277673902,0.9156498121666774,0.99999999771229,0.08435014181366385,0.0818047283873874,0.11898434955284243,0.27556039170571167,20,1.0,0.6952380952380954,1.0,0.9999914916344314,0.9141948539886309,0.9999999886661649,0.08580510361388527,0.08249368574177351,0.11898434955284243,0.27556039170571167,20,0.0,0.0,10.168905550614,50.99221182335168,40.77922401949763,5000.0
12,A0,9,5,0.015998613089323044,0.042174629867076874,0.9999999009828202,0.9969676229744986,1.0,1.0,0.9999999999757698,1.0,2.423017342323419e-11,0.0,0.014857437054703326,0.1432176364734391,2,1.0,0.911111111111111,1.0,1.0,0.9999995641341688,1.0,4.3586583120536204e-07,0.0,0.08757733319512173,0.1432176364734391,4,0.0,0.0,10.148895729333162,50.76031501032412,40.589655712246895,5000.0
16,Aheur,30,5,0.00040854040707927197,0.0006801043055020273,0.33543585275935883,0.28381431355126197,0.49355304088059687,0.8703762328089677,0.6841545596155274,0.8361594718119056,0.15255347978812356,0.15206447785679905,0.15305884295372135,0.20181116929320286,30,0.9998685064649245,0.33999999999999997,0.9,0.8701317851672598,0.6831824604959778,0.8354680200267267,0.15231016209824222,0.1519080024932567,0.1525600117041918,0.15462664722065966,30,0.01621859543374755,0.0,16.713682428002357,83.54140807688236,66.81989112123847,5000.0
16,Amargin,30,5,0.0007634474604856223,0.0018004883895628154,0.5340693612178884,0.4355232912292352,0.8350497118181002,0.978032286438622,0.638722963456356,0.9832110985955276,0.3358887811125924,0.3157509083064172,0.3439861385115508,0.3699325854327419,30,0.9998685064649245,0.37333333333333335,0.9666666666666667,0.9761816228718064,0.6342851007228865,0.9790196664079861,0.3378438393103232,0.3145966507553851,0.34615130596142024,0.3699325854327419,30,0.015170009613763446,0.0,16.704925088677555,83.61508851731196,66.89703788701445,5000.0
16,1.1xAcrit,30,5,0.0011429238657001406,0.0030148085206747055,0.6813050500862996,0.6189997275518115,0.9511657010066337,0.9967086980812057,0.9080244127866463,0.9993554267982634,0.09192213775084779,0.04705249204790429,0.120504490200468,0.30872283140255674,23,0.9998685064649245,0.5933333333333334,0.9666666666666667,0.9914930134382878,0.8611421226663749,0.9969221315011515,0.10722089637226345,0.06170402813368103,0.15422588104648777,0.30872283140255674,24,0.0,0.0,16.731277666520327,83.67513682320714,66.94206606317312,5000.0
