n_assets,treatment,control,pairs,skipped_zero_gap,skipped_no_feasible_shot,g_off_ratio_median,g_off_ratio_geomean,solution_part_geomean,denominator_part_geomean,solution_part_median,solution_part_p25,solution_part_p75,denominator_part_median,solution_part_below_1_rate
12,Amargin,Aheur,5,45,0,11.43272271174292,21.848635422190235,0.46134270043783515,47.35879727034778,0.2870650441948467,0.2350183238192857,0.9216053123963437,49.97834492942116,0.8
16,Amargin,Aheur,21,23,6,32.90529795616841,37.29611633294116,0.9216172543599895,40.46811857796782,0.7079190426641735,0.4553775734410097,1.694100484694251,36.998519615837225,0.5714285714285714
20,Amargin,Aheur,49,1,0,31.538902993193357,32.22201678170035,0.9077075027204604,35.498237797009274,0.9619861633141737,0.530483467324876,1.7478892165797968,39.52362217862411,0.5306122448979592
