n_assets,penalty_label,instances,qubo_ratio_objective_over_max_median,qubo_ratio_objective_over_max_min,qubo_ratio_objective_over_max_max,ising_ratio_objective_over_s_H_median,ising_ratio_objective_over_s_H_min,ising_ratio_objective_over_s_H_max,epsilon_F_median,epsilon_F_min,epsilon_F_max
12,Aheur,30,0.011608784811747517,0.006634648888660029,0.017446842468372813,0.012395928990897339,0.007181232696160715,0.022815251374789784,0.014623440799240713,0.0078613778397756,0.027120316002513172
12,Amargin,30,0.46508056978176726,0.33517156721849134,0.6669111060839797,0.4140080235128535,0.3304522696192299,0.5292320618428668,0.5198728644896234,0.23979955223167096,0.8418688184232158
12,1.1xAcrit,21,0.7251602350339075,0.4712499711586692,0.9513737166076973,0.6906069440083682,0.4745087368705966,0.9215538555686618,0.7803733871715705,0.3001642836735154,1.2629723925613217
16,Aheur,30,0.005410994705450714,0.0033579616493856455,0.008274399734232288,0.008780178443171948,0.00612120578667033,0.015493164449827544,0.015070002792119983,0.008498641873524584,0.024871387356219077
16,Amargin,30,0.2041219742729422,0.12974003696995498,0.3722056245300696,0.2867735267188065,0.22723198594042449,0.3525034219667227,0.45481143300854243,0.35139632930365927,0.7581182625422609
16,1.1xAcrit,30,0.5069112795222545,0.36097307182470556,0.8905333569863975,0.5226321279612256,0.42873177560765363,0.8320792943873145,0.8684539642938353,0.5354284341210532,1.7895273340576308
20,Aheur,30,0.0033577922573366564,0.001943595931553968,0.004868349557555575,0.0072394352597474855,0.005112931758670366,0.012361648537510867,0.016345472620965626,0.010490988009533839,0.025017361410320342
20,Amargin,30,0.10174508854638378,0.07387362843923376,0.1597038281153748,0.2173395518119255,0.176229430456263,0.25936563859863376,0.47298742855122544,0.3445272922148073,0.6734096894072729
20,1.1xAcrit,30,0.2861379981029284,0.17713751630123886,0.6986721567615168,0.43427123897162034,0.356705540752798,0.7049418819507705,0.9756255812778957,0.6438409709024419,1.9826024299110658
