sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,16,44,2,48,-5.174792766571045
seeds,16,44,2,49,-5.176535606384277
seeds,16,45,2,0,2.162693738937378
seeds,16,45,2,1,1.2435837984085083
seeds,16,45,2,2,1.0483978986740112
seeds,16,45,2,3,1.2448307275772095
seeds,16,45,2,4,1.1222244501113892
seeds,16,45,2,5,0.848534345626831
seeds,16,45,2,6,0.8765711188316345
seeds,16,45,2,7,0.41159147024154663
seeds,16,45,2,8,-0.3174400329589844
seeds,16,45,2,9,-0.5074471831321716
seeds,16,45,2,10,-0.6609387993812561
seeds,16,45,2,11,-0.6526802182197571
seeds,16,45,2,12,-0.8450753092765808
seeds,16,45,2,13,-1.159765362739563
seeds,16,45,2,14,-1.2213274240493774
seeds,16,45,2,15,-1.0656658411026
seeds,16,45,2,16,-0.8905104994773865
seeds,16,45,2,17,-0.7900187969207764
seeds,16,45,2,18,-0.8255375027656555
seeds,16,45,2,19,-0.9390949606895447
seeds,16,45,2,20,-1.015139102935791
seeds,16,45,2,21,-0.9974663853645325
seeds,16,45,2,22,-0.9526968002319336
seeds,16,45,2,23,-0.9436015486717224
seeds,16,45,2,24,-0.9578547477722168
seeds,16,45,2,25,-0.9915725588798523
seeds,16,45,2,26,-1.0437748432159424
seeds,16,45,2,27,-1.0848109722137451
seeds,16,45,2,28,-1.1114445924758911
seeds,16,45,2,29,-1.1552693843841553
seeds,16,45,2,30,-1.2097208499908447
seeds,16,45,2,31,-1.2461097240447998
seeds,16,45,2,32,-1.2546724081039429
seeds,16,45,2,33,-1.2162591218948364
seeds,16,45,2,34,-1.1965105533599854
seeds,16,45,2,35,-1.216291069984436
seeds,16,45,2,36,-1.234716773033142
seeds,16,45,2,37,-1.2392842769622803
seeds,16,45,2,38,-1.2201557159423828
seeds,16,45,2,39,-1.2155154943466187
seeds,16,45,2,40,-1.2286502122879028
seeds,16,45,2,41,-1.251843810081482
seeds,16,45,2,42,-1.2735270261764526
seeds,16,45,2,43,-1.2749394178390503
seeds,16,45,2,44,-1.2746819257736206
seeds,16,45,2,45,-1.2745105028152466
seeds,16,45,2,46,-1.2720290422439575
seeds,16,45,2,47,-1.2674057483673096
seeds,16,45,2,48,-1.2577112913131714
seeds,16,45,2,49,-1.2615169286727905
seeds,16,46,2,0,3.4339399337768555
seeds,16,46,2,1,1.1366952657699585
seeds,16,46,2,2,0.3440813720226288
seeds,16,46,2,3,0.5705884695053101
seeds,16,46,2,4,0.17658232152462006
seeds,16,46,2,5,-0.06569549441337585
seeds,16,46,2,6,0.08380335569381714
seeds,16,46,2,7,0.16571615636348724
seeds,16,46,2,8,0.008024666458368301
seeds,16,46,2,9,-0.30499666929244995
seeds,16,46,2,10,-0.615294337272644
seeds,16,46,2,11,-0.7791192531585693
seeds,16,46,2,12,-0.7809002995491028
seeds,16,46,2,13,-0.7614489793777466
seeds,16,46,2,14,-0.8522484302520752
seeds,16,46,2,15,-1.0309616327285767
seeds,16,46,2,16,-1.1818716526031494
seeds,16,46,2,17,-1.2428619861602783
seeds,16,46,2,18,-1.26691472530365
seeds,16,46,2,19,-1.345859408378601
seeds,16,46,2,20,-1.5120713710784912
seeds,16,46,2,21,-1.7249149084091187
seeds,16,46,2,22,-1.9210480451583862
seeds,16,46,2,23,-2.083094596862793
seeds,16,46,2,24,-2.274501085281372
seeds,16,46,2,25,-2.5802600383758545
seeds,16,46,2,26,-3.029008388519287
seeds,16,46,2,27,-3.546780586242676
seeds,16,46,2,28,-3.985215902328491
seeds,16,46,2,29,-4.404690742492676
seeds,16,46,2,30,-4.912591934204102
seeds,16,46,2,31,-5.243957996368408
seeds,16,46,2,32,-5.336939334869385
seeds,16,46,2,33,-5.349970817565918
seeds,16,46,2,34,-5.3633527755737305
seeds,16,46,2,35,-5.364564418792725
seeds,16,46,2,36,-5.299905300140381
seeds,16,46,2,37,-5.33543586730957
seeds,16,46,2,38,-5.202691555023193
seeds,16,46,2,39,-5.099264621734619
seeds,16,46,2,40,-5.173542499542236
seeds,16,46,2,41,-5.153531551361084
seeds,16,46,2,42,-5.235962867736816
seeds,16,46,2,43,-5.227378845214844
seeds,16,46,2,44,-5.213726997375488
seeds,16,46,2,45,-5.25581169128418
seeds,16,46,2,46,-5.310924053192139
seeds,16,46,2,47,-5.331362724304199
seeds,16,46,2,48,-5.312798023223877
seeds,16,46,2,49,-5.289868354797363
seeds,20,42,2,0,0.7829849720001221
seeds,20,42,2,1,0.8157922029495239
seeds,20,42,2,2,0.8089313507080078
seeds,20,42,2,3,0.015024879947304726
seeds,20,42,2,4,-0.1505156308412552
seeds,20,42,2,5,0.18942147493362427
seeds,20,42,2,6,-0.07868021726608276
seeds,20,42,2,7,-0.5525332093238831
seeds,20,42,2,8,-0.6360336542129517
seeds,20,42,2,9,-0.5411690473556519
seeds,20,42,2,10,-0.6559039950370789
seeds,20,42,2,11,-0.8624393939971924
seeds,20,42,2,12,-0.8108370900154114
seeds,20,42,2,13,-0.6849841475486755
seeds,20,42,2,14,-0.6826091408729553
seeds,20,42,2,15,-0.714497983455658
seeds,20,42,2,16,-0.6779228448867798
seeds,20,42,2,17,-0.6539608836174011
seeds,20,42,2,18,-0.7346678376197815
seeds,20,42,2,19,-0.8580037951469421
seeds,20,42,2,20,-0.9005708694458008
seeds,20,42,2,21,-0.8615114092826843
seeds,20,42,2,22,-0.8407541513442993
seeds,20,42,2,23,-0.8499011993408203
seeds,20,42,2,24,-0.8406478762626648
seeds,20,42,2,25,-0.8277083039283752
seeds,20,42,2,26,-0.8389244079589844
seeds,20,42,2,27,-0.8503224849700928
seeds,20,42,2,28,-0.8423757553100586
seeds,20,42,2,29,-0.8422293663024902
seeds,20,42,2,30,-0.8697887659072876
seeds,20,42,2,31,-0.9003391265869141
seeds,20,42,2,32,-0.907467246055603
seeds,20,42,2,33,-0.8962929248809814
seeds,20,42,2,34,-0.885412335395813
seeds,20,42,2,35,-0.8851072192192078
seeds,20,42,2,36,-0.8919993042945862
seeds,20,42,2,37,-0.8987257480621338
seeds,20,42,2,38,-0.8971639275550842
seeds,20,42,2,39,-0.8911363482475281
seeds,20,42,2,40,-0.8969115614891052
seeds,20,42,2,41,-0.9120483994483948
seeds,20,42,2,42,-0.9158874750137329
seeds,20,42,2,43,-0.9065862894058228
seeds,20,42,2,44,-0.9015727043151855
seeds,20,42,2,45,-0.9049019813537598
seeds,20,42,2,46,-0.9084192514419556
seeds,20,42,2,47,-0.9099194407463074
seeds,20,42,2,48,-0.909931480884552
seeds,20,42,2,49,-0.9088724851608276
seeds,20,43,2,0,0.37571945786476135
seeds,20,43,2,1,-1.6579161882400513
seeds,20,43,2,2,-0.8626565933227539
seeds,20,43,2,3,-0.9073251485824585
seeds,20,43,2,4,-1.4630399942398071
seeds,20,43,2,5,-1.6011847257614136
seeds,20,43,2,6,-1.4851917028427124
seeds,20,43,2,7,-1.40387761592865
seeds,20,43,2,8,-1.4156301021575928
seeds,20,43,2,9,-1.488250732421875
seeds,20,43,2,10,-1.5568946599960327
seeds,20,43,2,11,-1.6078031063079834
seeds,20,43,2,12,-1.6623375415802002
seeds,20,43,2,13,-1.6925455331802368
seeds,20,43,2,14,-1.6579008102416992
seeds,20,43,2,15,-1.597862958908081
seeds,20,43,2,16,-1.5962164402008057
seeds,20,43,2,17,-1.6656707525253296
seeds,20,43,2,18,-1.7387237548828125
seeds,20,43,2,19,-1.7573243379592896
seeds,20,43,2,20,-1.7290916442871094
seeds,20,43,2,21,-1.697778344154358
seeds,20,43,2,22,-1.6882201433181763
seeds,20,43,2,23,-1.695072889328003
seeds,20,43,2,24,-1.706703543663025
seeds,20,43,2,25,-1.7208786010742188
seeds,20,43,2,26,-1.738676905632019
seeds,20,43,2,27,-1.7538869380950928
seeds,20,43,2,28,-1.7558585405349731
seeds,20,43,2,29,-1.7429052591323853
seeds,20,43,2,30,-1.72795569896698
seeds,20,43,2,31,-1.7252060174942017
seeds,20,43,2,32,-1.7348167896270752
seeds,20,43,2,33,-1.746206521987915
seeds,20,43,2,34,-1.7525464296340942
seeds,20,43,2,35,-1.7548903226852417
seeds,20,43,2,36,-1.755260705947876
seeds,20,43,2,37,-1.7528644800186157
seeds,20,43,2,38,-1.7481155395507812
seeds,20,43,2,39,-1.7453099489212036
seeds,20,43,2,40,-1.7483116388320923
seeds,20,43,2,41,-1.7550567388534546
