n_assets,backend,p_layers,step,expectation
16,lightning_gpu,2,34,-4.607055187225342
16,lightning_gpu,2,35,-4.640895366668701
16,lightning_gpu,2,36,-4.684164047241211
16,lightning_gpu,2,37,-4.735693454742432
16,lightning_gpu,2,38,-4.793132781982422
16,lightning_gpu,2,39,-4.853265762329102
16,lightning_gpu,2,40,-4.912355422973633
16,lightning_gpu,2,41,-4.966334819793701
16,lightning_gpu,2,42,-5.011030673980713
16,lightning_gpu,2,43,-5.0426788330078125
16,lightning_gpu,2,44,-5.058858871459961
16,lightning_gpu,2,45,-5.059632778167725
16,lightning_gpu,2,46,-5.048057556152344
16,lightning_gpu,2,47,-5.0295729637146
16,lightning_gpu,2,48,-5.010432720184326
16,lightning_gpu,2,49,-4.995856761932373
20,lightning_gpu,2,0,0.7829849720001221
20,lightning_gpu,2,1,0.8157922029495239
20,lightning_gpu,2,2,0.8089313507080078
20,lightning_gpu,2,3,0.015024879947304726
20,lightning_gpu,2,4,-0.1505156308412552
20,lightning_gpu,2,5,0.18942147493362427
20,lightning_gpu,2,6,-0.07868021726608276
20,lightning_gpu,2,7,-0.5525332093238831
20,lightning_gpu,2,8,-0.6360336542129517
20,lightning_gpu,2,9,-0.5411690473556519
20,lightning_gpu,2,10,-0.6559039950370789
20,lightning_gpu,2,11,-0.8624393939971924
20,lightning_gpu,2,12,-0.8108370900154114
20,lightning_gpu,2,13,-0.6849841475486755
20,lightning_gpu,2,14,-0.6826091408729553
20,lightning_gpu,2,15,-0.714497983455658
20,lightning_gpu,2,16,-0.6779228448867798
20,lightning_gpu,2,17,-0.6539608836174011
20,lightning_gpu,2,18,-0.7346678376197815
20,lightning_gpu,2,19,-0.8580037951469421
20,lightning_gpu,2,20,-0.9005708694458008
20,lightning_gpu,2,21,-0.8615114092826843
20,lightning_gpu,2,22,-0.8407541513442993
20,lightning_gpu,2,23,-0.8499011993408203
20,lightning_gpu,2,24,-0.8406478762626648
20,lightning_gpu,2,25,-0.8277083039283752
20,lightning_gpu,2,26,-0.8389244079589844
20,lightning_gpu,2,27,-0.8503224849700928
20,lightning_gpu,2,28,-0.8423757553100586
20,lightning_gpu,2,29,-0.8422293663024902
20,lightning_gpu,2,30,-0.8697887659072876
20,lightning_gpu,2,31,-0.9003391265869141
20,lightning_gpu,2,32,-0.907467246055603
20,lightning_gpu,2,33,-0.8962929248809814
20,lightning_gpu,2,34,-0.885412335395813
20,lightning_gpu,2,35,-0.8851072192192078
20,lightning_gpu,2,36,-0.8919993042945862
20,lightning_gpu,2,37,-0.8987257480621338
20,lightning_gpu,2,38,-0.8971639275550842
20,lightning_gpu,2,39,-0.8911363482475281
20,lightning_gpu,2,40,-0.8969115614891052
20,lightning_gpu,2,41,-0.9120483994483948
20,lightning_gpu,2,42,-0.9158874750137329
20,lightning_gpu,2,43,-0.9065862894058228
20,lightning_gpu,2,44,-0.9015727043151855
20,lightning_gpu,2,45,-0.9049019813537598
20,lightning_gpu,2,46,-0.9084192514419556
20,lightning_gpu,2,47,-0.9099194407463074
20,lightning_gpu,2,48,-0.909931480884552
20,lightning_gpu,2,49,-0.9088724851608276
24,lightning_gpu,2,0,0.046136192977428436
24,lightning_gpu,2,1,-1.2957806587219238
24,lightning_gpu,2,2,-1.7170636653900146
24,lightning_gpu,2,3,-2.891876459121704
24,lightning_gpu,2,4,-4.114504814147949
24,lightning_gpu,2,5,-4.882035255432129
24,lightning_gpu,2,6,-5.495119571685791
24,lightning_gpu,2,7,-6.3088459968566895
24,lightning_gpu,2,8,-7.124557018280029
24,lightning_gpu,2,9,-7.545559883117676
24,lightning_gpu,2,10,-7.558644771575928
24,lightning_gpu,2,11,-7.432878494262695
24,lightning_gpu,2,12,-7.345207214355469
24,lightning_gpu,2,13,-7.36870002746582
24,lightning_gpu,2,14,-7.540707111358643
24,lightning_gpu,2,15,-7.826545715332031
24,lightning_gpu,2,16,-8.021246910095215
24,lightning_gpu,2,17,-7.949795722961426
24,lightning_gpu,2,18,-7.895905494689941
24,lightning_gpu,2,19,-8.04557991027832
24,lightning_gpu,2,20,-8.18865966796875
24,lightning_gpu,2,21,-8.196074485778809
24,lightning_gpu,2,22,-8.138140678405762
24,lightning_gpu,2,23,-8.110238075256348
24,lightning_gpu,2,24,-8.149961471557617
24,lightning_gpu,2,25,-8.248619079589844
24,lightning_gpu,2,26,-8.3596830368042
24,lightning_gpu,2,27,-8.411471366882324
24,lightning_gpu,2,28,-8.373311042785645
24,lightning_gpu,2,29,-8.325206756591797
24,lightning_gpu,2,30,-8.357841491699219
24,lightning_gpu,2,31,-8.436714172363281
24,lightning_gpu,2,32,-8.475186347961426
24,lightning_gpu,2,33,-8.451475143432617
24,lightning_gpu,2,34,-8.411340713500977
24,lightning_gpu,2,35,-8.402875900268555
24,lightning_gpu,2,36,-8.43411636352539
24,lightning_gpu,2,37,-8.474039077758789
24,lightning_gpu,2,38,-8.483560562133789
24,lightning_gpu,2,39,-8.45981216430664
24,lightning_gpu,2,40,-8.444674491882324
24,lightning_gpu,2,41,-8.464468002319336
24,lightning_gpu,2,42,-8.492965698242188
24,lightning_gpu,2,43,-8.497798919677734
