n_assets,n_select,solver,energy_no_offset,runtime_s,feasible,expected_return,volatility,sharpe_ratio,method_detail,data_start,data_end
8,2,classical_auto,-36.252611680776944,0.0002985840001201723,True,0.3043831643149789,0.22950960342099105,1.321875685343245,brute_force,2023-08-06,2026-08-05
8,2,braket_sv1,-36.252611680776944,172.48779516700233,True,0.3043831643149789,0.22950960342099105,1.321875685343245,p=2,2023-08-06,2026-08-05
12,2,classical_auto,-52.25261168074922,0.007872750000387896,True,0.3043831643149789,0.22950960342099105,1.321875685343245,brute_force,2023-08-06,2026-08-05
12,2,braket_sv1,-52.25261168074922,178.96340637499816,True,0.3043831643149789,0.22950960342099105,1.321875685343245,p=2,2023-08-06,2026-08-05
20,4,classical_auto,-336.15232144200877,1.3701450419976027,True,0.3115649335542625,0.21080901909538674,1.4732051545372367,brute_force,2023-08-06,2026-08-05
20,4,braket_sv1,-335.80849740785476,857.6698914590015,True,0.29633347028479073,0.2416330848021564,1.2222393739110808,p=2,2023-08-06,2026-08-05
16,3,classical_auto,-153.26711059662722,0.005963342264294624,True,0.2568156466299874,0.1846856590820826,1.3851408274006345,exact,2023-08-06,2026-08-05
16,3,braket_sv1,-153.24068946238307,256.71400793641806,True,0.372272961234548,0.24884498828418433,1.4919848850262931,p=2,2023-08-06,2026-08-05
