n_assets,instance,penalty_label,penalty,n_select,delta_F,max_abs_Q,max_abs_Q_objective,max_abs_Q_penalty,qubo_ratio_objective_over_max,s_H,s_H_objective_only,s_H_penalty_only,ising_ratio_objective_over_s_H,epsilon_F,delta_F_over_A
12,0,Aheur,12.999999999979208,2,0.6490147388383165,39.26332831917058,0.46127650039295737,38.99999999993762,0.011748278104272073,52.55393699499583,0.5539369950790003,51.99999999991684,0.010540352003157175,0.012349497981475974,0.04992421067995035
12,0,Amargin,0.19822334062316602,2,0.6490147388383165,0.8579983411024619,0.46127650039295737,0.594670021869498,0.537619338284795,1.3468303575716642,0.5539369950790003,0.7928933624926642,0.4112893594689601,0.4818830635867834,3.2741590208195053
12,0,1.1xAcrit,0.01178830224062556,2,0.6490147388383165,0.48485310487420846,0.46127650039295737,0.0353649067218767,0.9513737166076973,0.6010902040415026,0.5539369950790003,0.047153208962502254,0.9215538555686618,1.0797293558846701,55.055827852940745
12,1,Aheur,12.999999999983347,2,0.6821104373880992,39.0222431838798,0.5282318716380896,38.99999999995004,0.013536686477734414,52.83619466974709,0.8361946698137026,51.99999999993338,0.01582617134031589,0.012909908475650718,0.052470033645305614
12,1,Amargin,0.3539176455668778,2,0.6821104373880992,1.2360671627718451,0.5282318716380896,1.0617529367006335,0.42734884280361013,2.2518652520812137,0.8361946698137026,1.4156705822675113,0.37133423904511015,0.30290908248514453,1.9273140119802379
12,1,1.1xAcrit,0.19328748548091002,2,0.6821104373880992,0.9148068425999096,0.5282318716380896,0.57986245644273,0.5774244868313819,1.6093446117373424,0.8361946698137026,0.7731499419236401,0.5195870814213011,0.4238436146076493,3.5289943148205922
12,2,Aheur,12.99999999998611,2,0.5915073884278561,39.13692355386821,0.2779624964814062,38.999999999958334,0.007102308286925455,52.43747176825782,0.43747176831337375,51.99999999994445,0.00834273189689115,0.01128024232445767,0.04550056834065293
12,2,Amargin,0.15047462098089207,2,0.5915073884278561,0.5883474168525487,0.2779624964814062,0.4514238629426762,0.4724461916879105,1.0393702522369421,0.43747176831337375,0.6018984839235683,0.4209007977396342,0.5691017105355946,3.9309445311908666
12,3,Aheur,12.99999999998611,2,0.7183763607746534,39.13692355386821,0.5376305660860391,38.999999999958334,0.013737169845402958,52.72899469693888,0.7289946969944382,51.99999999994445,0.01382530998712098,0.013623934325005402,0.055259720059647764
12,3,Amargin,0.20186523904343281,2,0.7183763607746534,0.9413610441729048,0.5376305660860391,0.6055957171302985,0.5711204743536101,1.5364556531681692,0.7289946969944382,0.8074609561737313,0.47446517280941514,0.4675542436212607,3.5586927406560043
12,3,1.1xAcrit,0.059659131146647726,2,0.7183763607746534,0.6569488283793345,0.5376305660860391,0.17897739343994318,0.8183751045151437,0.967631221581029,0.7289946969944382,0.23863652458659093,0.7533807102703047,0.7424071740894078,12.041348021123826
12,4,Aheur,12.999999999979208,2,0.7133683375969784,39.26047949659799,0.2604794966603637,38.99999999993762,0.006634648888660029,52.385784376424596,0.3857843765077667,51.99999999991684,0.007364295125098536,0.013617593896675882,0.05487448750754764
12,4,Amargin,0.12954294170129868,2,0.7133683375969784,0.6491083217642597,0.2604794966603637,0.38862882510389607,0.4012881793787316,0.9039561433129614,0.3857843765077667,0.5181717668051947,0.4267733333764215,0.7891625527124727,5.506809774644996
12,5,Aheur,12.999999999974966,2,0.6963787541284728,39.119507144949004,0.68251187859831,38.999999999924896,0.017446842468372813,53.21409290623708,1.2140929063372168,51.999999999899856,0.022815251374789784,0.013086359573120755,0.05356759647152414
12,5,Amargin,0.42247766420937366,2,0.6963787541284728,1.5274672070170574,0.68251187859831,1.267432992628121,0.44682587977202204,2.9040035631747116,1.2140929063372168,1.6899106568374944,0.4180755567014344,0.23979955223167096,1.6483208773455011
12,5,1.1xAcrit,0.276474787841285,2,0.6963787541284728,1.23546145428088,0.68251187859831,0.829424363523855,0.5524347815412638,2.3199920577023567,1.2140929063372168,1.10589915136514,0.5233176994319602,0.3001642836735154,2.518778509844597
12,6,Aheur,12.999999999975014,2,0.9042243763176306,39.084550082700254,0.4818616034533114,38.99999999992504,0.01232869771901493,52.97640523221024,0.9764052323101841,51.99999999990006,0.018430945399755417,0.017068435888659583,0.06955572125533604
12,6,Amargin,0.44182107852103675,2,0.9042243763176306,1.410013318338326,0.4818616034533114,1.3254632355631104,0.34174259007792646,2.7436895463943314,0.9764052323101841,1.7672843140841472,0.3558730737569578,0.32956512062595905,2.046584964539163
12,6,1.1xAcrit,0.27032822526972927,2,0.9042243763176306,1.02251805399277,0.4818616034533114,0.8109846758091879,0.4712499711586692,2.057718133389101,0.9764052323101841,1.081312901078917,0.4745087368705966,0.4394306302916016,3.34491293099494
12,7,Aheur,12.999999999974966,2,1.1416497313076124,39.22465549954297,0.5643915443191876,38.999999999924896,0.014388693466683568,52.82132507196758,0.821325072067716,51.999999999899856,0.01554911905274401,0.021613424686945028,0.08781921010075468
12,7,Amargin,0.2451029175931008,2,1.1416497313076124,1.0545973795053891,0.5643915443191876,0.7353087527793025,0.5351725267740469,1.801736742440119,0.821325072067716,0.9804116703724032,0.455851874872343,0.633638480259585,4.65783819514904
12,8,Aheur,12.99999999997615,2,1.0175618013780192,39.26411700705006,0.43714108097802934,38.99999999992845,0.011133348061782176,52.57412992192412,0.5741299220195212,51.99999999990461,0.010920388466193167,0.01935480060039343,0.07827398472152969
12,8,Amargin,0.29081914513312296,2,1.0175618013780192,1.13657444252098,0.43714108097802934,0.8724574353993689,0.3846128019634404,1.7374065025520133,0.5741299220195212,1.1632765805324918,0.3304522696192299,0.5856785961623602,3.4989505278692317
12,8,1.1xAcrit,0.1298598499872395,2,1.0175618013780192,0.6968607809525084,0.43714108097802934,0.3895795499617185,0.6273004492813047,1.0935693219684792,0.5741299220195212,0.5194393999489582,0.5250055122121191,0.9304959282749056,7.835846117780118
12,9,Aheur,12.99999999998611,2,0.6975894625131225,39.13692355386821,0.2779624964814062,38.999999999958334,0.007102308286925455,52.40181886605155,0.40181886610710543,51.99999999994445,0.007668032805010577,0.013312313915978495,0.05366072788568214
12,9,Amargin,0.1680400752662409,2,0.6975894625131225,0.6410437797085953,0.2779624964814062,0.5041202257987227,0.433609224954592,1.0739791671720689,0.40181886610710543,0.6721603010649637,0.37414027980184045,0.6495372385574005,4.151327957975912
