n_assets,n_select,feasible_set_size,band_kind,band_pct,n_within,frac_within,sharpe_optimum,sharpe_min,sharpe_p25,sharpe_median,sharpe_p75,sharpe_max,sharpe_spread_pct
8,2,28,reported_gap,0.01,1,0.03571428571428571,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
8,2,28,reported_gap,0.05,1,0.03571428571428571,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
8,2,28,reported_gap,0.1,1,0.03571428571428571,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
8,2,28,reported_gap,0.2,1,0.03571428571428571,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
8,2,28,reported_gap,0.5,6,0.21428571428571427,1.3218756853432454,1.0888691884859187,1.1119215039131025,1.1147200177120968,1.2707298173980077,1.337964475552203,18.844078140494954
8,2,28,reported_gap,1.0,14,0.5,1.3218756853432454,0.5934165427383538,0.8069253084760917,1.0734683681972006,1.1160061156371954,1.337964475552203,56.32510992291352
8,2,28,objective_range,1.0,1,0.03571428571428571,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
8,2,28,objective_range,5.0,1,0.03571428571428571,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
8,2,28,objective_range,10.0,1,0.03571428571428571,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
12,2,66,reported_gap,0.01,1,0.015151515151515152,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
12,2,66,reported_gap,0.05,1,0.015151515151515152,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
12,2,66,reported_gap,0.1,1,0.015151515151515152,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
12,2,66,reported_gap,0.2,3,0.045454545454545456,1.3218756853432454,1.1763543666609393,1.2491150260020922,1.3218756853432454,1.3299200804477243,1.337964475552203,12.225817501840142
12,2,66,reported_gap,0.5,17,0.25757575757575757,1.3218756853432454,0.5035007349313614,0.9457624618428806,1.0725490001906428,1.1172922135622942,1.337964475552203,63.127247885201875
