n_assets,backend,p_layers,step,expectation
20,braket_sv1,2,39,-0.8911373489903986
20,braket_sv1,2,40,-0.8969143870071301
20,braket_sv1,2,41,-0.9120497040891015
20,braket_sv1,2,42,-0.9158888836351505
20,braket_sv1,2,43,-0.9065889000007206
20,braket_sv1,2,44,-0.9015748029263551
20,braket_sv1,2,45,-0.9049057415649975
20,braket_sv1,2,46,-0.9084196259938105
20,braket_sv1,2,47,-0.9099223776687317
20,braket_sv1,2,48,-0.9099361340009211
20,braket_sv1,2,49,-0.9088755046669145
16,braket_sv1,2,0,1.1592213715564015
16,braket_sv1,2,1,-0.4429890890812229
16,braket_sv1,2,2,-1.0113315435610426
16,braket_sv1,2,3,-1.3650762470722155
16,braket_sv1,2,4,-1.7025322712025266
16,braket_sv1,2,5,-1.5973582980271908
16,braket_sv1,2,6,-1.4490387573396435
16,braket_sv1,2,7,-1.6222564292137285
16,braket_sv1,2,8,-1.9891288770556304
16,braket_sv1,2,9,-2.453597737075568
16,braket_sv1,2,10,-2.8929220742173634
16,braket_sv1,2,11,-3.1579163135124992
16,braket_sv1,2,12,-3.379350891197956
16,braket_sv1,2,13,-3.670542054138731
16,braket_sv1,2,14,-3.9821089074860425
16,braket_sv1,2,15,-4.227978257032843
16,braket_sv1,2,16,-4.402190232447051
16,braket_sv1,2,17,-4.53142717561003
16,braket_sv1,2,18,-4.585811374310996
16,braket_sv1,2,19,-4.575987502765173
16,braket_sv1,2,20,-4.565337450120464
16,braket_sv1,2,21,-4.580971951071585
16,braket_sv1,2,22,-4.607864861418586
16,braket_sv1,2,23,-4.625659785037432
16,braket_sv1,2,24,-4.62711235045905
16,braket_sv1,2,25,-4.616011863214991
16,braket_sv1,2,26,-4.599250994084043
16,braket_sv1,2,27,-4.5823620495389035
16,braket_sv1,2,28,-4.568671711663856
16,braket_sv1,2,29,-4.5597601523853175
16,braket_sv1,2,30,-4.5562051795376615
16,braket_sv1,2,31,-4.558344631206786
16,braket_sv1,2,32,-4.566810227165837
16,braket_sv1,2,33,-4.582650865606917
16,braket_sv1,2,34,-4.6070652577210405
16,braket_sv1,2,35,-4.640908399001648
16,braket_sv1,2,36,-4.684180153390984
16,braket_sv1,2,37,-4.735704202469118
16,braket_sv1,2,38,-4.793138730102268
16,braket_sv1,2,39,-4.853271367472939
16,braket_sv1,2,40,-4.912361074721667
16,braket_sv1,2,41,-4.966346920669011
16,braket_sv1,2,42,-5.011049314739599
16,braket_sv1,2,43,-5.042690106501851
16,braket_sv1,2,44,-5.058865979288638
16,braket_sv1,2,45,-5.059640696786209
16,braket_sv1,2,46,-5.04806696948174
16,braket_sv1,2,47,-5.0295872181534245
16,braket_sv1,2,48,-5.010440594280554
16,braket_sv1,2,49,-4.995870762562495
