subset,n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
seed 43 only,16,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.0034738147327371682,0.002628895716320856,0.004839567095607289,10,0,better
seed 43 only,16,Amargin,Aheur,g_F,2,8,2,0.03622155189054524,-0.08719330316310997,0.15963640694420045,1,0,worse
seed 43 only,16,Amargin,Aheur,g_off,2,8,2,0.16108008479310265,0.12057736736234952,0.20158280222385577,0,0,worse
seed 43 only,20,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.002584051677352206,0.0015598925034285838,0.005018214989791381,10,0,better
seed 43 only,20,Amargin,Aheur,g_F,10,0,10,-0.048338951354166854,-0.07850419584086042,0.05185345035625202,7,0,better
seed 43 only,20,Amargin,Aheur,g_off,10,0,10,0.03598986334441022,0.030940900518386112,0.03834568997953148,0,0,worse
seed 44 only,12,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.0002863702872563656,-0.00020792728467966537,0.00042491859818238886,8,0,better
seed 44 only,12,Amargin,Aheur,g_F,10,0,10,0.0,0.0,0.0,0,10,equal
seed 44 only,12,Amargin,Aheur,g_off,10,0,10,0.0,0.0,0.0,0,10,equal
seed 44 only,16,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.381010684854559,0.3622665332988241,0.4182465474565879,10,0,better
seed 44 only,16,Amargin,Aheur,g_F,10,0,10,-0.010382345259912558,-0.05810523180606511,0.0,7,2,better
seed 44 only,16,Amargin,Aheur,g_off,10,0,10,-4.606417799900094e-05,-0.0004618267823072056,0.004610468048565165,5,1,better
seed 44 only,20,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,-0.15411530029430476,-0.24422742605610093,-0.1127608528888071,0,0,worse
seed 44 only,20,Amargin,Aheur,g_F,10,0,10,0.009551477301938586,-0.0053198799474042735,0.04607856735083814,3,0,worse
seed 44 only,20,Amargin,Aheur,g_off,10,0,10,0.007360122707880364,0.00157089589603394,0.017271635288097918,0,0,worse
seed 45 only,12,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.01642716847947706,-0.055216204277785064,0.07786098412653941,6,0,better
seed 45 only,12,Amargin,Aheur,g_F,10,0,10,0.0,0.0,0.0,1,8,equal
seed 45 only,12,Amargin,Aheur,g_off,10,0,10,0.0,0.0,0.0,1,8,equal
seed 45 only,16,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,-0.22072216632753072,-0.2698164844884156,-0.1520735033351166,0,0,worse
seed 45 only,16,Amargin,Aheur,g_F,10,0,10,0.06315456891484998,0.04797571984240563,0.14333135744519357,1,0,worse
seed 45 only,16,Amargin,Aheur,g_off,10,0,10,0.04997450024294067,0.03165245669311992,0.05861843801421421,0,0,worse
seed 45 only,20,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.13804323801359186,0.10819995868915322,0.2194532292167024,10,0,better
seed 45 only,20,Amargin,Aheur,g_F,10,0,10,-0.03673725402944497,-0.04444360218295514,-0.01369695852509814,9,1,better
seed 45 only,20,Amargin,Aheur,g_off,10,0,10,0.0006643960662835839,-0.0002323381510207145,0.007462014732932143,3,0,worse
seed 46 only,12,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.009101479574511406,0.00012162329314313602,0.010807049154980763,9,0,better
seed 46 only,12,Amargin,Aheur,g_F,10,0,10,0.0,0.0,0.0,0,10,equal
seed 46 only,12,Amargin,Aheur,g_off,10,0,10,0.0,0.0,0.0,0,10,equal
seed 46 only,16,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.3417759579618053,0.28407497554264644,0.42854709722479084,10,0,better
seed 46 only,16,Amargin,Aheur,g_F,10,0,10,-0.020890772095912363,-0.0411789600641346,0.010821070268418713,6,2,better
seed 46 only,16,Amargin,Aheur,g_off,10,0,10,-0.00026290170735525814,-0.0005604444484096001,0.0037295257448848084,6,2,better
seed 46 only,20,Amargin,Aheur,final_Q_tau_main_1000,10,0,10,0.22759691531751497,0.19595869825174564,0.2883872633965402,10,0,better
seed 46 only,20,Amargin,Aheur,g_F,10,0,10,-0.011216293398604372,-0.04847395352640766,0.0029342003286184073,7,1,better
seed 46 only,20,Amargin,Aheur,g_off,10,0,10,0.0028837144411001715,-0.00017816488080136291,0.005472793130255907,4,0,worse
without seed 42,12,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.011793079280135815,0.004866728394710473,0.04348123185052541,10,0,better
without seed 42,12,Amargin,Aheur,g_F,40,0,10,0.0,0.0,0.0,1,9,equal
without seed 42,12,Amargin,Aheur,g_off,40,0,10,0.0,0.0,0.0,0,10,equal
without seed 42,16,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.17280121474099355,0.144061091406008,0.20346573276267682,10,0,better
without seed 42,16,Amargin,Aheur,g_F,32,8,10,0.0,-0.03220285093854264,0.021642140536837426,4,3,equal
without seed 42,16,Amargin,Aheur,g_off,32,8,10,0.0,-0.00043955632536708995,0.01966790707501984,4,2,equal
without seed 42,20,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.06990690722350923,0.05087107136960578,0.11246974040253188,10,0,better
without seed 42,20,Amargin,Aheur,g_F,40,0,10,-0.01965265719362596,-0.03275881494023984,0.0032483835319422607,7,0,better
without seed 42,20,Amargin,Aheur,g_off,40,0,10,0.008203770819544326,0.002445920634957621,0.012502018296164895,0,0,worse
without seed 43,12,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.005250773612292536,-0.01842133482178443,0.030510961671333547,7,0,better
without seed 43,12,Amargin,Aheur,g_F,40,0,10,0.0,0.0,0.0,0,10,equal
without seed 43,12,Amargin,Aheur,g_off,40,0,10,0.0,0.0,0.0,0,10,equal
without seed 43,16,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.17758348324104103,0.14794412444666954,0.24432442685783318,10,0,better
without seed 43,16,Amargin,Aheur,g_F,40,0,10,-0.004594112880025997,-0.02076666517377764,0.0013163269846922726,6,2,better
without seed 43,16,Amargin,Aheur,g_off,40,0,10,0.0015416856767141477,-0.00011972315848874382,0.007482967259213746,4,0,worse
without seed 43,20,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.14635258278797617,0.09303142345031107,0.23107773427926437,10,0,better
without seed 43,20,Amargin,Aheur,g_F,40,0,10,-0.014637553864687597,-0.03938563479439981,-0.004609168318509254,8,0,better
without seed 43,20,Amargin,Aheur,g_off,40,0,10,0.003773514812298578,0.001368242542771945,0.006866508627822964,0,0,worse
without seed 44,12,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.029316597222155683,-0.012147926890215432,0.07734779509479953,7,0,better
without seed 44,12,Amargin,Aheur,g_F,40,0,10,0.0,0.0,0.0,1,8,equal
without seed 44,12,Amargin,Aheur,g_off,40,0,10,0.0,0.0,0.0,0,9,equal
without seed 44,16,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.030618277558190438,0.016106507244824875,0.03856395356356909,9,0,better
without seed 44,16,Amargin,Aheur,g_F,32,8,10,0.0,-0.006323455603289497,0.021642140536837426,2,4,equal
without seed 44,16,Amargin,Aheur,g_off,32,8,10,0.0061082934913346465,0.0,0.021788953024196457,1,3,worse
without seed 44,20,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.14635258278797617,0.09303142345031107,0.23107773427926437,10,0,better
without seed 44,20,Amargin,Aheur,g_F,40,0,10,-0.02573045667302764,-0.05638803724860782,-0.014878388238944072,10,0,better
without seed 44,20,Amargin,Aheur,g_off,40,0,10,0.004846788196737938,0.0023258568549247025,0.008800586454389277,0,0,worse
without seed 45,12,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.018540990270811464,0.003902837699649997,0.04265286236989241,10,0,better
without seed 45,12,Amargin,Aheur,g_F,40,0,10,0.0,0.0,0.0,0,9,equal
without seed 45,12,Amargin,Aheur,g_off,40,0,10,0.0,0.0,0.0,0,9,equal
without seed 45,16,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.18704194116896872,0.15801138948080262,0.24432442685783318,10,0,better
without seed 45,16,Amargin,Aheur,g_F,32,8,10,-0.010382345259912558,-0.04109715884840114,-0.004827305451422599,8,1,better
without seed 45,16,Amargin,Aheur,g_off,32,8,10,-0.00010982595624348615,-0.0005604444484096001,0.004610468048565165,6,0,better
without seed 45,20,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.08611877169224852,0.039629474029617084,0.1252640671094557,10,0,better
without seed 45,20,Amargin,Aheur,g_F,40,0,10,-0.01677214569228284,-0.03418006963250499,0.0009168596532651797,8,0,better
without seed 45,20,Amargin,Aheur,g_off,40,0,10,0.006112497570561735,0.0037202859840015715,0.012273525830967844,0,0,worse
without seed 46,12,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.024074310904397933,-0.01842133482178443,0.07734779509479953,7,0,better
without seed 46,12,Amargin,Aheur,g_F,40,0,10,0.0,0.0,0.0,1,8,equal
without seed 46,12,Amargin,Aheur,g_off,40,0,10,0.0,0.0,0.0,0,9,equal
without seed 46,16,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.030618277558190438,0.016106507244824875,0.03856395356356909,9,0,better
without seed 46,16,Amargin,Aheur,g_F,32,8,10,0.0,-0.008721840617258792,0.009634881421819626,3,4,equal
without seed 46,16,Amargin,Aheur,g_off,32,8,10,0.004684001770732421,0.0,0.024890347085120335,1,3,worse
without seed 46,20,Amargin,Aheur,final_Q_tau_main_1000,40,0,10,0.061757961982889825,0.03182401747214597,0.11246974040253188,10,0,better
without seed 46,20,Amargin,Aheur,g_F,40,0,10,-0.02008828567286532,-0.0420196117959476,-0.0017829781775049501,8,0,better
without seed 46,20,Amargin,Aheur,g_off,40,0,10,0.0070383448042959105,0.003517637951917971,0.01268910891328806,0,0,worse
