n_assets,penalty_label,runs,runs_ok,runs_failed,instances,a_over_crit_median,best_shot_feasible_rate,no_feasible_shot_runs,optimal_rate,within_tau_main_rate,g_off_success_rate,g_off_success_but_not_tau_rate,final_P_F_p25,final_P_F_median,final_P_F_p75,final_P_tau_main_p25,final_P_tau_main_median,final_P_tau_main_p75,final_P_opt_p25,final_P_opt_median,final_P_opt_p75,final_Q_tau_main_1000_p25,final_Q_tau_main_1000_median,final_Q_tau_main_1000_p75,final_Q_opt_1000_p25,final_Q_opt_1000_median,final_Q_opt_1000_p75,initial_P_F_p25,initial_P_F_median,initial_P_F_p75,initial_P_tau_main_p25,initial_P_tau_main_median,initial_P_tau_main_p75,feasible_shot_fraction_p25,feasible_shot_fraction_median,feasible_shot_fraction_p75,g_F_p25,g_F_median,g_F_p75,g_off_p25,g_off_median,g_off_p75,rank_best_feasible_p25,rank_best_feasible_median,rank_best_feasible_p75,deflation_D_p25,deflation_D_median,deflation_D_p75,final_expected_violation_p25,final_expected_violation_median,final_expected_violation_p75,runtime_s_p25,runtime_s_median,runtime_s_p75
12,1.1xAcrit,2,2,0,2,1.1,1.0,0,1.0,1.0,1.0,0.0,0.19494519261706955,0.20626076602729881,0.21757633943752808,0.0095823755254969,0.011837819823995233,0.014093264122493565,0.0095823755254969,0.011837819823995233,0.014093264122493565,0.9995199167220722,0.9996799213583227,0.9998399259945732,0.9995199167220722,0.9996799213583227,0.9998399259945732,0.12064481239599445,0.15447271466064194,0.18830061692528943,0.0027628447278402746,0.0042277524480596185,0.005692660168278962,0.1875,0.201,0.2145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.573525277422347,0.6851736946497282,0.7968221118771094,1.789255308125175,1.838617772629755,1.8879802371343353,10.178585614077747,10.189502217806876,10.200418821536005
12,2xAcrit,2,2,0,2,2.0,1.0,0,1.0,1.0,1.0,0.0,0.30384410153237695,0.409650052923098,0.515456004313819,0.00989119685254991,0.01166199566796422,0.01343279448337853,0.00989119685254991,0.01166199566796422,0.01343279448337853,0.9997841599418447,0.9998560326104617,0.9999279052790788,0.9997841599418447,0.9998560326104617,0.9999279052790788,0.123834967070934,0.15034065641020788,0.17684634574948177,0.0020601699070539325,0.002836608386132866,0.0036130468652117997,0.293,0.405,0.517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8499537266244281,1.178586799356536,1.5072198720886438,1.9216739537503345,1.9757370403828096,2.029800127015285,10.07349600829184,10.109619568102062,10.145743127912283
12,5xAcrit,2,2,0,2,5.0,1.0,0,0.5,0.5,0.5,0.0,0.1987535196567478,0.2057445217433269,0.21273552382990601,0.003067238903895486,0.005803342719445936,0.008539446534996387,0.003067238903895486,0.005803342719445936,0.008539446534996387,0.4614454445770299,0.6409596655461524,0.8204738865152748,0.4614454445770299,0.6409596655461524,0.8204738865152748,0.1095676699114847,0.1151224873465253,0.12067730478156591,0.0012856774701504037,0.0018592144188005477,0.0024327513674506918,0.192,0.195,0.198,0.019592612663552098,0.039185225327104195,0.05877783799065629,0.003976477574795256,0.007952955149590511,0.011929432724385767,1.5,2.0,2.5,1.7713818906313654,2.8232971483792286,3.8752124061270923,4.30594510238075,6.916396440133062,9.526847777885376,10.100561989936978,10.12460767198354,10.148653354030102
12,10xAcrit,2,2,0,2,10.0,1.0,0,0.5,0.5,0.5,0.0,0.197281194064999,0.23098270845366642,0.26468422284233384,0.0026480262458790094,0.004467479593586177,0.006286932941293344,0.0026480262458790094,0.004467479593586177,0.006286932941293344,0.6725354995370891,0.7815930643902772,0.8906506292434653,0.6725354995370891,0.7815930643902772,0.8906506292434653,0.12776763457259221,0.13392763141382602,0.14008762825505983,0.0019824088958557695,0.00248489883961156,0.0029873887833673507,0.2015,0.227,0.2525,0.015403416274442075,0.03080683254888415,0.04621024882332622,0.001528230068607415,0.00305646013721483,0.004584690205822245,1.25,1.5,1.75,3.307095497309594,5.56448106341705,7.821866629524506,4.068963854419602,6.851692530532533,9.634421206645463,10.202740215696394,10.209095399826765,10.215450583957136
12,Amargin,2,2,0,2,10.255465265924155,1.0,0,1.0,1.0,1.0,0.0,0.37311094923643395,0.3748288970673457,0.3765468448982574,0.007825790904462337,0.008019180037081242,0.008212569169700146,0.007825790904462337,0.008019180037081242,0.008212569169700146,0.9995931796993867,0.9996568768030123,0.9997205739066378,0.9995931796993867,0.9996568768030123,0.9997205739066378,0.19624399009080662,0.1982004360652354,0.2001568820396642,0.0004666864624596201,0.0007345520571107045,0.0010024176517617889,0.34550000000000003,0.348,0.3505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.670790913882016,1.7306707332079547,1.7905505525338936,1.2059604221277258,1.3440519251173328,1.48214342810694,10.220272457459942,10.222064992878586,10.22385752829723
12,Aheur,2,2,0,2,643.5250125281157,1.0,0,0.5,0.5,1.0,0.5,0.17350360692944378,0.17531563178636134,0.1771276566432789,0.002457797760143876,0.0024846901651471853,0.0025115825701504946,0.002457797760143876,0.0024846901651471853,0.0025115825701504946,0.9145440031786136,0.9167852506013734,0.9190264980241333,0.9145440031786136,0.9167852506013734,0.9190264980241333,0.1134744418959599,0.11389998538652435,0.1143255288770888,0.0016685136361047626,0.0016767806373536587,0.0016850476386025548,0.195,0.199,0.20299999999999999,0.015403416274442075,0.03080683254888415,0.04621024882332622,0.00020265255093889913,0.00040530510187779825,0.0006079576528166974,1.25,1.5,1.75,77.13441214371383,78.25983154059423,79.38525093747462,12.897942599091948,12.910927830334913,12.923913061577878,10.10584640968591,10.133638401515782,10.161430393345654
16,1.1xAcrit,2,2,0,2,1.1,1.0,0,1.0,1.0,1.0,0.0,0.24120364883128786,0.25573037151480094,0.270257094198314,0.0022499754413729534,0.00347282164148055,0.004695667841588147,0.0014068538148421794,0.0017865783884190023,0.002166302961995825,0.730956140345667,0.8197566534760992,0.9085571666065312,0.7120821303722289,0.782008633529223,0.8519351366862171,0.13429036084505697,0.13618554399067762,0.13808072713629826,0.0001238067789017805,0.00024183430105040316,0.0003598618231990258,0.22425,0.23349999999999999,0.24275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.715296263575782,0.8766282373439598,1.0379602111121378,2.015258494922205,2.0865199719809078,2.1577814490396103,16.593440235359594,16.637711751740426,16.681983268121257
16,2xAcrit,2,2,0,2,2.0,1.0,0,1.0,1.0,1.0,0.0,0.31013392528984696,0.31471781147411093,0.3193016976583749,0.0017965903243748471,0.0027486267790663987,0.0037006632337579504,0.001095335275749676,0.0013461166818160564,0.0015968980878824368,0.6754450003974716,0.780485717514779,0.8855264346320864,0.638469878228732,0.7065354731772999,0.7746010681258677,0.14532107096272284,0.14814458364912753,0.1509680963355322,0.00018505087928133435,0.0002400071107331314,0.0002949633421849285,0.30374999999999996,0.3065,0.30925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.1922566738739933,1.549319090300592,1.9063815067271905,1.60653722069422,1.6899693422833182,1.7734014638724165,16.59165757568553,16.623593193478882,16.655528811272234
16,5xAcrit,2,2,0,2,5.0,1.0,0,1.0,1.0,1.0,0.0,0.4178994870526367,0.47409925317333546,0.5302990192940342,0.0014296602894319221,0.001986345712793991,0.00254303113615606,0.0009324959828518331,0.000992017099633813,0.0010515382164157927,0.6756277218397584,0.7688032936570401,0.8619788654743219,0.6045874254670678,0.6267227009116588,0.6488579763562499,0.05345763251301605,0.08385946944906664,0.11426130638511722,0.00019801062717306195,0.00021867109353479464,0.00023933155989652732,0.40675,0.47350000000000003,0.54025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7821247082013643,3.791621933489366,4.801119158777367,1.1313744421046832,1.2379849874106208,1.3445955327165584,16.668349400628358,16.678745297715068,16.689141194801778
16,10xAcrit,2,2,0,2,10.0,1.0,0,0.5,1.0,0.5,0.0,0.4230864071214455,0.4750984841521131,0.5271105611827807,0.0013174108025850728,0.0017050319875124842,0.0020926531724398956,0.0008731621346669272,0.0008920379623305053,0.0009109137899940833,0.6832847670773017,0.7610356080406302,0.8387864490039587,0.5823098841290132,0.5900512314573332,0.5977925787856531,0.028819399261915513,0.04948768343880461,0.0701559676156937,0.0003955795236834092,0.0007174307866080198,0.0010392820495326305,0.41574999999999995,0.4745,0.53325,0.001964780321262192,0.003929560642524384,0.005894340963786576,0.0005891366662511422,0.0011782733325022845,0.0017674099987534267,1.5,2.0,2.5,5.431904765413648,7.528793338803988,9.625681912194327,1.2358067993535704,1.2631972150310502,1.29058763070853,16.731047017732635,16.731859046500176,16.732671075267717
