n_assets,instance,penalty_label,penalty,qaoa_seed,precision,gradient_evaluations,objective_evaluations,scipy_status,scipy_message,scipy_iterations,scipy_final_grad_norm,scipy_version,scipy_ftol,scipy_gtol,best_expectation,seconds,final_P_F,final_P_tau_main,final_P_opt,final_Q_tau_main_1000,final_expected_violation,final_D_cond,shots_feasible,g_F,within_tau_main,is_optimal
20,0,Aheur,20.999999999965347,42,single,27,27,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,0.0007951222360134125,1.17.1,2.220446049250313e-09,1e-05,-0.9173750877380371,25.699222929775715,0.0337064461036789,2.779538090180722e-05,6.940820185263874e-06,0.02741301931941952,35.50643109955128,0.004120517576606108,31,0.15787692146314006,False,False
20,0,Aheur,20.999999999965347,42,double,17,17,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,8.603793683545358e-06,1.17.1,2.220446049250313e-09,1e-05,-0.9173761932623556,15.200430572964251,0.033704223527968265,2.779372324336961e-05,6.940397585486934e-06,0.027411407056256266,35.50640844996289,0.004119607595179966,30,0.1335003090877077,False,False
20,0,Aheur,20.999999999965347,43,single,36,36,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,0.003116592764854431,1.17.1,2.220446049250313e-09,1e-05,-1.7646465301513672,27.08079937659204,0.0038822139707122005,3.1906579351925757e-06,7.976426559253014e-07,0.0031855782694335884,30.38986918700271,0.001189155438406219,1,0.7709858284536952,False,False
20,0,Aheur,20.999999999965347,43,double,24,24,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,1.8437758954964467e-05,1.17.1,2.220446049250313e-09,1e-05,-1.7646938873771163,20.526566546410322,0.003843526469994256,3.158739081903981e-06,7.896737186921366e-07,0.0031537604873476915,30.38959394180955,0.0012093268195860637,3,0.3165673111639378,False,False
20,0,Amargin,0.4877661783330567,42,single,70,70,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,0.011026785243302584,1.17.1,2.220446049250313e-09,1e-05,-5.715482234954834,49.72751053888351,0.34334944800048106,4.2135283365496434e-05,1.0081386790261604e-05,0.04126078087299071,5.58903808959375,0.3992493715187259,327,0.04697354781167327,False,False
20,0,Amargin,0.4877661783330567,42,double,23,23,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,1.252892099548597e-05,1.17.1,2.220446049250313e-09,1e-05,-5.715489405741538,19.324082107283175,0.34428755798384236,4.26672876909033e-05,1.0216450483945294e-05,0.04177072024958379,5.588454795268704,0.3982730328011488,342,0.0,True,True
20,0,Amargin,0.4877661783330567,43,single,70,70,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,0.0005943849682807922,1.17.1,2.220446049250313e-09,1e-05,-1.9138730764389038,49.659647952765226,0.008385322504182113,7.292013151527499e-06,1.8356590771873016e-06,0.007265517323269127,28.810652870597934,0.012131686922952085,4,0.449620000367665,False,False
20,0,Amargin,0.4877661783330567,43,double,23,23,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,5.466466718472007e-06,1.17.1,2.220446049250313e-09,1e-05,-1.913875302968555,19.29552934411913,0.008386748352729484,7.293398121283782e-06,1.8360130502485893e-06,0.0072668922395784045,28.810631996378795,0.012133460069066158,8,0.20701966386385975,False,False
20,1,Aheur,20.99999999997685,42,single,30,30,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,0.0014206226915121078,1.17.1,2.220446049250313e-09,1e-05,-0.918299674987793,21.669101301580667,0.033656648791293264,6.907533133926336e-06,6.907533133926336e-06,0.006883754656112334,35.50543004222526,0.0024512422267711875,36,0.24265797809399428,False,False
20,1,Aheur,20.99999999997685,42,double,19,19,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,6.2413817966747165e-06,1.17.1,2.220446049250313e-09,1e-05,-0.9183005304669319,16.07751868572086,0.033670185505053817,6.910514810401211e-06,6.910514810401211e-06,0.006886715823502046,35.50533902916297,0.0024460503978558264,35,0.18282507367327885,False,False
