n_assets,n_select,feasible_set_size,solution,rank,rank_ties,solution_index,f,f_star,delta_F,penalty_label,penalty,threshold,threshold_kind,threshold_binding_m,a_margin,a_margin_target,a_heur,E_A,E_A_star,abs_E_star,g_off,g_F,deflation_D,c_max_all_states,c_max_cardinality,c_max_proven,r_all,r_all_of_worst_feasible
8,2,28,optimum,1,1,130,-0.25261168083239516,-0.25261168083239516,0.6360036898294753,1.1xAcrit,0.01178830224062556,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,-0.2997648897948974,-0.2997648897948974,0.2997648897948974,0.0,0.0,0.47132570862170636,4.709662805357285,8,True,1.0,0.8730386526099657
8,2,28,rank_2,2,1,6,-0.15076860308166284,-0.25261168083239516,0.6360036898294753,1.1xAcrit,0.01178830224062556,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,-0.1979218120441651,-0.2997648897948974,0.2997648897948974,0.3397431828004091,0.16012969638279675,0.47132570862170636,4.709662805357285,8,True,0.9796697179900832,0.8730386526099657
8,2,28,rank_5,5,1,132,-0.1106168733586747,-0.25261168083239516,0.6360036898294753,1.1xAcrit,0.01178830224062556,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,-0.15777008232117695,-0.2997648897948974,0.2997648897948974,0.4736872539371603,0.22326098062700228,0.47132570862170636,4.709662805357285,8,True,0.9716544850799754,0.8730386526099657
8,2,28,rank_10,10,1,144,-0.007801302507254748,-0.25261168083239516,0.6360036898294753,1.1xAcrit,0.01178830224062556,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,-0.05495451146975699,-0.2997648897948974,0.2997648897948974,0.816674622877424,0.3849197453410667,0.47132570862170636,4.709662805357285,8,True,0.9511300704944693,0.8730386526099657
8,2,28,median,15,1,12,0.13477892610017317,-0.25261168083239516,0.6360036898294753,1.1xAcrit,0.01178830224062556,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,0.08762571713767092,-0.2997648897948974,0.2997648897948974,1.2923148111095515,0.6091011941085359,0.47132570862170636,4.709662805357285,8,True,0.9226676916991015,0.8730386526099657
8,2,28,worst_feasible,28,1,5,0.38339200899708015,-0.25261168083239516,0.6360036898294753,1.1xAcrit,0.01178830224062556,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,0.3362388000345779,-0.2997648897948974,0.2997648897948974,2.1216750576247816,1.0,0.47132570862170636,4.709662805357285,8,True,0.8730386526099657,0.8730386526099657
8,2,28,published_qaoa,1,1,130,-0.25261168083239516,-0.25261168083239516,0.6360036898294753,1.1xAcrit,0.01178830224062556,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,-0.2997648897948974,-0.2997648897948974,0.2997648897948974,0.0,0.0,0.47132570862170636,4.709662805357285,8,True,1.0,0.8730386526099657
8,2,28,optimum,1,1,130,-0.25261168083239516,-0.25261168083239516,0.6360036898294753,2xAcrit,0.02143327680113738,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,-0.3383447880369447,-0.3383447880369447,0.3383447880369447,0.0,0.0,0.531985574058008,5.018301991293662,8,True,1.0,0.8812683165364595
8,2,28,rank_2,2,1,6,-0.15076860308166284,-0.25261168083239516,0.6360036898294753,2xAcrit,0.02143327680113738,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,-0.23650171028621236,-0.3383447880369447,0.3383447880369447,0.30100383204251346,0.16012969638279675,0.531985574058008,5.018301991293662,8,True,0.9809875315759651,0.8812683165364595
8,2,28,rank_5,5,1,132,-0.1106168733586747,-0.25261168083239516,0.6360036898294753,2xAcrit,0.02143327680113738,0.01071663840056869,"A_crit (exact, all states)",1,0.17759388197785167,-0.08573543725511219,8.999999999986137,-0.19634998056322422,-0.3383447880369447,0.3383447880369447,0.4196748775045877,0.22326098062700228,0.531985574058008,5.018301991293662,8,True,0.9734918479184351,0.8812683165364595
