arm,kind,n_assets,instance,qaoa_seed,batch,task_arn,execution_ms,billable_seconds,usd
sv1,shots,12,1,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/ad45b8f3-ecfd-4bd5-9d61-3b903d56c21b,16.0,3.0,0.00375
sv1,shots,12,1,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/43795d26-d43d-4e43-94b3-bb0ff0ee0c1e,27.0,3.0,0.00375
sv1,shots,12,1,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/fefb8fac-669a-4bea-84d6-13f75f747dcf,16.0,3.0,0.00375
sv1,shots,12,1,42,9,arn:aws:braket:us-east-1:000000000000:quantum-task/21fcf0af-482c-4acf-9282-399d8c0b67ad,15.0,3.0,0.00375
sv1,shots,12,1,43,0,arn:aws:braket:us-east-1:000000000000:quantum-task/d25a1a10-9918-4247-a064-809c82d5f8cc,16.0,3.0,0.00375
sv1,shots,12,1,43,1,arn:aws:braket:us-east-1:000000000000:quantum-task/d91c0f6b-f873-4e17-b136-317177348245,16.0,3.0,0.00375
sv1,shots,12,1,43,2,arn:aws:braket:us-east-1:000000000000:quantum-task/5e1b4890-ca14-4773-9678-00eed75173e3,16.0,3.0,0.00375
sv1,shots,12,1,43,3,arn:aws:braket:us-east-1:000000000000:quantum-task/b8c6b0ed-8ea8-4b94-93c9-8ea392381e46,16.0,3.0,0.00375
sv1,shots,12,1,43,4,arn:aws:braket:us-east-1:000000000000:quantum-task/33ed15da-2bfa-4d3d-b93d-0e062a9c93d9,15.0,3.0,0.00375
sv1,shots,12,1,43,5,arn:aws:braket:us-east-1:000000000000:quantum-task/6c975ad7-c264-4cf1-b72d-eeb14184202c,16.0,3.0,0.00375
sv1,shots,12,1,43,6,arn:aws:braket:us-east-1:000000000000:quantum-task/05bf5dcb-fe30-4db0-b2e8-fd525e435eb5,37.0,3.0,0.00375
sv1,shots,12,1,43,7,arn:aws:braket:us-east-1:000000000000:quantum-task/4354e934-49fa-488c-b3b7-5f7c52101d0b,15.0,3.0,0.00375
sv1,shots,12,1,43,8,arn:aws:braket:us-east-1:000000000000:quantum-task/1163db7a-b951-40ce-bb8b-2373c2acc610,15.0,3.0,0.00375
sv1,shots,12,1,43,9,arn:aws:braket:us-east-1:000000000000:quantum-task/7247dba0-a0dd-4623-94ce-37033fc28d05,15.0,3.0,0.00375
sv1,shots,16,0,42,0,arn:aws:braket:us-east-1:000000000000:quantum-task/bc1633c2-4182-4093-9edb-2c73f0964978,27.0,3.0,0.00375
sv1,shots,16,0,42,1,arn:aws:braket:us-east-1:000000000000:quantum-task/6f1937cd-02e1-4a68-9d17-f505028539ea,27.0,3.0,0.00375
sv1,shots,16,0,42,2,arn:aws:braket:us-east-1:000000000000:quantum-task/580d87ff-c185-45ea-b0e6-a604d6f1113f,26.0,3.0,0.00375
sv1,shots,16,0,42,3,arn:aws:braket:us-east-1:000000000000:quantum-task/593e2836-ae3f-4041-a37f-6a32aa0383a1,26.0,3.0,0.00375
sv1,shots,16,0,42,4,arn:aws:braket:us-east-1:000000000000:quantum-task/dd09e63e-195b-4d1c-b781-933e47ab87d7,27.0,3.0,0.00375
sv1,shots,16,0,42,5,arn:aws:braket:us-east-1:000000000000:quantum-task/d0392596-e091-46ca-8be7-6f478c8003a1,27.0,3.0,0.00375
sv1,shots,16,0,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/ce189eda-c6f5-44a4-b4be-afcf798d5297,29.0,3.0,0.00375
sv1,shots,16,0,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/457172bd-f4de-476e-8a10-cc31d0686af2,27.0,3.0,0.00375
sv1,shots,16,0,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/021dcc12-5c84-4e8e-b770-375096a60a11,38.0,3.0,0.00375
sv1,shots,16,0,42,9,arn:aws:braket:us-east-1:000000000000:quantum-task/06c8b268-1125-4556-85f0-dce7aae28189,27.0,3.0,0.00375
sv1,shots,16,0,43,0,arn:aws:braket:us-east-1:000000000000:quantum-task/a43600fd-da58-4f60-a7ac-cced27f07193,27.0,3.0,0.00375
sv1,shots,16,0,43,1,arn:aws:braket:us-east-1:000000000000:quantum-task/6b69161d-832f-4d7a-bf17-a7f93dc174fb,27.0,3.0,0.00375
sv1,shots,16,0,43,2,arn:aws:braket:us-east-1:000000000000:quantum-task/e65cb949-f289-45ec-ac85-bda49b258b83,26.0,3.0,0.00375
sv1,shots,16,0,43,3,arn:aws:braket:us-east-1:000000000000:quantum-task/4194576c-8283-4ff1-8c88-2495b0bc6c54,26.0,3.0,0.00375
sv1,shots,16,0,43,4,arn:aws:braket:us-east-1:000000000000:quantum-task/b06e4cce-686e-4a6d-85d1-8694771e95e9,25.0,3.0,0.00375
sv1,shots,16,0,43,5,arn:aws:braket:us-east-1:000000000000:quantum-task/5aa5199d-40a3-4f74-83c1-872b93143b14,27.0,3.0,0.00375
sv1,shots,16,0,43,6,arn:aws:braket:us-east-1:000000000000:quantum-task/46b28061-d731-488e-a11e-e1c36839487a,26.0,3.0,0.00375
sv1,shots,16,0,43,7,arn:aws:braket:us-east-1:000000000000:quantum-task/afc462b6-4d66-4a93-ac70-048ad8356aba,26.0,3.0,0.00375
sv1,shots,16,0,43,8,arn:aws:braket:us-east-1:000000000000:quantum-task/e67405f6-0b9e-40f3-9e84-51419a9b1970,27.0,3.0,0.00375
sv1,shots,16,0,43,9,arn:aws:braket:us-east-1:000000000000:quantum-task/5caf5843-2800-428a-acd5-b3475ac03a4f,34.0,3.0,0.00375
sv1,shots,16,1,42,0,arn:aws:braket:us-east-1:000000000000:quantum-task/5b1d4805-6083-4c1d-aae3-44e59e32e372,27.0,3.0,0.00375
sv1,shots,16,1,42,1,arn:aws:braket:us-east-1:000000000000:quantum-task/06f72cf5-4cd4-43f6-9ab3-9b8ac0548723,26.0,3.0,0.00375
sv1,shots,16,1,42,2,arn:aws:braket:us-east-1:000000000000:quantum-task/1429c61b-8e09-4be7-bcc7-4d1ddce6d060,27.0,3.0,0.00375
sv1,shots,16,1,42,3,arn:aws:braket:us-east-1:000000000000:quantum-task/6a382f6b-5150-4004-a1bf-e8d02450fb87,25.0,3.0,0.00375
sv1,shots,16,1,42,4,arn:aws:braket:us-east-1:000000000000:quantum-task/698bcb3c-c85f-4fa6-8000-7c0f92de7269,28.0,3.0,0.00375
sv1,shots,16,1,42,5,arn:aws:braket:us-east-1:000000000000:quantum-task/484fe43b-6f2f-4adc-95ed-103c961316ee,26.0,3.0,0.00375
sv1,shots,16,1,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/dc2690b0-020c-4afe-927c-3570db1d250b,27.0,3.0,0.00375
sv1,shots,16,1,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/ef454232-99a1-4cad-87c5-c3a62931c789,27.0,3.0,0.00375
sv1,shots,16,1,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/db8450fa-eb3d-45c2-a534-7d2be997a1fe,27.0,3.0,0.00375
sv1,shots,16,1,42,9,arn:aws:braket:us-east-1:000000000000:quantum-task/8cf373e3-15bd-4152-8dc0-8eff2f3f0ef6,26.0,3.0,0.00375
sv1,shots,16,1,43,0,arn:aws:braket:us-east-1:000000000000:quantum-task/09ac8276-f4ff-460e-8e8f-edd09d2d225b,27.0,3.0,0.00375
sv1,shots,16,1,43,1,arn:aws:braket:us-east-1:000000000000:quantum-task/37156410-c5fc-4d51-b130-183f1220dc8d,26.0,3.0,0.00375
sv1,shots,16,1,43,2,arn:aws:braket:us-east-1:000000000000:quantum-task/9556d94b-9589-4f84-93e1-807406dda2a1,26.0,3.0,0.00375
sv1,shots,16,1,43,3,arn:aws:braket:us-east-1:000000000000:quantum-task/dce2b86e-3bd4-4338-8ce9-7019aefa96c6,27.0,3.0,0.00375
sv1,shots,16,1,43,4,arn:aws:braket:us-east-1:000000000000:quantum-task/86394c91-5337-4f32-9328-ed1a69bdb812,31.0,3.0,0.00375
sv1,shots,16,1,43,5,arn:aws:braket:us-east-1:000000000000:quantum-task/b7759861-66d5-4087-9665-53af3169290c,26.0,3.0,0.00375
sv1,shots,16,1,43,6,arn:aws:braket:us-east-1:000000000000:quantum-task/61c3f40f-b080-4e07-b3ca-ba1d5166f6d0,27.0,3.0,0.00375
sv1,shots,16,1,43,7,arn:aws:braket:us-east-1:000000000000:quantum-task/d86cfdac-b9a6-4b6a-a76f-8e763ecd673b,27.0,3.0,0.00375
sv1,shots,16,1,43,8,arn:aws:braket:us-east-1:000000000000:quantum-task/15699376-d5a1-4486-af7b-70aeb6dab79d,36.0,3.0,0.00375
sv1,shots,16,1,43,9,arn:aws:braket:us-east-1:000000000000:quantum-task/ea363243-e1ec-4534-9712-76180cd01221,27.0,3.0,0.00375
sv1,shots,20,0,42,0,arn:aws:braket:us-east-1:000000000000:quantum-task/6c31fc5d-b5b1-4ba8-826f-d27a14ee1aed,109.0,3.0,0.00375
sv1,shots,20,0,42,1,arn:aws:braket:us-east-1:000000000000:quantum-task/ffce7641-147c-468b-b551-e7b4fd334a71,110.0,3.0,0.00375
sv1,shots,20,0,42,2,arn:aws:braket:us-east-1:000000000000:quantum-task/a910a598-2fd5-43f0-b784-27ab471a850d,109.0,3.0,0.00375
sv1,shots,20,0,42,3,arn:aws:braket:us-east-1:000000000000:quantum-task/ebb7f947-d03d-4649-be20-d2bfe3a893b3,110.0,3.0,0.00375
sv1,shots,20,0,42,4,arn:aws:braket:us-east-1:000000000000:quantum-task/c7b8b094-1f86-4439-b518-1224347e23b9,108.0,3.0,0.00375
sv1,shots,20,0,42,5,arn:aws:braket:us-east-1:000000000000:quantum-task/9f08dc65-3474-4c1b-b7f0-ec462b419f5d,110.0,3.0,0.00375
sv1,shots,20,0,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/6535f390-93d0-4dde-95a1-77694c7050cd,112.0,3.0,0.00375
sv1,shots,20,0,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/5398fc6d-d7d9-4941-be17-5b577f4a528b,109.0,3.0,0.00375
sv1,shots,20,0,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/fc9a4754-e1c3-4e36-9d88-bad2c0152b35,108.0,3.0,0.00375
sv1,shots,20,0,42,9,arn:aws:braket:us-east-1:000000000000:quantum-task/11bf4050-1c27-4fb0-a520-cad9199e973b,107.0,3.0,0.00375
sv1,shots,20,0,43,0,arn:aws:braket:us-east-1:000000000000:quantum-task/3d6163b6-1a10-49cf-b426-265c4e3dbfa9,251.0,3.0,0.00375
sv1,shots,20,0,43,1,arn:aws:braket:us-east-1:000000000000:quantum-task/2e1cc86b-b499-4af5-8f04-5d8a46154b45,109.0,3.0,0.00375
sv1,shots,20,0,43,2,arn:aws:braket:us-east-1:000000000000:quantum-task/8840b0c9-68ad-445b-be60-a8e1212c315b,109.0,3.0,0.00375
sv1,shots,20,0,43,3,arn:aws:braket:us-east-1:000000000000:quantum-task/9f87dfcd-7337-4504-b6cd-0e301e2a3b0e,109.0,3.0,0.00375
sv1,shots,20,0,43,4,arn:aws:braket:us-east-1:000000000000:quantum-task/29d34eeb-a33e-4598-b2da-bfdd1a51f4e9,108.0,3.0,0.00375
sv1,shots,20,0,43,5,arn:aws:braket:us-east-1:000000000000:quantum-task/86b89ba9-666b-4daf-8292-f1adc4a03f2b,111.0,3.0,0.00375
sv1,shots,20,0,43,6,arn:aws:braket:us-east-1:000000000000:quantum-task/1e3d65c5-915f-4d9b-849e-529011204245,109.0,3.0,0.00375
sv1,shots,20,0,43,7,arn:aws:braket:us-east-1:000000000000:quantum-task/ce042ca9-2a83-4389-b502-523a6a7b3fb8,109.0,3.0,0.00375
sv1,shots,20,0,43,8,arn:aws:braket:us-east-1:000000000000:quantum-task/30951b2c-8841-4e2a-9b2b-d5fda2e9b507,109.0,3.0,0.00375
sv1,shots,20,0,43,9,arn:aws:braket:us-east-1:000000000000:quantum-task/90d388a8-c7bb-47df-9e37-be8297329d9f,110.0,3.0,0.00375
sv1,shots,20,1,42,0,arn:aws:braket:us-east-1:000000000000:quantum-task/97c9522e-fa6f-4235-9602-795716823995,110.0,3.0,0.00375
sv1,shots,20,1,42,1,arn:aws:braket:us-east-1:000000000000:quantum-task/91341e13-8ec1-4909-92ae-a09dc6d9524f,109.0,3.0,0.00375
sv1,shots,20,1,42,2,arn:aws:braket:us-east-1:000000000000:quantum-task/833d6445-6fae-4386-8e57-40bdd3dfceb0,122.0,3.0,0.00375
sv1,shots,20,1,42,3,arn:aws:braket:us-east-1:000000000000:quantum-task/3323acda-5c24-4897-af49-a09f21d9c9d4,109.0,3.0,0.00375
sv1,shots,20,1,42,4,arn:aws:braket:us-east-1:000000000000:quantum-task/f527c729-982a-4ceb-b4f7-8a1d627f0c18,110.0,3.0,0.00375
sv1,shots,20,1,42,5,arn:aws:braket:us-east-1:000000000000:quantum-task/8aa20c48-469a-436e-beed-41716ab1b649,110.0,3.0,0.00375
sv1,shots,20,1,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/8912c2c8-2356-4a27-b51e-546b435bed85,109.0,3.0,0.00375
sv1,shots,20,1,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/19c077e4-a348-4e47-a280-0228a5ae2a9b,117.0,3.0,0.00375
sv1,shots,20,1,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/da1b8117-8a6c-4c7f-832f-120ce7b8bd15,110.0,3.0,0.00375
sv1,shots,20,1,42,9,arn:aws:braket:us-east-1:000000000000:quantum-task/2cb4d81c-08a0-487d-ab9f-a3344c4073d8,110.0,3.0,0.00375
sv1,shots,20,1,43,0,arn:aws:braket:us-east-1:000000000000:quantum-task/6d0e22ff-2b74-4a7c-afb0-525bc5eeb94f,112.0,3.0,0.00375
sv1,shots,20,1,43,1,arn:aws:braket:us-east-1:000000000000:quantum-task/95c956d7-362a-447b-b10a-c77e0214c7e2,110.0,3.0,0.00375
sv1,shots,20,1,43,2,arn:aws:braket:us-east-1:000000000000:quantum-task/17b363af-63fc-4195-aa3c-8e01211d17ed,252.0,3.0,0.00375
sv1,shots,20,1,43,3,arn:aws:braket:us-east-1:000000000000:quantum-task/9ae78b2d-7cbf-4e58-b4a5-79d61e59cd9f,108.0,3.0,0.00375
sv1,shots,20,1,43,4,arn:aws:braket:us-east-1:000000000000:quantum-task/02bd8659-24fe-4526-9012-dd7a4dc52a8d,111.0,3.0,0.00375
sv1,shots,20,1,43,5,arn:aws:braket:us-east-1:000000000000:quantum-task/08c35d54-a55e-4303-888d-dc74ab02624c,107.0,3.0,0.00375
sv1,shots,20,1,43,6,arn:aws:braket:us-east-1:000000000000:quantum-task/4c344206-26d2-4814-b1a3-7a22a8591c53,108.0,3.0,0.00375
sv1,shots,20,1,43,7,arn:aws:braket:us-east-1:000000000000:quantum-task/7193e001-c7c4-41ee-9d3b-66375580ca57,108.0,3.0,0.00375
sv1,shots,20,1,43,8,arn:aws:braket:us-east-1:000000000000:quantum-task/914ea0cf-9f5b-4f32-ad91-252ceac4fcd2,112.0,3.0,0.00375
sv1,shots,20,1,43,9,arn:aws:braket:us-east-1:000000000000:quantum-task/afcce576-ac9d-444c-945e-01411f247b14,111.0,3.0,0.00375
