sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,16,44,2,48,-5.174812456186741
seeds,16,44,2,49,-5.176550894864711
seeds,16,45,2,0,2.1626962485180603
seeds,16,45,2,1,1.2435854166555975
seeds,16,45,2,2,1.048399205074209
seeds,16,45,2,3,1.2448329592998464
seeds,16,45,2,4,1.122224884095903
seeds,16,45,2,5,0.8485363044378915
seeds,16,45,2,6,0.8765748112249163
seeds,16,45,2,7,0.4115919590355531
seeds,16,45,2,8,-0.3174423127618657
seeds,16,45,2,9,-0.5074501760096746
seeds,16,45,2,10,-0.660935695747668
seeds,16,45,2,11,-0.6526826240357313
seeds,16,45,2,12,-0.8450774181807127
seeds,16,45,2,13,-1.1597683628307836
seeds,16,45,2,14,-1.221331348838043
seeds,16,45,2,15,-1.065666278842762
seeds,16,45,2,16,-0.8905088843181332
seeds,16,45,2,17,-0.7900184392534677
seeds,16,45,2,18,-0.8255411538892481
seeds,16,45,2,19,-0.9390978954031385
seeds,16,45,2,20,-1.0151420087366516
seeds,16,45,2,21,-0.9974663432143086
seeds,16,45,2,22,-0.9527003911697156
seeds,16,45,2,23,-0.9436047482859689
seeds,16,45,2,24,-0.9578578200169351
seeds,16,45,2,25,-0.9915753266321475
seeds,16,45,2,26,-1.0437770868018759
seeds,16,45,2,27,-1.0848143652749176
seeds,16,45,2,28,-1.1114471678630755
seeds,16,45,2,29,-1.1552730514019895
seeds,16,45,2,30,-1.209724784322764
seeds,16,45,2,31,-1.246115885133551
seeds,16,45,2,32,-1.254675401127733
seeds,16,45,2,33,-1.2162594561291078
seeds,16,45,2,34,-1.1965113226906514
seeds,16,45,2,35,-1.2162925011548293
seeds,16,45,2,36,-1.2347238023171023
seeds,16,45,2,37,-1.2392878220962145
seeds,16,45,2,38,-1.2201602097684037
seeds,16,45,2,39,-1.215520317379814
seeds,16,45,2,40,-1.2286523730405599
seeds,16,45,2,41,-1.251845114262037
seeds,16,45,2,42,-1.2735302222879283
seeds,16,45,2,43,-1.2749403644248967
seeds,16,45,2,44,-1.2746864569575103
seeds,16,45,2,45,-1.274513953301197
seeds,16,45,2,46,-1.2720312834865333
seeds,16,45,2,47,-1.2674103292117402
seeds,16,45,2,48,-1.2577156676918257
seeds,16,45,2,49,-1.261521244997914
seeds,16,46,2,0,3.433949603320949
seeds,16,46,2,1,1.1366982810415416
seeds,16,46,2,2,0.3440823621677733
seeds,16,46,2,3,0.5705895592708635
seeds,16,46,2,4,0.17658162839839475
seeds,16,46,2,5,-0.06569629528348409
seeds,16,46,2,6,0.08380359137293567
seeds,16,46,2,7,0.1657173295657732
seeds,16,46,2,8,0.008025229714343156
seeds,16,46,2,9,-0.30499716092153956
seeds,16,46,2,10,-0.6152970253746355
seeds,16,46,2,11,-0.7791203328784474
seeds,16,46,2,12,-0.7809017579461185
seeds,16,46,2,13,-0.7614503857575784
seeds,16,46,2,14,-0.8522484617667195
seeds,16,46,2,15,-1.03096547659468
seeds,16,46,2,16,-1.1818763698176837
seeds,16,46,2,17,-1.2428658068152472
seeds,16,46,2,18,-1.266917948207498
seeds,16,46,2,19,-1.345863499812292
seeds,16,46,2,20,-1.51207566317565
seeds,16,46,2,21,-1.7249176314767714
seeds,16,46,2,22,-1.9210510368338307
seeds,16,46,2,23,-2.0830968403505414
seeds,16,46,2,24,-2.2745039091825006
seeds,16,46,2,25,-2.580267369454531
seeds,16,46,2,26,-3.0290163886575465
seeds,16,46,2,27,-3.546787877003266
seeds,16,46,2,28,-3.985222492102706
seeds,16,46,2,29,-4.404689233291746
seeds,16,46,2,30,-4.91259897652906
seeds,16,46,2,31,-5.243971149400086
seeds,16,46,2,32,-5.336946858469024
seeds,16,46,2,33,-5.349979229074101
seeds,16,46,2,34,-5.363376578428718
seeds,16,46,2,35,-5.364576373016597
seeds,16,46,2,36,-5.299924492175485
seeds,16,46,2,37,-5.335449513288158
seeds,16,46,2,38,-5.202694145087712
seeds,16,46,2,39,-5.099280731071962
seeds,16,46,2,40,-5.173557856953738
seeds,16,46,2,41,-5.153545056495833
seeds,16,46,2,42,-5.2359785533640135
seeds,16,46,2,43,-5.227391665262466
seeds,16,46,2,44,-5.213738617854407
seeds,16,46,2,45,-5.255822096075633
seeds,16,46,2,46,-5.310938861368894
seeds,16,46,2,47,-5.331376186708489
seeds,16,46,2,48,-5.312813737669607
seeds,16,46,2,49,-5.289884084172998
seeds,20,42,2,0,0.7829868535391366
seeds,20,42,2,1,0.8157966710484742
seeds,20,42,2,2,0.8089374190154881
seeds,20,42,2,3,0.015025639364358776
seeds,20,42,2,4,-0.15051679549214378
seeds,20,42,2,5,0.189424684625951
seeds,20,42,2,6,-0.07867471047804515
seeds,20,42,2,7,-0.5525308403021119
seeds,20,42,2,8,-0.6360361190457495
seeds,20,42,2,9,-0.5411697728911844
seeds,20,42,2,10,-0.655900603636114
seeds,20,42,2,11,-0.8624387856180544
seeds,20,42,2,12,-0.8108404226728416
seeds,20,42,2,13,-0.684986737696159
seeds,20,42,2,14,-0.6826119504234811
seeds,20,42,2,15,-0.7144995530645678
seeds,20,42,2,16,-0.6779272196185738
seeds,20,42,2,17,-0.6539648660572144
seeds,20,42,2,18,-0.7346668219795699
seeds,20,42,2,19,-0.8580033501958716
seeds,20,42,2,20,-0.9005744810712522
seeds,20,42,2,21,-0.8615160020452285
seeds,20,42,2,22,-0.8407558526308883
seeds,20,42,2,23,-0.8499025548865267
seeds,20,42,2,24,-0.8406477139186743
seeds,20,42,2,25,-0.8277105312691434
seeds,20,42,2,26,-0.8389305275003187
seeds,20,42,2,27,-0.8503258292875211
seeds,20,42,2,28,-0.8423784215173541
seeds,20,42,2,29,-0.8422346101512173
seeds,20,42,2,30,-0.8697893400355435
seeds,20,42,2,31,-0.9003425059617414
seeds,20,42,2,32,-0.9074716500067762
seeds,20,42,2,33,-0.8962963081284273
