subset,n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
seed 42 only,20,Amargin,Aheur,g_F,30,0,30,-0.04611418598615081,-0.0721846535765483,-0.020846048847662633,25,1,better
seed 42 only,20,Amargin,Aheur,g_off,30,0,30,0.006997388038192244,0.004635880372778503,0.009387006330660322,3,0,worse
seed 43 only,12,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.09525663183985095,0.07353026918875116,0.1725983692670715,30,0,better
seed 43 only,12,Amargin,Aheur,g_F,30,0,30,-0.19832212678426697,-0.281135793737814,-0.10329223753619524,24,0,better
seed 43 only,12,Amargin,Aheur,g_off,30,0,30,0.03879850225840565,-0.002551794982717875,0.07479666166659768,12,0,worse
seed 43 only,16,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.0029730600800262352,0.00191339974276028,0.004084347663773469,30,0,better
seed 43 only,16,Amargin,Aheur,g_F,9,21,9,-0.08463884187292214,-0.43659757629521107,0.3448957946317585,5,0,better
seed 43 only,16,Amargin,Aheur,g_off,9,21,9,0.11561933839036738,0.012240459290467144,0.1606448028410549,0,0,worse
seed 43 only,20,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.0014747410498002766,0.0008705631667302871,0.0018142495397718283,30,0,better
seed 43 only,20,Amargin,Aheur,g_F,29,1,29,-0.02828096608438921,-0.09567456763143051,0.015037392020175178,18,0,better
seed 43 only,20,Amargin,Aheur,g_off,29,1,29,0.04382785211823247,0.02755242645465351,0.050313645112784446,0,0,worse
seed 44 only,12,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.0003595755789329025,0.0002611499659430083,0.0004116435835445076,26,0,better
seed 44 only,12,Amargin,Aheur,g_F,30,0,30,0.0,0.0,0.0,0,30,equal
seed 44 only,12,Amargin,Aheur,g_off,30,0,30,0.0,0.0,0.0,0,30,equal
seed 44 only,16,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.38434002943741713,0.3590458023361755,0.41359231610504665,30,0,better
seed 44 only,16,Amargin,Aheur,g_F,30,0,30,-0.010227754367235354,-0.016930300001833713,0.0,17,6,better
seed 44 only,16,Amargin,Aheur,g_off,30,0,30,0.0,-0.00011054552079909728,0.004129125820706925,14,4,equal
seed 44 only,20,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,-0.09575139015221235,-0.11882560356294303,-0.06525261425712836,0,0,worse
seed 44 only,20,Amargin,Aheur,g_F,30,0,30,0.030582075166838012,0.01058714464949967,0.04103992840125128,3,0,worse
seed 44 only,20,Amargin,Aheur,g_off,30,0,30,0.011375301630233276,0.009625724358953579,0.015849532930354304,1,0,worse
seed 45 only,12,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.006170404201789437,-0.13009470787623317,0.07419488732532936,17,0,better
seed 45 only,12,Amargin,Aheur,g_F,30,0,30,0.0,0.0,0.0,4,19,equal
seed 45 only,12,Amargin,Aheur,g_off,30,0,30,0.0,0.0,0.0,4,19,equal
seed 45 only,16,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,-0.15703402776412262,-0.16150858610912672,-0.15195917504309864,0,0,worse
seed 45 only,16,Amargin,Aheur,g_F,30,0,30,0.06185386781706269,0.033783266370805295,0.08408027596480872,5,1,worse
seed 45 only,16,Amargin,Aheur,g_off,30,0,30,0.028578796413168676,0.022677116119200383,0.04125504685375237,0,1,worse
seed 45 only,20,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.1297316260444789,0.09573706932179249,0.1547819305606174,30,0,better
seed 45 only,20,Amargin,Aheur,g_F,30,0,30,-0.021316948738459615,-0.045716850997155646,-0.004850938985307507,22,2,better
seed 45 only,20,Amargin,Aheur,g_off,30,0,30,0.005469463338179725,0.0019918316280977772,0.007785794488537021,8,0,worse
seed 46 only,12,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.010715837601887712,0.009697261939992438,0.011616051455374365,29,0,better
seed 46 only,12,Amargin,Aheur,g_F,30,0,30,0.0,0.0,0.0,0,30,equal
seed 46 only,12,Amargin,Aheur,g_off,30,0,30,0.0,0.0,0.0,0,30,equal
seed 46 only,16,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.3668567801156714,0.3024239266320585,0.4280094124275325,30,0,better
seed 46 only,16,Amargin,Aheur,g_F,30,0,30,0.0,-0.0072207490844461205,0.0,11,13,equal
seed 46 only,16,Amargin,Aheur,g_off,30,0,30,0.0,0.0,0.0005625194488519847,9,11,equal
seed 46 only,20,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.1241317521245271,0.10917090105378156,0.16955386962814045,30,0,better
seed 46 only,20,Amargin,Aheur,g_F,30,0,30,-0.025877112375254478,-0.03978357050436345,-0.016395195012836095,24,2,better
seed 46 only,20,Amargin,Aheur,g_off,30,0,30,0.0034249952254636,0.0022217316487516564,0.006094659123045159,5,1,worse
without seed 42,12,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.006348483529828891,0.00550142021814364,0.03903471277526907,29,0,better
without seed 42,12,Amargin,Aheur,g_F,120,0,30,0.0,0.0,0.0,3,25,equal
without seed 42,12,Amargin,Aheur,g_off,120,0,30,0.0,0.0,0.0,1,24,equal
without seed 42,16,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.1881777771116179,0.15919154104257432,0.20845404685129035,30,0,better
without seed 42,16,Amargin,Aheur,g_F,99,21,30,0.0,0.0,0.010480105968606811,8,9,equal
without seed 42,16,Amargin,Aheur,g_off,99,21,30,0.004880692769643079,0.0009395863395668706,0.009098772626268665,3,6,worse
without seed 42,20,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.05486226093053179,0.04656773719611081,0.07041003707141294,30,0,better
without seed 42,20,Amargin,Aheur,g_F,119,1,30,-0.009481595801316287,-0.020696280514448183,0.0023764457169728965,20,0,better
without seed 42,20,Amargin,Aheur,g_off,119,1,30,0.010712212522397964,0.009703655721476752,0.01316469112833483,0,0,worse
without seed 43,12,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.005834032638312392,0.0026324066773467936,0.02230403498748082,24,0,better
without seed 43,12,Amargin,Aheur,g_F,120,0,30,0.0,0.0,0.0,1,27,equal
without seed 43,12,Amargin,Aheur,g_off,120,0,30,0.0,0.0,0.0,1,27,equal
