n_assets,penalty_label,runs,runs_ok,runs_failed,instances,a_over_crit_median,best_shot_feasible_rate,no_feasible_shot_runs,optimal_rate,within_tau_main_rate,g_off_success_rate,g_off_success_but_not_tau_rate,final_P_F_p25,final_P_F_median,final_P_F_p75,final_P_tau_main_p25,final_P_tau_main_median,final_P_tau_main_p75,final_P_opt_p25,final_P_opt_median,final_P_opt_p75,final_Q_tau_main_1000_p25,final_Q_tau_main_1000_median,final_Q_tau_main_1000_p75,final_Q_opt_1000_p25,final_Q_opt_1000_median,final_Q_opt_1000_p75,initial_P_F_p25,initial_P_F_median,initial_P_F_p75,initial_P_tau_main_p25,initial_P_tau_main_median,initial_P_tau_main_p75,feasible_shot_fraction_p25,feasible_shot_fraction_median,feasible_shot_fraction_p75,g_F_p25,g_F_median,g_F_p75,g_off_p25,g_off_median,g_off_p75,rank_best_feasible_p25,rank_best_feasible_median,rank_best_feasible_p75,deflation_D_p25,deflation_D_median,deflation_D_p75,final_expected_violation_p25,final_expected_violation_median,final_expected_violation_p75,runtime_s_p25,runtime_s_median,runtime_s_p75
12,Amargin,50,50,0,10,2.2387900791429187,1.0,0,0.72,0.74,0.72,0.0,0.06354090923791489,0.3401488719682675,0.42352717637550086,0.0010094640601892024,0.005444419104605913,0.010142648592591286,0.0008932139026001096,0.005444419104605913,0.009792054072022438,0.6298259397355085,0.9955552332403772,0.9999625881141485,0.5908204922425903,0.9955552332403772,0.9999444471264362,0.12043333322799299,0.12941787988893338,0.16062137900371454,0.0017066412256099284,0.0023394632153213024,0.0038273932586889714,0.0605,0.3295,0.43,0.0,0.0,0.015558150915650173,0.0,0.0,0.008904451027403913,1.0,1.0,2.0,1.1606790716261757,1.2683974120854093,1.7761979292535657,0.8584016292563736,1.5246272616494951,13.957406223402046,10.106735587120056,16.578989944886416,20.27455818094313
12,Aheur,50,50,0,10,92.05088917144266,1.0,0,0.8,0.8,0.86,0.06,0.08133256383007392,0.3345094530377537,0.522542814258486,0.0016069706762209535,0.005383751820772886,0.008036437910050154,0.001310458086663857,0.005383751820772886,0.00793206668458879,0.7772154243149982,0.995438934525263,0.999686817512073,0.7305346906388109,0.995438934525263,0.9996492545325566,0.06755142126348801,0.11359930195612833,0.1190959376108367,0.0010363828914705664,0.0016925534000620246,0.002004217851208523,0.08925,0.3285,0.5115000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,57.32957273472381,73.90344372329619,76.00899274683343,0.5906059679500641,3.2359468780357474,15.542484020165375,11.313066161936149,13.031889443751425,20.156445591012016
16,Amargin,50,50,0,10,3.6783967803540634,0.94,2,0.3541666666666667,0.3541666666666667,0.3541666666666667,0.0,0.05681931697949949,0.3553748927079141,0.4083357224953943,2.2475372134067584e-05,0.0007770133670419455,0.0011028482986148447,1.6982326542347437e-05,0.0006073318654671311,0.001055963453836739,0.022224030948336405,0.5402371700467605,0.6682776059754021,0.016835454065503297,0.4500327080250427,0.6523350563245294,0.06993847545480492,0.10120521042699693,0.12189930492820622,0.00020137045794399455,0.0004184694407740608,0.0006376269484462682,0.04725,0.3645,0.408,0.0,0.03425705615613792,0.1061901662115704,0.0,0.013171950572581342,0.042640806947977505,1.0,2.0,18.75,2.672177891418745,2.942102648546326,3.248467588968673,0.9963400396051016,1.3349617165211956,19.593599468529476,18.92207580851391,27.326479287818074,31.063842665636912
16,Aheur,50,50,0,10,139.49149483925737,0.84,8,0.40476190476190477,0.42857142857142855,0.8095238095238095,0.38095238095238093,0.02331753409362136,0.2809298235079041,0.38386659417301416,3.869688862323528e-05,0.0004727377090603113,0.0008299318724311888,3.8616355595877394e-05,0.0004659970145439729,0.000727132020983845,0.03795843927944858,0.37677575920602235,0.5640711816620309,0.03788096716024868,0.37255126724796517,0.5168330918484769,0.030916555769181286,0.034912154405901674,0.1009025174062117,4.70170853077434e-05,6.380486229318194e-05,0.0001859984204202192,0.02525,0.275,0.3895,0.0,0.036389893953920234,0.08376068054457045,0.0,0.00025651507051100157,0.00070455594464695,1.0,2.0,8.0,95.11716301300004,117.8852301308144,140.09662630115233,1.109339841472533,18.143529310067976,22.680111888566444,14.017430166015401,21.148204845841974,28.917859758483246
20,Amargin,50,50,0,10,2.9128417205034127,0.98,0,0.06,0.14,0.06,0.0,0.2489921211958972,0.3421530275722944,0.3944418958976712,1.601269764250901e-05,0.0001363188639516011,0.00032070545057649724,1.1002054179698462e-05,5.803886779176537e-05,0.0001525824009149801,0.015883215247220604,0.127440636924475,0.274171736079991,0.010940557258952268,0.05636583653016383,0.14151434862356965,0.03768527858888193,0.04764201365676968,0.08828751928695056,2.1504581582121318e-05,4.3430363803054206e-05,7.700728792769951e-05,0.2175,0.3265,0.406,0.017059550151858418,0.04216023694500046,0.07571299708129156,0.003963767859588426,0.009750510736071704,0.018129320400906056,4.0,10.5,51.0,4.296870413682975,4.504454295976669,4.961778972813705,1.4161804511512384,5.507352893465807,10.508647517001917,32.91769149014726,44.857655660714954,56.46143017034046
20,Aheur,50,50,0,10,99.40782225468385,1.0,0,0.02,0.08,0.76,0.68,0.03378077444904193,0.26765688641171437,0.36938280879257945,8.703421144673484e-06,7.641894262633286e-05,0.0001640475238673389,6.947850579308579e-06,5.472518751048483e-05,7.648579230590258e-05,0.00866113982584313,0.07357469189680131,0.15130971284724853,0.006923794034024219,0.053256128020572585,0.07363662786450537,0.032878952552323426,0.08712499567263876,0.09288029268145692,7.857385867282574e-06,2.0891326130367815e-05,4.6123438551148865e-05,0.03025,0.2685,0.3675,0.0394097367733747,0.06052138089670747,0.14420746750994715,0.0002224538825661274,0.0004085742684236224,0.0009066030130775471,10.25,24.0,175.5,133.40426600844037,154.48255639231388,186.76012659445362,1.2417377779695036,27.458002337615547,30.387138872676175,23.755685105919838,36.20205216668546,55.16280759777874
