n_assets,n_select,instance,is_published_instance,instance_digest,feasible_set_size,energy_optimum,objective_optimum,objective_range,abs_energy_optimum,deflation_factor,sharpe_optimum,band_pct,band_count,band_fraction,band_sharpe_min,band_sharpe_max,band_sharpe_spread_pct,penalty_used,penalty_min,penalty_overshoot,penalty_binding_cardinality,penalty_binding_is_exact,quantum_backend,energy_quantum,quantum_feasible,quantum_runtime_s,reported_gap_pct,gap_of_objective_range_pct,quantum_rank,sharpe_quantum,sharpe_delta_pct
12,2,0,True,941157873a8b,66,-52.25261168074922,-0.2526116808323877,0.6490147388383107,52.25261168074922,80.51067033435574,1.3218756853432454,0.1,1,0.015151515151515152,1.3218756853432454,1.3218756853432454,0.0,12.999999999979208,0.010716638400568579,1213.0669631709775,1,True,lightning_gpu,-52.25261168074922,True,9.971188731491566,0.0,0.0,1,1.3218756853432454,0.0
12,2,1,False,3798cace2ea7,66,-51.84652728797141,0.15347271196197454,0.6821104373881042,51.84652728797141,76.00899274683287,0.8071062374637792,0.1,2,0.030303030303030304,0.8071062374637792,1.2926724802368494,60.16137903962875,12.999999999983347,0.17571589589173636,73.98306188526632,1,True,lightning_gpu,-51.804499963922495,True,9.794042964465916,0.08106102037554813,6.16136650977591,2,1.2926724802368494,60.16137903962875
12,2,2,False,742e2b26d834,66,-52.137517188605415,-0.13751718866097207,0.5915073884278499,52.137517188605415,88.14347581892459,1.5925130800477116,0.1,1,0.015151515151515152,1.5925130800477116,1.5925130800477116,0.0,12.99999999998611,0.0,inf,1,True,lightning_gpu,-52.137517188605415,True,9.845318925566971,0.0,0.0,1,1.5925130800477116,0.0
12,2,3,False,f66f5903076c,66,-52.082687980084636,-0.08268798014019296,0.7183763607746485,52.082687980084636,72.50055935014647,1.5910944783780911,0.1,1,0.015151515151515152,1.5910944783780911,1.5910944783780911,0.0,12.99999999998611,0.05423557376967976,239.69507643069727,1,True,lightning_gpu,-52.082687980084636,True,9.941612081602216,0.0,0.0,1,1.5910944783780911,0.0
12,2,4,False,740c7a03908a,66,-52.30715718882962,-0.30715718891278954,0.7133683375969753,52.30715718882962,73.32419233103262,1.4663767341361262,0.1,1,0.015151515151515152,1.4663767341361262,1.4663767341361262,0.0,12.999999999979208,0.0,inf,5,False,lightning_gpu,-52.30715718882962,True,10.388723392039537,0.0,0.0,1,1.4663767341361262,0.0
12,2,5,False,9c3650a19eba,66,-51.86816642870462,0.1318335711952443,0.6963787541284816,51.86816642870462,74.48269511555914,1.3951242001054784,0.1,3,0.045454545454545456,1.1350936494761146,1.3951242001054784,18.63852340957918,12.999999999974966,0.25134071621935006,51.72261858532148,1,True,lightning_gpu,-51.86816642870462,True,9.948836274445057,0.0,0.0,1,1.3951242001054784,0.0
12,2,6,False,61cd771b698a,66,-51.838797150611875,0.16120284928818052,0.9042243763176359,51.838797150611875,57.32957273472347,1.0149862954812678,0.1,6,0.09090909090909091,0.9374092049343971,1.310535097105537,36.76166799811004,12.999999999975014,0.2457529320633901,52.89865675589076,1,True,lightning_gpu,-51.838797150611875,True,9.827073806896806,0.0,0.0,1,1.0149862954812678,0.0
12,2,7,False,6ae2087493d3,66,-52.24331837770312,-0.24331837780325571,1.1416497313076164,52.24331837770312,45.76124965917958,1.7210190677255686,0.1,2,0.030303030303030304,1.689530060931815,1.7210190677255686,1.8296721625152181,12.999999999974966,0.0,inf,1,True,lightning_gpu,-52.24331837770312,True,9.837771833874285,0.0,0.0,1,1.7210190677255686,0.0
12,2,8,False,e516d5ec7c2b,66,-52.146062597946894,-0.14606259804229182,1.0175618013780223,52.146062597946894,51.24608896219241,1.433203646389279,0.1,9,0.13636363636363635,1.0952250431648551,1.433203646389279,23.58203623580678,12.99999999997615,0.11805440907930859,110.11871645761906,1,True,lightning_gpu,-52.146062597946894,True,9.990835580043495,0.0,0.0,1,1.4332036463892788,-1.549288584943502e-14
12,2,9,False,2f1babcfca89,66,-52.137517188605415,-0.13751718866097207,0.6975894625131218,52.137517188605415,74.73954236747763,1.5925130800477116,0.1,1,0.015151515151515152,1.5925130800477116,1.5925130800477116,0.0,12.99999999998611,0.0,inf,1,True,lightning_gpu,-52.06608773924736,True,9.888908956199884,0.13700201545781995,10.23946793873956,2,1.558209260690386,-2.154068295394974
