spec_version,arm,backend,precision,n_assets,n_select,instance,instance_digest,qaoa_seed,e1_run_id,penalty_label,penalty,p_layers,angles,f_star,delta_F,feasible_set_size,data_start,data_end,batch,task_arn,execution_ms,shots,feasible_shots,distinct_shots,best_all_index,best_all_cardinality,best_all_feasible,best_all_E,best_all_f,energy_no_offset_solver,best_shot_scorer_agrees,feasible_shot_fraction,best_feasible_index,f_best_feasible,g_F,g_off,rank_best_feasible,rank_ties,is_optimal,within_tau_main,within_tau_alt,sharpe_best_feasible,return_best_feasible,volatility_best_feasible,shots_within_tau_main,shots_optimal
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,0,arn:aws:braket:us-east-1:000000000000:quantum-task/c7bcdf3a-3b2c-491d-9355-b692c48ab990,27.0,1000,8,844,1536,2,True,-51.99917553001218,0.0008244699046465187,,,0.008,1536,0.0008244699046465187,0.39049367536809987,0.00485021021122303,17,1,False,False,False,0.6713328291879233,0.1521467548780049,0.2251442925275073,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,1,arn:aws:braket:us-east-1:000000000000:quantum-task/5a966218-6267-4174-9154-88c0bfd94079,32.0,1000,10,847,1032,2,True,-52.110616873275504,-0.1106168733586747,,,0.01,1032,-0.1106168733586747,0.2187851815628711,0.002717468139990289,6,1,False,False,False,1.088869188485919,0.3163022861826948,0.2895685629796588,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,2,arn:aws:braket:us-east-1:000000000000:quantum-task/793b386b-1eee-4d04-b145-56d4ac7ac17c,18.0,1000,8,830,68,2,True,-52.07953997417389,-0.0795399742570615,,,0.008,68,-0.0795399742570615,0.26666837626078865,0.0033122116006901203,8,1,False,False,False,1.1172922135622942,0.36437243578231837,0.32522596270833015,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,3,arn:aws:braket:us-east-1:000000000000:quantum-task/74caad7e-e6a2-4b2c-9767-e5c768c3807c,17.0,1000,19,858,1280,2,True,-52.00483312871737,-0.004833128800544373,,,0.019,1280,-0.004833128800544373,0.3817764639295468,0.004741936222168523,16,1,False,False,False,0.6810925232406679,0.15325850921456086,0.22355040470875856,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,4,arn:aws:braket:us-east-1:000000000000:quantum-task/4bb4eaaf-46fb-4876-9b9a-37143ef4b216,15.0,1000,7,837,12,2,True,-52.1507686029985,-0.15076860308166284,,,0.007,12,-0.15076860308166284,0.1569195145444973,0.0019490523913516286,3,1,False,False,False,1.337964475552203,0.49124459998426784,0.36641077468214145,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,5,arn:aws:braket:us-east-1:000000000000:quantum-task/24b6efa8-55df-4613-a9d2-cfff32725aae,15.0,1000,10,826,6,2,True,-52.19909386988679,-0.19909386996995387,,,0.01,6,-0.19909386996995387,0.08246008551089888,0.0010242131281288315,2,1,False,False,False,1.1763543666609393,0.2522455012773938,0.21357977527685781,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,6,arn:aws:braket:us-east-1:000000000000:quantum-task/03fca0cf-640e-42e4-a613-7a45978c16de,15.0,1000,14,839,6,2,True,-52.19909386988679,-0.19909386996995387,,,0.014,6,-0.19909386996995387,0.08246008551089888,0.0010242131281288315,2,1,False,False,False,1.1763543666609393,0.2522455012773938,0.21357977527685781,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,7,arn:aws:braket:us-east-1:000000000000:quantum-task/e4d26b2a-db94-4b39-a2e0-92987abbcd88,16.0,1000,8,825,132,2,True,-51.984638876747475,0.01536112316935867,,,0.008,132,0.01536112316935867,0.4128917079470388,0.0051284097652190596,19,1,False,False,False,0.8208844298269429,0.23426844646754036,0.2841672201246618,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,8,arn:aws:braket:us-east-1:000000000000:quantum-task/9148cd24-7fc6-4b09-8fc1-8f7c19f142e7,16.0,1000,12,832,6,2,True,-52.19909386988679,-0.19909386996995387,,,0.012,6,-0.19909386996995387,0.08246008551089888,0.0010242131281288315,2,1,False,False,False,1.1763543666609393,0.2522455012773938,0.21357977527685781,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,9,arn:aws:braket:us-east-1:000000000000:quantum-task/d68504c5-aeb6-4e8f-8c22-b9705c2ae505,15.0,1000,9,835,1280,2,True,-52.00483312871737,-0.004833128800544373,,,0.009,1280,-0.004833128800544373,0.3817764639295468,0.004741936222168523,16,1,False,False,False,0.6810925232406679,0.15325850921456086,0.22355040470875856,0,0
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,0,arn:aws:braket:us-east-1:000000000000:quantum-task/ae33427d-099e-4cd2-9aa6-e92fb423597f,15.0,1000,211,620,17,2,True,-51.846527287971405,0.15347271196197812,,,0.211,17,0.15347271196197812,0.0,0.0,1,1,True,True,True,0.8071062374637792,0.172876351205122,0.21295381354655352,2,2
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,1,arn:aws:braket:us-east-1:000000000000:quantum-task/06afc157-40f4-462d-9a32-134f44997159,16.0,1000,166,652,9,2,True,-51.80449996392249,0.1955000360109007,,,0.166,9,0.1955000360109007,0.0616136650977683,0.0008106102037555965,2,1,False,False,False,1.2926724802368494,0.37087155768981794,0.28612936636668274,0,0
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,2,arn:aws:braket:us-east-1:000000000000:quantum-task/d2713532-b160-4467-99cb-0e7c22811ead,15.0,1000,166,655,17,2,True,-51.846527287971405,0.15347271196197812,,,0.166,17,0.15347271196197812,0.0,0.0,1,1,True,True,True,0.8071062374637792,0.172876351205122,0.21295381354655352,2,2
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,3,arn:aws:braket:us-east-1:000000000000:quantum-task/950c30c5-0bf2-4d17-a46a-380d28412d00,16.0,1000,192,649,17,2,True,-51.846527287971405,0.15347271196197812,,,0.192,17,0.15347271196197812,0.0,0.0,1,1,True,True,True,0.8071062374637792,0.172876351205122,0.21295381354655352,2,2
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,4,arn:aws:braket:us-east-1:000000000000:quantum-task/cd0c389d-a6c1-4a4a-baf7-f3e3ade9cabf,15.0,1000,206,639,17,2,True,-51.846527287971405,0.15347271196197812,,,0.206,17,0.15347271196197812,0.0,0.0,1,1,True,True,True,0.8071062374637792,0.172876351205122,0.21295381354655352,3,3
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,5,arn:aws:braket:us-east-1:000000000000:quantum-task/5598197f-a764-41cf-97fc-cf85ed454312,15.0,1000,180,632,9,2,True,-51.80449996392249,0.1955000360109007,,,0.18,9,0.1955000360109007,0.0616136650977683,0.0008106102037555965,2,1,False,False,False,1.2926724802368494,0.37087155768981794,0.28612936636668274,0,0
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,6,arn:aws:braket:us-east-1:000000000000:quantum-task/ad45b8f3-ecfd-4bd5-9d61-3b903d56c21b,16.0,1000,178,619,17,2,True,-51.846527287971405,0.15347271196197812,,,0.178,17,0.15347271196197812,0.0,0.0,1,1,True,True,True,0.8071062374637792,0.172876351205122,0.21295381354655352,3,3
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,7,arn:aws:braket:us-east-1:000000000000:quantum-task/43795d26-d43d-4e43-94b3-bb0ff0ee0c1e,27.0,1000,168,663,17,2,True,-51.846527287971405,0.15347271196197812,,,0.168,17,0.15347271196197812,0.0,0.0,1,1,True,True,True,0.8071062374637792,0.172876351205122,0.21295381354655352,1,1
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,8,arn:aws:braket:us-east-1:000000000000:quantum-task/fefb8fac-669a-4bea-84d6-13f75f747dcf,16.0,1000,180,604,9,2,True,-51.80449996392249,0.1955000360109007,,,0.18,9,0.1955000360109007,0.0616136650977683,0.0008106102037555965,2,1,False,False,False,1.2926724802368494,0.37087155768981794,0.28612936636668274,0,0
