n_assets,penalty_label,runs,runs_ok,runs_failed,instances,a_over_crit_median,best_shot_feasible_rate,no_feasible_shot_runs,optimal_rate,within_tau_main_rate,g_off_success_rate,g_off_success_but_not_tau_rate,final_P_F_p25,final_P_F_median,final_P_F_p75,final_P_tau_main_p25,final_P_tau_main_median,final_P_tau_main_p75,final_P_opt_p25,final_P_opt_median,final_P_opt_p75,final_Q_tau_main_1000_p25,final_Q_tau_main_1000_median,final_Q_tau_main_1000_p75,final_Q_opt_1000_p25,final_Q_opt_1000_median,final_Q_opt_1000_p75,initial_P_F_p25,initial_P_F_median,initial_P_F_p75,initial_P_tau_main_p25,initial_P_tau_main_median,initial_P_tau_main_p75,feasible_shot_fraction_p25,feasible_shot_fraction_median,feasible_shot_fraction_p75,g_F_p25,g_F_median,g_F_p75,g_off_p25,g_off_median,g_off_p75,rank_best_feasible_p25,rank_best_feasible_median,rank_best_feasible_p75,deflation_D_p25,deflation_D_median,deflation_D_p75,final_expected_violation_p25,final_expected_violation_median,final_expected_violation_p75,runtime_s_p25,runtime_s_median,runtime_s_p75
12,A0,45,45,0,9,nan,0.9777777777777777,0,0.9111111111111111,0.9777777777777777,0.9111111111111111,0.0,0.14335155592561932,0.1987067385634873,0.2648348233633442,0.005902138072997332,0.016628583893179893,0.029767198488116264,0.00565549498423934,0.012092174030840397,0.024792984127998352,0.9973137914185369,0.9999999478108293,0.9999999999999248,0.9965574673712986,0.9999947949390177,0.9999999999875027,0.01257929374514788,0.083753017737763,0.11427354335864948,0.00023139012046158314,0.0012980381725355983,0.003011593595147133,0.143,0.206,0.276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.21312874792566,0.2374073788737099,0.43057306124276495,1.6222805069912278,2.0678732373049615,2.357173101617494,10.125054648146033,10.185867645777762,10.218700831755996
12,1.1xAcrit,105,105,0,21,1.1,0.9714285714285714,0,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.0,0.1724876073858468,0.257418918190524,0.3103798541123979,0.003917530179023743,0.007314903661608696,0.012163972482085228,0.003809181973338127,0.007066752295941114,0.011600617319345474,0.9802622809298547,0.9993521094353298,0.9999951598219877,0.9779943355411156,0.9991681347192709,0.9999914401631893,0.09558445090135592,0.11929626669734716,0.13651426170008563,0.0007646990125067532,0.001885614008642733,0.0037445942871272564,0.174,0.255,0.309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.45680822417747063,0.49655603963863754,0.6540162937425654,1.3689987375241979,1.7380661435817544,2.245228186681927,10.162154090590775,10.222871279343963,10.794394399039447
12,2xAcrit,105,105,0,21,2.0,0.9714285714285714,0,0.8476190476190476,0.8571428571428571,0.8476190476190476,0.0,0.17748847067559836,0.2768135280985007,0.34252257947809994,0.00229262444190681,0.006971376016736031,0.010701318271458149,0.00229262444190681,0.006971376016736031,0.010160977020859718,0.8992644516377352,0.9990842705423353,0.9999787465045291,0.8992644516377352,0.9990842705423353,0.9999633080115898,0.1088845341000706,0.1239038483472541,0.14920987459481694,0.0013296585530042648,0.002200837479904294,0.003433452919125557,0.178,0.272,0.343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7082401309564216,0.7465892210063442,1.22066339375972,1.2006980082219838,1.6447481304824685,3.5251101839471275,10.12889898288995,10.210790439508855,10.81089917756617
12,5xAcrit,105,105,0,21,5.0,1.0,0,0.7238095238095238,0.7333333333333333,0.7238095238095238,0.0,0.08581823502026964,0.24370194114635524,0.38107192516326904,0.001022792886942625,0.004777815658599138,0.009086663834750652,0.0010135158663615584,0.004094884730875492,0.008996265940368176,0.640598918879409,0.9916814382513269,0.9998914391126866,0.6372458042808617,0.9834817876774342,0.999881070144458,0.10836080921581015,0.12249871890526265,0.15016511653084308,0.0011004816042259336,0.002127166837453842,0.003398602595552802,0.093,0.252,0.398,0.0,0.0,0.029621335040609268,0.0,0.0,0.008155727848269019,1.0,1.0,2.0,1.4138537686823685,1.668706567993046,3.1160847006330767,1.1540225269106832,2.74292978418066,12.203879274115025,10.152037683874369,10.216692496091127,10.808847807347775
12,10xAcrit,105,105,0,21,10.0,1.0,0,0.6952380952380952,0.6952380952380952,0.6952380952380952,0.0,0.07317074463480822,0.1900712714996189,0.39390797750093043,0.00036370157613418996,0.0026399721391499043,0.008374805562198162,0.00035876943729817867,0.002576810773462057,0.008244877681136131,0.3049473852409229,0.9288854278877505,0.9997773860115757,0.3015095764844892,0.9242363357475745,0.9997462230107032,0.09410612803185359,0.12141611590050161,0.14624762509629363,0.0009727191063575447,0.001925396965816617,0.003309544874355197,0.082,0.202,0.403,0.0,0.0,0.0616136650977683,0.0,0.0,0.012111373136091529,1.0,1.0,2.0,2.5898764982256135,3.205568812970882,6.275120212088671,1.102628347036152,11.641580100105834,12.554893111351703,10.136638102121651,10.211147498339415,10.853552157990634
12,Amargin,150,150,0,30,3.722007992405255,0.9933333333333333,0,0.7866666666666666,0.8,0.7866666666666666,0.0,0.09184216105774112,0.3278395322849974,0.38301166727615055,0.0008977412799140438,0.007614722097059712,0.010726080043241382,0.0007613271300215274,0.00720991799607873,0.00975349871441722,0.5925806137451276,0.999520949045995,0.99997894127298,0.5324096689443766,0.999277863299179,0.9999446206351346,0.12043333322799299,0.12698393210303038,0.15491133616524166,0.0017345459491480142,0.0025241354014724493,0.0039251919370144606,0.09325,0.3315,0.3895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.1882368636745262,1.3032441427533779,1.4487378989731676,1.0602281270308203,1.4302587802300164,11.997938880995198,10.122023748699576,10.184340316802263,10.294889065204188
12,Aheur,150,150,0,30,179.08362534470152,1.0,0,0.7666666666666667,0.78,0.8133333333333334,0.03333333333333333,0.13576471264241263,0.17894412658642977,0.3060656182933599,0.00218094140291214,0.0026274402625858784,0.005246011656709015,0.0021688067936338484,0.0026017562486231327,0.004607815528288484,0.8873298530694738,0.9279857625927206,0.9947781740691188,0.8859539186544197,0.9261077032170231,0.9901320549881895,0.06713290320476517,0.11360042518936098,0.11907662963494658,0.0010306521726306528,0.001697438710834831,0.0032618881959933788,0.13625,0.193,0.32075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,57.755720206596706,67.94354184468757,76.00899274683343,1.6021054805924315,10.586180192453867,12.938358474571032,10.107872729422525,10.174911139067262,10.274326077196747
16,1.1xAcrit,150,150,0,30,1.1,0.6866666666666666,0,0.5933333333333334,0.6333333333333333,0.6,0.0,0.1861739805487801,0.24500366982323385,0.28709540207317374,0.0005061445117462426,0.0010804524645209312,0.001968945056432858,0.00045322420191951096,0.0010213033528998494,0.0016166917339432985,0.3972526564104405,0.660747029467958,0.8606388746666747,0.36448720274131585,0.6400565166072167,0.8016694807390614,0.09200888279226227,0.10235216046740447,0.12669115182843882,0.00019602939937612973,0.000362373044481501,0.0006996546726441011,0.1925,0.246,0.29474999999999996,0.0,0.0,0.025189772902614066,0.0,0.0,0.0191945777779305,1.0,1.0,2.0,0.838739117566154,1.014368765414917,1.2376177744900696,1.7990322767280038,2.237569169418241,4.304522914192943,16.65877960412763,16.772116391919553,16.906245736870915
16,2xAcrit,150,150,0,30,2.0,0.8933333333333333,0,0.48,0.52,0.49333333333333335,0.0,0.08064941955845484,0.275322192661406,0.3427862240951072,8.430329580733087e-05,0.0008054400095716119,0.0015487408672925085,7.027929859759752e-05,0.0007625965808983892,0.0014474875060841441,0.08083937276131362,0.5532198328172363,0.7877389001177091,0.06786885898338874,0.5336819577461589,0.7650860434988453,0.08804604623060186,0.10234100191519246,0.13688427033378048,0.0002411890782241244,0.00040002331661526114,0.0006832980288891122,0.08825,0.273,0.34675,0.0,0.002975975644552229,0.06303160727007504,0.0,0.0013056506704097537,0.03789341544059873,1.0,2.0,5.75,1.4396829609524537,1.8197361398034122,2.263443923153789,1.4969363600386338,1.970272709720418,19.81537053326203,16.662330836988986,16.768908511847258,16.891578566282988
16,5xAcrit,150,150,0,30,5.0,0.88,16,0.44029850746268656,0.4701492537313433,0.4552238805970149,0.0,0.041676440302580886,0.358763086842373,0.44625304170767777,1.9212656752642943e-05,0.0008768086845520884,0.0011194106482435018,1.625995628273813e-05,0.000843313435325399,0.0010386304929852486,0.019029450553038257,0.5840482252502128,0.6737315689803993,0.016128600638738583,0.5698706162059414,0.6462422429228919,0.02259107614372624,0.0734256071690993,0.10378432810283833,0.00016855915237101726,0.0002686436491785571,0.0005247317021712661,0.03725,0.3505,0.444,0.0,0.013043247804619374,0.09118375428047379,0.0,0.002625548238521574,0.021395001873674168,1.0,2.0,13.5,3.5880107043863827,4.360307272468099,5.810616384065368,1.0504397880605554,1.6469896421006323,18.94381214723224,16.66007238999009,16.75423259055242,16.8950345213525
