n_assets,penalty_label,runs,runs_without_feasible_mass,P_F_median,conditional_quality_rate_median,feasible_set_quality_share,enrichment_R_tau_median,enrichment_R_tau_p25,enrichment_R_tau_p75,runs_with_R_tau_above_1
12,Amargin,50,0,0.32117287686560303,0.025973316364003834,0.015151515151515152,1.4466714141963568,1.1580888783914773,2.0213187053672925,42
12,Aheur,50,0,0.1804417158709839,0.015240929703619285,0.015151515151515152,0.9952730416167215,0.9890690054958937,1.0108361064651403,21
16,Amargin,50,0,0.3077821154583944,0.004162344378685855,0.0026785714285714286,1.648956122845485,1.196583200502202,2.066307719810016,42
16,Aheur,50,0,0.22865425303461961,0.002640330254003038,0.0026785714285714286,0.9966274364805865,0.9949360628981168,1.0063750945582992,19
20,Amargin,50,0,0.296453046872557,0.0008151962681845315,0.0006191950464396285,1.0025620060826386,0.7394806211397111,1.9560811796486812,27
20,Aheur,50,0,0.16550198977529362,0.0006263578184863022,0.0006191950464396285,1.0128152642485655,0.9929470690053173,1.0178713100675527,30
