n_assets,n_select,solver,energy_no_offset,runtime_s,feasible,expected_return,volatility,sharpe_ratio,method_detail,data_start,data_end
8,2,classical_auto,-36.252611680776944,0.00034146755933761597,True,0.3043831643149789,0.229509603420991,1.3218756853432454,exact,2023-08-06,2026-08-05
8,2,lightning_gpu,-36.252611680776944,5.326746370643377,True,0.3043831643149789,0.229509603420991,1.3218756853432454,p=2,2023-08-06,2026-08-05
12,2,classical_auto,-52.25261168074922,0.000689266249537468,True,0.3043831643149789,0.229509603420991,1.3218756853432454,exact,2023-08-06,2026-08-05
12,2,lightning_gpu,-52.19909386988678,10.235600921325386,True,0.2522455012773938,0.21357977527685781,1.1763543666609393,p=2,2023-08-06,2026-08-05
16,3,classical_auto,-153.26711059662722,0.0056547923013567924,True,0.2568156466299874,0.1846856590820826,1.3851408274006345,exact,2023-08-06,2026-08-05
16,3,lightning_gpu,-153.26711059662722,16.787883259356022,True,0.2568156466299874,0.1846856590820826,1.3851408274006345,p=2,2023-08-06,2026-08-05
20,4,classical_auto,-336.15232144200877,0.04804288502782583,True,0.3115649335542625,0.21080901909538674,1.4732051545372367,exact,2023-08-06,2026-08-05
20,4,lightning_gpu,-335.83709543185984,34.98830953426659,True,0.21224234489645957,0.20748914161583215,1.0180886732259777,p=2,2023-08-06,2026-08-05
