n_assets,penalty_label,runs,runs_ok,runs_failed,instances,a_over_crit_median,best_shot_feasible_rate,no_feasible_shot_runs,optimal_rate,within_tau_main_rate,g_off_success_rate,g_off_success_but_not_tau_rate,final_P_F_p25,final_P_F_median,final_P_F_p75,final_P_tau_main_p25,final_P_tau_main_median,final_P_tau_main_p75,final_P_opt_p25,final_P_opt_median,final_P_opt_p75,final_Q_tau_main_1000_p25,final_Q_tau_main_1000_median,final_Q_tau_main_1000_p75,final_Q_opt_1000_p25,final_Q_opt_1000_median,final_Q_opt_1000_p75,initial_P_F_p25,initial_P_F_median,initial_P_F_p75,initial_P_tau_main_p25,initial_P_tau_main_median,initial_P_tau_main_p75,feasible_shot_fraction_p25,feasible_shot_fraction_median,feasible_shot_fraction_p75,g_F_p25,g_F_median,g_F_p75,g_off_p25,g_off_median,g_off_p75,rank_best_feasible_p25,rank_best_feasible_median,rank_best_feasible_p75,deflation_D_p25,deflation_D_median,deflation_D_p75,final_expected_violation_p25,final_expected_violation_median,final_expected_violation_p75,runtime_s_p25,runtime_s_median,runtime_s_p75
12,Amargin,50,50,0,10,2.2387900791429187,1.0,0,0.72,0.74,0.72,0.0,0.09315330161189195,0.32483565311849816,0.42754205456003547,0.0007571721653221175,0.00493254535831511,0.008122395956888795,0.0005128910124767572,0.004421788500621915,0.007962183794006705,0.5297093797764383,0.9928667256125578,0.9997121526762714,0.3975502451784476,0.9861037571583606,0.9996616615205738,0.12043333322799299,0.12941787988893338,0.16062137900371454,0.0017066412256099284,0.0023394632153213024,0.0038273932586889714,0.094,0.3145,0.42725,0.0,0.0,0.015558150915650173,0.0,0.0,0.008904451027403913,1.0,1.0,2.0,1.1606790716261757,1.2683974120854093,1.7761979292535657,1.2930648151475888,2.4474419195455397,13.738682979381283,19.855521144811064,19.954805495683104,20.021827049786225
12,Aheur,50,50,0,10,92.05088917144266,1.0,0,0.84,0.86,0.9,0.04,0.1107308110804297,0.1836620302638039,0.2888652377878316,0.0018733493343461305,0.002711712964810431,0.00505412183701992,0.001850397646194324,0.0026645688340067863,0.004777385969646275,0.8466520598841716,0.9338196485748899,0.9936974688700289,0.8430873293455527,0.9305806636707771,0.9916547962083081,0.06755142126348801,0.11359930195612833,0.1190959376108367,0.0010363828914705664,0.0016925534000620246,0.002004217851208523,0.09825,0.1865,0.2955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,57.32957273472381,73.90344372329619,76.00899274683343,1.4253233711961784,10.498221183992428,12.928248049803187,19.895372109720483,19.96878810180351,21.19481189805083
16,Amargin,50,50,0,10,3.6783967803540634,0.94,3,0.2553191489361702,0.2765957446808511,0.2765957446808511,0.0,0.060274720768848766,0.3877614342200104,0.43072680144541664,2.530650044718641e-05,0.0004589304589899257,0.0009972118132282048,1.0940238780676736e-05,0.0004514692700468004,0.0009187568648485467,0.0249890826469783,0.36810734175091997,0.6312768310776704,0.010879193888302385,0.36335674663211937,0.6001264045044301,0.06993847545480492,0.10120521042699693,0.12189930492820622,0.00020137045794399455,0.0004184694407740608,0.0006376269484462682,0.0565,0.3865,0.424,0.0013264650170858661,0.04188215627858191,0.10805804964641545,0.0004763455121505927,0.014161213232085544,0.04092174382279741,1.5,3.0,20.5,2.672177891418745,2.942102648546326,3.248467588968673,2.491915702231829,3.09868566065259,19.73262050170002,32.823614043416455,34.9405971118249,35.02895757299848
16,Aheur,50,50,0,10,139.49149483925737,0.92,4,0.30434782608695654,0.34782608695652173,0.8478260869565217,0.5,0.11085425924466108,0.26009292823437136,0.28225700096663786,0.00019877102749887854,0.0004623818531399593,0.0005564994062297046,0.00019805267947958782,0.0004609593015629798,0.00048181133752223104,0.18027859227046816,0.3702855300207914,0.4268552367910293,0.17968944853539312,0.3693886529068014,0.3824019357669878,0.030916555769181286,0.034912154405901674,0.1009025174062117,4.70170853077434e-05,6.380486229318194e-05,0.0001859984204202192,0.10250000000000001,0.269,0.284,0.0,0.0375074397420562,0.06571037297862609,0.0,0.00024840279232785073,0.0006128531952121722,1.0,3.0,5.0,95.11716301300004,117.8852301308144,140.09662630115233,3.0122092377490164,18.14387005391292,22.556797214164817,34.073765001259744,34.93064550077543,35.020354920532554
20,Amargin,50,50,0,10,2.9128417205034127,0.98,0,0.0,0.0,0.0,0.0,0.049130068462091,0.254897205004454,0.3250159048529895,6.897106914038886e-06,3.360436448929249e-05,8.023097507248167e-05,3.693698715778737e-06,1.3958440376882209e-05,4.262187212589197e-05,0.006873399941520003,0.03304649812661242,0.07707662083006162,0.003686891020597105,0.013860751141126448,0.0417269673743034,0.03768527858888193,0.04764201365676968,0.08828751928695056,2.1504581582121318e-05,4.3430363803054206e-05,7.700728792769951e-05,0.04525,0.2635,0.323,0.03551463313758307,0.07387747382168064,0.1426411749097318,0.007702514787254455,0.015554276773299515,0.029412830459833894,7.75,28.5,152.0,4.296870413682975,4.504454295976669,4.961778972813705,3.8227569225234914,5.622876282096781,28.009363312368528,58.74763844930567,61.73285468528047,61.913074841490015
20,Aheur,50,50,0,10,99.40782225468385,1.0,0,0.02,0.06,0.78,0.72,0.03532648127270477,0.04724592081038281,0.26315752432310546,7.801776519045234e-06,2.528649883970502e-05,0.00010791762451844988,7.263014595082495e-06,9.346743354399223e-06,5.401347698352765e-05,0.00777106089483362,0.024967638391020508,0.10230368294290185,0.007236728828753619,0.00930324157695972,0.05258204400448149,0.032878952552323426,0.08712499567263876,0.09288029268145692,7.857385867282574e-06,2.0891326130367815e-05,4.6123438551148865e-05,0.035250000000000004,0.0475,0.25625,0.04741262357994684,0.06980102273059406,0.1427649563039374,0.0002784964056267731,0.00045437156657483644,0.0009024903255768212,14.0,33.5,170.0,133.40426600844037,154.48255639231388,186.76012659445362,3.7663082955104867,27.787344525031102,30.389478373069345,58.86141675058752,61.532148617785424,61.862158483825624
