spec_version,run_id,n_assets,n_select,instance,instance_digest,penalty_label,penalty,a_crit,a_over_crit,a_margin,a_heur,qaoa_seed,backend,precision,p_layers,steps,optimizer,f_star,delta_F,feasible_set_size,data_start,data_end,status,error,shots,feasible_shots,distinct_shots,best_all_index,best_all_cardinality,best_all_feasible,best_all_E,best_all_f,energy_no_offset_solver,best_shot_scorer_agrees,feasible_shot_fraction,best_feasible_index,f_best_feasible,g_F,g_off,rank_best_feasible,rank_ties,is_optimal,within_tau_main,within_tau_alt,sharpe_best_feasible,return_best_feasible,volatility_best_feasible,shots_within_tau_main,shots_optimal,sharpe_optimum,deflation_D,abs_E_star,final_probs_sum,final_P_F,final_P_opt,final_P_tau_main,final_P_tau_alt,final_expected_f,final_expected_violation,final_Q_tau_main_10,final_Q_opt_10,final_Q_tau_main_100,final_Q_opt_100,final_Q_tau_main_1000,final_Q_opt_1000,final_Q_tau_main_10000,final_Q_opt_10000,initial_probs_sum,initial_P_F,initial_P_opt,initial_P_tau_main,initial_P_tau_alt,initial_expected_f,initial_expected_violation,initial_Q_tau_main_10,initial_Q_opt_10,initial_Q_tau_main_100,initial_Q_opt_100,initial_Q_tau_main_1000,initial_Q_opt_1000,initial_Q_tau_main_10000,initial_Q_opt_10000,hamiltonian_scale,final_expectation,expectation_at_final_angles,best_expectation,best_expectation_step,initial_angles,final_angles,optimisation_seconds,sampling_seconds,state_seconds,runtime_s,evaluation_seconds
e1-v1,N12_i00_1.1xAcrit_s42,12,2,0,941157873a8b,1.1xAcrit,0.01178830224062556,0.01071663840056869,1.1,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,174,81,1028,2,True,-0.2997648897948974,-0.25261168083239516,-0.29976488979489746,True,0.174,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,16,16,1.3218756853432454,0.4618768601949659,0.2997648897948974,1.000000912521779,0.1836296192068403,0.016348708420991898,0.016348708420991898,0.016348708420991898,-0.007545340878201772,1.9373427016389153,0.1519691228621185,0.1519691228621185,0.807639164918525,0.807639164918525,0.9999999306308237,0.9999999306308237,1.0,1.0,0.9999989622488386,0.08681691013134696,0.007157567888498306,0.007157567888498306,0.007157567888498306,1.6394661405714483,14.196884191120787,0.06931374994552575,0.06931374994552575,0.5124344893111206,0.5124344893111206,0.9992408462005106,0.9992408462005106,1.0,1.0,0.6010902040415026,-4.153258800506592,-4.15539026260376,-4.153258800506592,49,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.40246418442051696 0.56126321787628519 2.2322641275105881 1.2119871221387044,10.134690561331809,0.032978449016809464,0.08534055575728416,10.167669010348618,0.0012562964111566544
e1-v1,N12_i00_2xAcrit_s42,12,2,0,941157873a8b,2xAcrit,0.02143327680113738,0.01071663840056869,2.0,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,181,91,1028,2,True,-0.3383447880369447,-0.25261168083239516,-0.3383447880369448,True,0.181,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,15,15,1.3218756853432454,0.5213206538923203,0.3383447880369447,0.9999993144230138,0.19803815014165593,0.015203593298792839,0.015203593298792839,0.015203593298792839,-0.0005412983264018382,1.8676108671178593,0.142044914515845,0.142044914515845,0.7839045969124471,0.7839045969124471,0.9999997779476958,0.9999997779476958,1.0,1.0,0.9999986496393274,0.09732927773166011,0.004389485344290733,0.004389485344290733,0.004389485344290733,1.6491882587490712,13.615162147844696,0.04303788369231032,0.04303788369231032,0.3559086673066799,0.3559086673066799,0.9877121882167277,0.9877121882167277,1.0,1.0,0.6396701022835498,-4.153570652008057,-4.153420925140381,-4.153570652008057,49,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.38355237209734083 0.57167148599239592 2.1850758175750817 1.2282628436727985,10.153404672630131,0.028462015092372894,0.07608953583985567,10.181866687722504,0.0011127032339572906
e1-v1,N12_i00_5xAcrit_s42,12,2,0,941157873a8b,5xAcrit,0.05358319200284345,0.01071663840056869,5.0,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,201,115,1028,2,True,-0.46694444884376896,-0.25261168083239516,-0.46694444884376907,True,0.201,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,9,9,1.3218756853432454,0.719466632883502,0.46694444884376896,0.999998755484437,0.21972652591648512,0.011275550350546837,0.011275550350546837,0.011275550350546837,0.014732879656319777,1.6954937646284365,0.10720296910101312,0.10720296910101312,0.6782434674949283,0.6782434674949283,0.9999881074843973,0.9999881074843973,1.0,1.0,0.9999987737398524,0.1262321222166065,0.003006288316100836,0.003006288316100836,0.003006288316100836,1.6566287975982026,12.224873472413305,0.029659426861767813,0.029659426861767813,0.2599826357084468,0.2599826357084468,0.9507485405353794,0.9507485405353794,0.9999999999999161,0.9999999999999161,0.7682697630903741,-4.16677713394165,-4.167248249053955,-4.167845249176025,47,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.36771210825892359 0.65892167835115434 2.091091436550248 1.2797155145217016,10.048196244053543,0.028320063836872578,0.07928371336311102,10.076516307890415,0.001122775487601757
e1-v1,N12_i00_10xAcrit_s42,12,2,0,941157873a8b,10xAcrit,0.1071663840056869,0.01071663840056869,10.0,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,278,159,1028,2,True,-0.6812772168551428,-0.25261168083239516,-0.6812772168551429,True,0.278,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,8,8,1.3218756853432454,1.0497099312021378,0.6812772168551428,0.9999998979744917,0.29838573723100126,0.008106386289000511,0.008106386289000511,0.008106386289000511,0.04809043841363003,1.2862351783066712,0.07816978125721719,0.07816978125721719,0.5568921873477368,0.5568921873477368,0.9997081940966535,0.9997081940966535,1.0,1.0,0.999998385265954,0.14624762509629363,0.0034898787271231413,0.0034898787271231413,0.0034898787271231413,1.6675354221168268,12.29364317800787,0.034355790336405345,0.034355790336405345,0.295028749131642,0.295028749131642,0.9696810563578933,0.9696810563578933,0.9999999999999993,0.9999999999999993,0.9826025311017479,-4.211654186248779,-4.212591171264648,-4.224059581756592,46,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.29837242502723366 0.74070799571012369 2.0584996195679728 1.2986839119362052,10.1937643494457,0.02804141864180565,0.07553594559431076,10.221805768087506,0.001145828515291214
e1-v1,N12_i00_Aheur_s42,12,2,0,941157873a8b,Aheur,12.999999999979208,0.01071663840056869,1213.066963170965,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,191,629,1028,2,True,-52.252611680749226,-0.25261168083239516,-52.25261168074922,True,0.191,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,1,1,1.3218756853432454,80.51067033435503,52.252611680749226,0.9999998147877704,0.17169158207252622,0.002430905355140567,0.002430905355140567,0.002430905355140567,1.52001884641841,12.936898292820842,0.024044851495662378,0.024044851495662378,0.21603153312455037,0.21603153312455037,0.9123027557558537,0.9123027557558537,0.9999999999730934,0.9999999999730934,0.9999987254332154,0.11304889840539545,0.0016602466348558664,0.0016602466348558664,0.0016602466348558664,1.9290688999262837,17.57221278230645,0.01647897506642293,0.01647897506642293,0.15309151580657687,0.15309151580657687,0.8101700052141562,0.8101700052141562,0.9999999392357197,0.9999999392357197,52.55393699499583,-1.5123854875564575,-1.5144281387329102,-1.514705777168274,41,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,10.161108461208642,0.028113923966884613,0.07582960743457079,10.189222385175526,0.0011637713760137558
e1-v1,N12_i00_Amargin_s42,12,2,0,941157873a8b,Amargin,0.19822334062316602,0.01071663840056869,18.49678352613326,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,353,164,1028,2,True,-1.0455050433250592,-0.25261168083239516,-1.0455050433250592,True,0.353,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,4,4,1.3218756853432454,1.6109110945560774,1.0455050433250592,1.000000874920701,0.3713930014055222,0.00840595830231905,0.00840595830231905,0.00840595830231905,0.07401912733898383,1.0678689191381185,0.08095011489002679,0.08095011489002679,0.5700768303619548,0.5700768303619548,0.9997842710102635,0.9997842710102635,1.0,1.0,0.999998708334541,0.19428754411637783,0.0001988208678085357,0.0001988208678085357,0.0001988208678085357,1.6294665068892236,12.765428231552175,0.0019864307826912286,0.0019864307826912286,0.019687679331102492,0.019687679331102492,0.1803194889344415,0.1803194889344415,0.8630865566206324,0.8630865566206324,1.3468303575716642,-4.279462814331055,-4.283854007720947,-4.279462814331055,49,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.42541520594671833 0.68352643884933872 2.0316999264921609 1.4058914678366004,10.197399727068841,0.02825033664703369,0.07569466717541218,10.225650063715875,0.001122981309890747
e1-v1,N12_i01_1.1xAcrit_s42,12,2,1,3798cace2ea7,1.1xAcrit,0.19328748548091002,0.17571589589173636,1.1,0.3539176455668778,12.999999999983347,42,lightning_gpu,single,2,50,adam_0.1,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,,1000,228,133,17,2,True,-0.619677229961662,0.15347271196197812,-0.619677229961662,True,0.228,17,0.15347271196197812,0.0,0.0,1,1,True,True,True,0.8071062374637792,0.172876351205122,0.21295381354655352,12,12,0.8071062374637792,0.9084705291044906,0.619677229961662,0.9999998624941915,0.22889191284775734,0.007326931226998568,0.007326931226998568,0.007326931226998568,0.34115944074524945,1.739892843620595,0.07090013650014426,0.07090013650014426,0.5206817525566797,0.5206817525566797,0.9993599120858216,0.9993599120858216,1.0,1.0,0.9999987109402524,0.22212851918993692,0.0012979370076209307,0.0012979370076209307,0.0012979370076209307,3.0524113287516226,13.06817043575682,0.012903823046611085,0.012903823046611085,0.12179743994458114,0.12179743994458114,0.7271355309460958,0.7271355309460958,0.9999977119269883,0.9999977119269883,1.6093446117373424,-4.582118511199951,-4.603262424468994,-4.582118511199951,49,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.64911224725250205 0.64513143721423827 2.1547902412301561 1.5523667069317018,10.182518712244928,0.028816713020205498,0.08107233978807926,10.211335425265133,0.0010727783665060997
e1-v1,N12_i01_2xAcrit_s42,12,2,1,3798cace2ea7,2xAcrit,0.3514317917834727,0.17571589589173636,2.0,0.3539176455668778,12.999999999983347,42,lightning_gpu,single,2,50,adam_0.1,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,,1000,629,229,17,2,True,-1.2522544551719128,0.15347271196197812,-1.2522544551719128,True,0.629,17,0.15347271196197812,0.0,0.0,1,1,True,True,True,0.8071062374637792,0.172876351205122,0.21295381354655352,7,7,0.8071062374637792,1.8358529448207517,1.2522544551719128,0.9999990326928128,0.62126195570454,0.008120398037135601,0.008120398037135601,0.008120398037135601,0.8448521864443426,2.08386321364776,0.07829999312293945,0.07829999312293945,0.5575176955212935,0.5575176955212935,0.9997122872732277,0.9997122872732277,1.0,1.0,0.9999985982471893,0.20335203508875566,0.001283731427974999,0.001283731427974999,0.001283731427974999,3.005267690658272,12.92063327005648,0.012763409088796362,0.012763409088796362,0.12054740104448869,0.12054740104448869,0.7232265886257355,0.7232265886257355,0.9999973621890497,0.9999973621890497,2.241921836947593,-4.224209785461426,-4.2433342933654785,-4.2287750244140625,47,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,1.0544734938018498 0.73908308566206105 2.2376780757809973 1.8691900152099965,10.004728255793452,0.032644192688167095,0.0776612963527441,10.03737244848162,0.0011793123558163643
e1-v1,N12_i01_5xAcrit_s42,12,2,1,3798cace2ea7,5xAcrit,0.8785794794586819,0.17571589589173636,5.0,0.3539176455668778,12.999999999983347,42,lightning_gpu,single,2,50,adam_0.1,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,,1000,189,546,24,2,True,-3.3073879034987046,0.20693001433602265,-3.3073879034987046,True,0.189,24,0.20693001433602265,0.07837045065420839,0.015905910299181023,3,1,False,False,False,1.5910944783780911,0.522570631365531,0.32780619784263393,0,0,0.8071062374637792,4.9271276638749555,3.3608452058727494,0.99999916066281,0.1917625175701687,0.0003311350883450359,0.0003311350883450359,0.0003311350883450359,2.7520197151638404,12.137299115637688,0.003306420967916779,0.003306420967916779,0.03257656345874582,0.03257656345874582,0.28193122360790746,0.28193122360790746,0.9635531140170824,0.9635531140170824,0.9999991079589563,0.1040128524764441,0.0007121405215002596,0.0007121405215002596,0.0007121405215002596,3.1848771152515107,14.018704791545588,0.007098627014476944,0.007098627014476944,0.06876109308897926,0.06876109308897926,0.5095314959729234,0.5095314959729234,0.9991944152446737,0.9991944152446737,4.35051258764843,-1.768660068511963,-1.767748475074768,-1.768820881843567,45,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,2.3117021015871377 1.4159488669732563 2.7684269115390467 2.1824085402519011,10.143488191999495,0.029210844077169895,0.07545036263763905,10.172699036076665,0.0010206541046500206
e1-v1,N12_i01_10xAcrit_s42,12,2,1,3798cace2ea7,10xAcrit,1.7571589589173637,0.17571589589173636,10.0,0.3539176455668778,12.999999999983347,42,lightning_gpu,single,2,50,adam_0.1,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,,1000,176,555,9,2,True,-6.833135799658554,0.1955000360109007,-6.833135799658554,True,0.176,9,0.1955000360109007,0.0616136650977683,0.00611292027442966,2,1,False,False,False,1.2926724802368494,0.37087155768981794,0.28612936636668274,0,0,0.8071062374637792,10.079252195631963,6.875163123707477,1.000000639629036,0.16357967967633158,0.0008285728981718421,0.0008285728981718421,0.0008285728981718421,2.8196827563089446,12.417149882758395,0.008254903156817872,0.008254903156817872,0.07954911393133668,0.07954911393133668,0.563477934683901,0.563477934683901,0.999748775486936,0.999748775486936,0.9999987490919011,0.12160763773135841,0.001479918952099979,0.001479918952099979,0.001479918952099979,3.4106645316539743,15.712653033722745,0.014701020261876585,0.014701020261876585,0.13765642718490612,0.13765642718490612,0.7725932725232443,0.7725932725232443,0.9999996301436455,0.9999996301436455,7.864830505483157,-1.674698829650879,-1.6733570098876953,-1.67562735080719,48,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,2.2866581126990164 1.3978618717855087 2.779483679660153 2.1510194240347627,10.16816776059568,0.028217270970344543,0.07558104954659939,10.196385031566024,0.0010716216638684273
