n_assets,penalty_label,optimizer,runs,runs_ok,runs_failed,instances,no_feasible_shot_runs,optimum_hits,expected_no_feasible_shot_runs,expected_optimum_hits,optimal_rate,within_tau_main_rate,optimal_rate_unconditional,within_tau_main_rate_unconditional,gradient_evaluations_below_cap_rate,best_expectation_p25,best_expectation_median,best_expectation_p75,best_expectation_by_50_p25,best_expectation_by_50_median,best_expectation_by_50_p75,expectation_at_final_angles_p25,expectation_at_final_angles_median,expectation_at_final_angles_p75,final_P_F_p25,final_P_F_median,final_P_F_p75,final_P_tau_main_p25,final_P_tau_main_median,final_P_tau_main_p75,final_Q_tau_main_1000_p25,final_Q_tau_main_1000_median,final_Q_tau_main_1000_p75,final_P_opt_p25,final_P_opt_median,final_P_opt_p75,g_F_p25,g_F_median,g_F_p75,rank_best_feasible_p25,rank_best_feasible_median,rank_best_feasible_p75,objective_evaluations_p25,objective_evaluations_median,objective_evaluations_p75,gradient_evaluations_p25,gradient_evaluations_median,gradient_evaluations_p75,optimisation_seconds_p25,optimisation_seconds_median,optimisation_seconds_p75,runtime_s_p25,runtime_s_median,runtime_s_p75,best_expectation_seed_spread_median,final_P_tau_main_seed_spread_median,final_Q_tau_main_1000_seed_spread_median
12,Aheur,adam_0.1,50,50,0,10,0,38,0.0004650932500369882,39.35026486976357,0.76,0.78,0.76,0.78,0.0,-4.345443606376648,-2.120656371116638,-1.5164701044559479,-4.345443606376648,-2.120656371116638,-1.5164701044559479,-4.344231605529785,-2.103476881980896,-1.515558898448944,0.13125374808441848,0.17766213964205235,0.3057787725701928,0.0021781950490549207,0.002604695619083941,0.004749297630041838,0.886999138874998,0.9263227770368632,0.9914179987362416,0.0021528887446038425,0.0025675835786387324,0.004607007140293717,0.0,0.0,0.0,1.0,1.0,1.0,50.0,50.0,50.0,50.0,50.0,50.0,10.047458996297792,10.118300539441407,10.160846820101142,10.075613612076268,10.148836539592594,10.189837390556931,3.74348908662796,0.007525272616476286,0.8606397391591754
12,Aheur,adam_0.03,50,50,0,10,0,42,0.00022038394150002293,39.173990947485436,0.84,0.86,0.84,0.86,0.0,-4.4849711656570435,-2.1244595050811768,-1.5180326104164124,-2.076454758644104,-1.518693208694458,-0.8528754115104675,-4.391330599784851,-2.1237751245498657,-1.5180146992206573,0.1107308110804297,0.1836620302638039,0.2888652377878316,0.0018733493343461305,0.002711712964810431,0.00505412183701992,0.8466520598841716,0.9338196485748899,0.9936974688700289,0.001850397646194324,0.0026645688340067863,0.004777385969646275,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,19.86708419653587,19.94024908496067,21.164070387370884,19.895372109720483,19.96878810180351,21.19481189805083,3.7244691848754883,0.007359307972365059,0.8512625600643218
12,Aheur,lbfgs_100grad,50,50,0,10,0,40,0.0002278450040671721,39.643317537316484,0.8,0.8,0.8,0.8,0.9,-4.589993834495544,-3.936932325363159,-0.8599893450737,-4.58315372467041,-3.5559206008911133,-0.8599883168935776,-4.589993476867676,-3.936932325363159,-0.8599893450737,0.08133256383007392,0.3345094530377537,0.522542814258486,0.0016069706762209535,0.005383751820772886,0.008036437910050154,0.7772154243149982,0.995438934525263,0.999686817512073,0.001310458086663857,0.005383751820772886,0.00793206668458879,0.0,0.0,0.0,1.0,1.0,1.0,45.25,52.0,77.75,45.25,52.0,77.75,11.284870237112045,13.00157929211855,20.126102805137634,11.313066161936149,13.031889443751425,20.156445591012016,3.746046096086502,0.007899636388174258,0.8519495562672725
12,Amargin,adam_0.1,50,50,0,10,0,38,2.368458429896059e-06,39.4927312986319,0.76,0.78,0.76,0.78,0.0,-4.455419659614563,-4.068956136703491,-1.7383654117584229,-4.455419659614563,-4.068956136703491,-1.7383654117584229,-4.446120858192444,-4.065227508544922,-1.7268405258655548,0.08225744151800995,0.3288067898247391,0.3782213579979725,0.0008558723056921735,0.006489765364676714,0.010333413258194923,0.5752432970287036,0.9984295377869723,0.999969050448206,0.0007495571917388588,0.006489765364676714,0.009239677106961608,0.0,0.0,0.0,1.0,1.0,1.0,50.0,50.0,50.0,50.0,50.0,50.0,10.09495500009507,10.144651853013784,10.187622535508126,10.122981424443424,10.172897052951157,10.217854992719367,3.434918165206909,0.014008179954544175,0.7262624722846287
12,Amargin,adam_0.03,50,50,0,10,0,36,2.1303565823209076e-06,37.67911466350011,0.72,0.74,0.72,0.74,0.0,-4.156656980514526,-3.796289563179016,-1.2804857194423676,-3.631927490234375,-1.7471794486045837,-1.0697018504142761,-4.157877326011658,-3.799054265022278,-1.2804839611053467,0.09315330161189195,0.32483565311849816,0.42754205456003547,0.0007571721653221175,0.00493254535831511,0.008122395956888795,0.5297093797764383,0.9928667256125578,0.9997121526762714,0.0005128910124767572,0.004421788500621915,0.007962183794006705,0.0,0.0,0.015558150915650173,1.0,1.0,2.0,100.0,100.0,100.0,100.0,100.0,100.0,19.826744163874537,19.92685106303543,19.992746300064027,19.855521144811064,19.954805495683104,20.021827049786225,3.4764356315135956,0.01126410693541402,0.7365821907447938
12,Amargin,lbfgs_100grad,50,50,0,10,0,36,2.6016714194665464e-06,38.96089757341567,0.72,0.74,0.72,0.74,0.88,-4.485169768333435,-4.11350154876709,-1.2778394222259521,-4.485169291496277,-4.0831217765808105,-1.2778394222259521,-4.485169410705566,-4.11350154876709,-1.2778394222259521,0.06354090923791489,0.3401488719682675,0.42352717637550086,0.0010094640601892024,0.005444419104605913,0.010142648592591286,0.6298259397355085,0.9955552332403772,0.9999625881141485,0.0008932139026001096,0.005444419104605913,0.009792054072022438,0.0,0.0,0.015558150915650173,1.0,1.0,2.0,39.25,65.0,83.0,39.25,65.0,83.0,10.076589276082814,16.55015256535262,20.246311830123886,10.106735587120056,16.578989944886416,20.27455818094313,3.4416635632514954,0.01176017268880969,0.7289638347416423
16,Aheur,adam_0.1,50,50,0,10,3,14,5.7731728146084516,14.127283524112126,0.2978723404255319,0.3404255319148936,0.28,0.32,0.0,-5.186739563941956,-5.065075635910034,-1.2761157155036926,-5.186739563941956,-5.065075635910034,-1.2761157155036926,-5.185274004936218,-4.995871305465698,-1.2732306122779846,0.11445236867439235,0.228967915114481,0.2846539659803966,0.00020471214156714268,0.0004094657051609829,0.0006642447697231546,0.18513297499363696,0.3360507336147867,0.4854513980064661,0.00020428345669643022,0.0004074946773471311,0.0005122877046233043,0.0,0.02193664857390442,0.07579693480046011,1.0,3.0,6.5,50.0,50.0,50.0,50.0,50.0,50.0,16.614155793795362,16.664845782797784,16.777637500781566,16.661722992314026,16.710324950516224,16.835089741740376,4.108767926692963,0.0006774532514270959,0.4917285713778885
16,Aheur,adam_0.03,50,50,0,10,4,14,5.761661592888786,13.606651229446316,0.30434782608695654,0.34782608695652173,0.28,0.32,0.0,-5.193271279335022,-2.1730809211730957,-1.2933583557605743,-2.1695610880851746,-1.2624635696411133,-1.2498836815357208,-5.193281888961792,-2.1730557680130005,-1.2932886183261871,0.11085425924466108,0.26009292823437136,0.28225700096663786,0.00019877102749887854,0.0004623818531399593,0.0005564994062297046,0.18027859227046816,0.3702855300207914,0.4268552367910293,0.00019805267947958782,0.0004609593015629798,0.00048181133752223104,0.0,0.0375074397420562,0.06571037297862609,1.0,3.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,34.03084472171031,34.88790490105748,34.97690738015808,34.073765001259744,34.93064550077543,35.020354920532554,4.2439523339271545,0.0005669205233971297,0.4324147086906689
16,Aheur,lbfgs_100grad,50,50,0,10,8,17,5.310437900374589,14.757252479944686,0.40476190476190477,0.42857142857142855,0.34,0.36,0.96,-5.5753960609436035,-2.1731276512145996,-1.2602651715278625,-5.5753960609436035,-2.1731274127960205,-1.2602651715278625,-5.5753960609436035,-2.1731276512145996,-1.2602651715278625,0.02331753409362136,0.2809298235079041,0.38386659417301416,3.869688862323528e-05,0.0004727377090603113,0.0008299318724311888,0.03795843927944858,0.37677575920602235,0.5640711816620309,3.8616355595877394e-05,0.0004659970145439729,0.000727132020983845,0.0,0.036389893953920234,0.08376068054457045,1.0,2.0,8.0,35.0,52.5,72.75,35.0,52.5,72.75,13.978025645483285,21.10869360435754,28.87826578808017,14.017430166015401,21.148204845841974,28.917859758483246,6.19022735953331,0.000835003611200591,0.5656633035502664
16,Amargin,adam_0.1,50,50,0,10,2,20,4.005035387725877,21.188172390528408,0.4166666666666667,0.4583333333333333,0.4,0.44,0.0,-5.489787817001343,-5.242260932922363,-1.8623358309268951,-5.489787817001343,-5.242260932922363,-1.8623358309268951,-5.449537992477417,-5.201883554458618,-1.8537860810756683,0.03468027008216268,0.29522897096467204,0.3837655579482089,4.559882745525101e-05,0.0007395177090074867,0.0013695801317226142,0.044568315748110404,0.5227834125322572,0.7460183964358211,4.118595279578585e-05,0.0007395177090074867,0.0013008496316615492,0.0,0.015412654563692436,0.061451326806589796,1.0,2.0,6.75,50.0,50.0,50.0,50.0,50.0,50.0,16.5532402258832,16.62656360445544,16.731788456672803,16.610596168553457,16.67037552781403,16.772139291046187,4.025436818599701,0.001610712484080068,0.7947528944885476
