spec_version,run_id,n_assets,n_select,instance,instance_digest,penalty_label,penalty,a_crit,a_over_crit,a_margin,a_heur,qaoa_seed,backend,precision,p_layers,steps,optimizer,f_star,delta_F,feasible_set_size,data_start,data_end,status,error,shots,feasible_shots,distinct_shots,best_all_index,best_all_cardinality,best_all_feasible,best_all_E,best_all_f,energy_no_offset_solver,best_shot_scorer_agrees,feasible_shot_fraction,best_feasible_index,f_best_feasible,g_F,g_off,rank_best_feasible,rank_ties,is_optimal,within_tau_main,within_tau_alt,sharpe_best_feasible,return_best_feasible,volatility_best_feasible,shots_within_tau_main,shots_optimal,sharpe_optimum,deflation_D,abs_E_star,final_probs_sum,final_P_F,final_P_opt,final_P_tau_main,final_P_tau_alt,final_expected_f,final_expected_violation,final_Q_tau_main_10,final_Q_opt_10,final_Q_tau_main_100,final_Q_opt_100,final_Q_tau_main_1000,final_Q_opt_1000,final_Q_tau_main_10000,final_Q_opt_10000,initial_probs_sum,initial_P_F,initial_P_opt,initial_P_tau_main,initial_P_tau_alt,initial_expected_f,initial_expected_violation,initial_Q_tau_main_10,initial_Q_opt_10,initial_Q_tau_main_100,initial_Q_opt_100,initial_Q_tau_main_1000,initial_Q_opt_1000,initial_Q_tau_main_10000,initial_Q_opt_10000,hamiltonian_scale,final_expectation,expectation_at_final_angles,best_expectation,best_expectation_step,initial_angles,final_angles,optimisation_seconds,sampling_seconds,state_seconds,runtime_s,evaluation_seconds,stepsize,best_expectation_by_50,best_expectation_by_100,objective_evaluations,gradient_evaluations
e1-v2,N12_i00_1.1xAcrit_s42,12,2,0,941157873a8b,1.1xAcrit,0.01178830224062556,0.01071663840056869,1.1,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,174,81,1028,2,True,-0.2997648897948974,-0.25261168083239516,-0.29976488979489746,True,0.174,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,16,16,1.3218756853432454,0.4618768601949659,0.2997648897948974,1.000000912521779,0.1836296192068403,0.016348708420991898,0.016348708420991898,0.016348708420991898,-0.007545340878201772,1.9373427016389153,0.1519691228621185,0.1519691228621185,0.807639164918525,0.807639164918525,0.9999999306308237,0.9999999306308237,1.0,1.0,0.9999989622488386,0.08681691013134696,0.007157567888498306,0.007157567888498306,0.007157567888498306,1.6394661405714483,14.196884191120787,0.06931374994552575,0.06931374994552575,0.5124344893111206,0.5124344893111206,0.9992408462005106,0.9992408462005106,1.0,1.0,0.6010902040415026,-4.153258800506592,-4.15539026260376,-4.153258800506592,49,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.40246418442051696 0.56126321787628519 2.2322641275105881 1.2119871221387044,10.585398495197296,0.03437293320894241,0.08570997696369886,10.619771428406239,0.0014927415177226067,,,,,
e1-v2,N12_i00_1.1xAcrit_s43,12,2,0,941157873a8b,1.1xAcrit,0.01178830224062556,0.01071663840056869,1.1,0.19822334062316602,12.999999999979208,43,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,251,94,1028,2,True,-0.2997648897948974,-0.25261168083239516,-0.29976488979489746,True,0.251,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,14,14,1.3218756853432454,0.4618768601949659,0.2997648897948974,0.9999995303882745,0.24714895636498113,0.015969444066286087,0.015969444066286087,0.015969444066286087,0.002230869258889926,1.5778483450952558,0.14869370907946555,0.14869370907946555,0.8000789945856419,0.8000789945856419,0.9999998980037341,0.9999998980037341,1.0,1.0,0.9999999016965546,0.0038766444717879267,0.0003072777180932462,0.0003072777180932462,0.0003072777180932462,1.9060547557956227,19.70895330329347,0.0030685317788039512,0.0030685317788039512,0.030265051464477,0.030265051464477,0.2645884007749181,0.2645884007749181,0.9537294401102641,0.9537294401102641,0.6010902040415026,-4.132795810699463,-4.146169185638428,-4.132795810699463,49,2.0492585716432195 0.13752423515278736 0.062924802978478217 2.6364640840167701,0.44919570066439324 0.75434425115555714 -1.0221301018974227 1.3085364033727902,10.272759308107197,0.028473641723394394,0.07616078946739435,10.301232949830592,0.0011866828426718712,,,,,
e1-v2,N12_i00_1.1xAcrit_s44,12,2,0,941157873a8b,1.1xAcrit,0.01178830224062556,0.01071663840056869,1.1,0.19822334062316602,12.999999999979208,44,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,321,96,1028,2,True,-0.2997648897948974,-0.25261168083239516,-0.29976488979489746,True,0.321,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,48,48,1.3218756853432454,0.4618768601949659,0.2997648897948974,0.999999639931668,0.3172862778274066,0.0417935810983181,0.0417935810983181,0.0417935810983181,-0.023834158468537595,1.2508699869453626,0.34748461165420386,0.34748461165420386,0.9860071048002936,0.9860071048002936,1.0,1.0,1.0,1.0,1.0000009426148608,0.11635905934963375,0.003759268671274185,0.003759268671274185,0.003759268671274185,1.5432594772178871,13.006581432076928,0.03696307558222356,0.03696307558222356,0.3138336912522194,0.3138336912522194,0.9768637003315093,0.9768637003315093,1.0,1.0,0.6010902040415026,-4.196219444274902,-4.195945739746094,-4.1973652839660645,46,0.38505090477492371 0.8108861395016167 1.274766337564649 3.0447811714676671,0.45956053435169558 1.3415578107518231 0.59338079001369659 3.4314830951536641,10.12204491533339,0.028377528302371502,0.07555501814931631,10.150422443635762,0.0011714715510606766,,,,,
e1-v2,N12_i00_1.1xAcrit_s45,12,2,0,941157873a8b,1.1xAcrit,0.01178830224062556,0.01071663840056869,1.1,0.19822334062316602,12.999999999979208,45,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,132,164,1028,2,True,-0.2997648897948974,-0.25261168083239516,-0.29976488979489746,True,0.132,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,9,9,1.3218756853432454,0.4618768601949659,0.2997648897948974,1.000000237287363,0.14152875589206815,0.011226643808186054,0.011226643808186054,0.011226643808186054,0.06462040265170108,2.3302892406093925,0.1067612551719136,0.1067612551719136,0.676648018820339,0.676648018820339,0.9999875044532939,0.9999875044532939,1.0,1.0,1.000000892177683,0.09892490936090326,0.004730256274342537,0.004730256274342537,0.004730256274342537,3.486252611867933,35.529081291893995,0.046308269523597345,0.046308269523597345,0.3775848307665196,0.3775848307665196,0.9912742717081495,0.9912742717081495,1.0,1.0,0.6010902040415026,-4.0122528076171875,-4.027624130249023,-4.0122528076171875,49,1.8005430614133757 1.660303899153966 2.3990779832738145 2.5500080338093531,0.77253819833875126 0.81145980358189096 2.2642091554808972 1.4689781169988905,10.211128083989024,0.028376949951052666,0.08032127469778061,10.239505033940077,0.001192798838019371,,,,,
e1-v2,N12_i00_1.1xAcrit_s46,12,2,0,941157873a8b,1.1xAcrit,0.01178830224062556,0.01071663840056869,1.1,0.19822334062316602,12.999999999979208,46,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,286,161,1028,2,True,-0.2997648897948974,-0.25261168083239516,-0.29976488979489746,True,0.286,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,23,23,1.3218756853432454,0.4618768601949659,0.2997648897948974,1.000000651388539,0.29725148336729035,0.035527441650629044,0.035527441650629044,0.035527441650629044,0.010546478340275523,1.4084901355640747,0.30353586987347214,0.30353586987347214,0.9731473259996735,0.9731473259996735,0.9999999999999998,0.9999999999999998,1.0,1.0,1.000000502429053,0.039459819523472106,0.004413793329149485,0.004413793329149485,0.004413793329149485,2.1285031980244864,19.82374177081831,0.04327150180625472,0.04327150180625472,0.3574793272659601,0.3574793272659601,0.9880085678617972,0.9880085678617972,1.0,1.0,0.6010902040415026,-4.127252101898193,-4.135659694671631,-4.127252101898193,49,2.8450397427097829 0.24261512621431053 0.85630314278475539 1.9536009066557216,0.55149719911277151 0.9493082926110249 0.62947988891693718 3.4809858623679424,10.1945974631235,0.028273816220462322,0.07543412316590548,10.222871279343963,0.0011896723881363869,,,,,
e1-v2,N12_i00_2xAcrit_s42,12,2,0,941157873a8b,2xAcrit,0.02143327680113738,0.01071663840056869,2.0,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,181,91,1028,2,True,-0.3383447880369447,-0.25261168083239516,-0.3383447880369448,True,0.181,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,15,15,1.3218756853432454,0.5213206538923203,0.3383447880369447,0.9999993144230138,0.19803815014165593,0.015203593298792839,0.015203593298792839,0.015203593298792839,-0.0005412983264018382,1.8676108671178593,0.142044914515845,0.142044914515845,0.7839045969124471,0.7839045969124471,0.9999997779476958,0.9999997779476958,1.0,1.0,0.9999986496393274,0.09732927773166011,0.004389485344290733,0.004389485344290733,0.004389485344290733,1.6491882587490712,13.615162147844696,0.04303788369231032,0.04303788369231032,0.3559086673066799,0.3559086673066799,0.9877121882167277,0.9877121882167277,1.0,1.0,0.6396701022835498,-4.153570652008057,-4.153420925140381,-4.153570652008057,49,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.38355237209734083 0.57167148599239592 2.1850758175750817 1.2282628436727985,10.163292866200209,0.028207436203956604,0.07563796825706959,10.191500302404165,0.001173173077404499,,,,,
e1-v2,N12_i00_2xAcrit_s43,12,2,0,941157873a8b,2xAcrit,0.02143327680113738,0.01071663840056869,2.0,0.19822334062316602,12.999999999979208,43,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,326,163,1028,2,True,-0.3383447880369447,-0.25261168083239516,-0.3383447880369448,True,0.326,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,19,19,1.3218756853432454,0.5213206538923203,0.3383447880369447,0.9999993798682554,0.323920627910411,0.016634441912174225,0.016634441912174225,0.016634441912174225,0.043788133859094316,1.313110680409141,0.15442928662858268,0.15442928662858268,0.8131473221598096,0.8131473221598096,0.999999948120801,0.999999948120801,1.0,1.0,0.9999999693425146,0.003743702062195098,0.00022959338093642145,0.00022959338093642145,0.00022959338093642145,1.891050615207866,19.496489616210468,0.0022935631706652027,0.0022935631706652027,0.022700354286639413,0.022700354286639413,0.2051642119152104,0.2051642119152104,0.8993591877600604,0.8993591877600604,0.6396701022835498,-4.092983245849609,-4.102700710296631,-4.092983245849609,49,2.0492585716432195 0.13752423515278736 0.062924802978478217 2.6364640840167701,0.52895254054622087 0.69730321498604442 -1.0658959927714327 1.3994763356622268,10.095640745013952,0.02826767321676016,0.07815667614340782,10.123908418230712,0.0010931696742773056,,,,,
e1-v2,N12_i00_2xAcrit_s44,12,2,0,941157873a8b,2xAcrit,0.02143327680113738,0.01071663840056869,2.0,0.19822334062316602,12.999999999979208,44,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,323,95,1028,2,True,-0.3383447880369447,-0.25261168083239516,-0.3383447880369448,True,0.323,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,39,39,1.3218756853432454,0.5213206538923203,0.3383447880369447,1.000000556910309,0.32952829933856265,0.03609263151884079,0.03609263151884079,0.03609263151884079,-0.016995892998820795,1.1896146850394356,0.3076064684244395,0.3076064684244395,0.9746761332362626,0.9746761332362626,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000014852630557,0.11793114786269143,0.0036788510624319315,0.0036788510624319315,0.0036788510624319315,1.5328308916485216,12.957830278988695,0.03618541952133292,0.03618541952133292,0.3082726941628626,0.3082726941628626,0.9749187488321145,0.9749187488321145,0.9999999999999999,0.9999999999999999,0.6396701022835498,-4.20166540145874,-4.20186710357666,-4.204204559326172,45,0.38505090477492371 0.8108861395016167 1.274766337564649 3.0447811714676671,0.44275723717570592 1.2928033238725978 0.58663574151457198 3.4181114094703355,10.229632025584579,0.028058000840246677,0.07584895845502615,10.257690026424825,0.0011528898030519485,,,,,
e1-v2,N12_i00_2xAcrit_s45,12,2,0,941157873a8b,2xAcrit,0.02143327680113738,0.01071663840056869,2.0,0.19822334062316602,12.999999999979208,45,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,176,177,1028,2,True,-0.3383447880369447,-0.25261168083239516,-0.3383447880369448,True,0.176,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,16,16,1.3218756853432454,0.5213206538923203,0.3383447880369447,0.9999997181510025,0.1894521466354604,0.017145616933703423,0.017145616933703423,0.017145616933703423,0.10316864212739266,2.0758764625524577,0.1588144813468222,0.1588144813468222,0.8226145985264414,0.8226145985264414,0.9999999691554277,0.9999999691554277,1.0,1.0,1.0000002701028734,0.10640413529381476,0.0043082754127681255,0.0043082754127681255,0.0043082754127681255,3.5056396614971344,35.06701632256015,0.04225702251536689,0.04225702251536689,0.3506336757262054,0.3506336757262054,0.9866679287378137,0.9866679287378137,1.0,1.0,0.6396701022835498,-3.966897964477539,-3.9843132495880127,-3.966897964477539,49,1.8005430614133757 1.660303899153966 2.3990779832738145 2.5500080338093531,0.84989147698171585 0.75452980762314703 2.2496630431841824 1.5839068527298148,10.107608742080629,0.02827067393809557,0.0803038738667965,10.135879416018724,0.0010651852935552597,,,,,
e1-v2,N12_i00_2xAcrit_s46,12,2,0,941157873a8b,2xAcrit,0.02143327680113738,0.01071663840056869,2.0,0.19822334062316602,12.999999999979208,46,lightning_gpu,single,2,50,adam_0.1,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,247,46,6,2,True,-0.2848269771745034,-0.19909386996995387,-0.28482697717450345,True,0.247,6,-0.19909386996995387,0.08246008551089888,0.15817536653349465,2,1,False,False,False,1.1763543666609393,0.2522455012773938,0.21357977527685781,0,0,1.3218756853432454,0.5213206538923203,0.3383447880369447,0.9999991492309757,0.2743593228848006,0.0013108052080497146,0.0013108052080497146,0.0013108052080497146,0.004941187129279278,1.6859543701428763,0.0130310022669744,0.0130310022669744,0.12292827588288324,0.12292827588288324,0.7306288376390859,0.7306288376390859,0.9999979885418413,0.9999979885418413,1.0000001940754313,0.04505034967587562,0.004593577701598406,0.004593577701598406,0.004593577701598406,2.184457595548767,19.790626174010093,0.044997772468099884,0.044997772468099884,0.3689789517977752,0.3689789517977752,0.9899898990520851,0.9899898990520851,1.0,1.0,0.6396701022835498,-4.15723180770874,-4.150936126708984,-4.159992694854736,48,2.8450397427097829 0.24261512621431053 0.85630314278475539 1.9536009066557216,1.4273865707256146 -1.3700771298751031 1.5496785216597959 0.75202625960786285,10.1079934919253,0.028086058795452118,0.07549298461526632,10.136079550720751,0.0010206187143921852,,,,,
