n_assets,n_select,feasible_set_size,solver,energy_optimum,energy_quantum,reported_gap_pct,objective_range,gap_of_objective_range_pct,deflation_factor,rank,percentile,sharpe_optimum,sharpe_quantum,sharpe_delta_pct
8,2,28,lightning_gpu,-36.252611680776944,-36.252611680776944,0.0,0.6360036898294723,0.0,57.00063106630267,1,3.571428571428571,1.3218756853432454,1.3218756853432454,0.0
12,2,66,lightning_gpu,-52.25261168074922,-52.25261168074922,0.0,0.6490147388383107,0.0,80.51067033435574,1,1.5151515151515151,1.3218756853432454,1.3218756853432454,0.0
16,3,560,lightning_gpu,-153.26711059662722,-153.26711059662722,0.0,1.2705106296258748,0.0,120.63426076313863,1,0.17857142857142858,1.3851408274006345,1.3851408274006345,0.0
20,4,4845,lightning_gpu,-336.15232144200877,-335.9747295240489,0.05283078730441684,1.9296468975433072,9.20333757362474,174.20405871663598,80,1.6511867905056758,1.4732051545372367,1.5323130382754206,4.0121963703521635
24,4,10626,lightning_gpu,-400.1523214418979,-400.02749210342733,0.031195455275826886,1.929646897543421,6.4690249096612975,207.37074847803532,43,0.4046677959721438,1.4732051545372367,1.200771740466987,-18.492564544130065
28,5,98280,lightning_gpu,-725.1676098057208,-724.9941841425967,0.02391525225050851,3.023463850462008,5.735992613158602,239.84662812982194,111,0.11294261294261296,1.6658055803404568,1.3628248334178308,-18.18824180314625
30,6,593775,lightning_gpu,-1115.9576980794068,-1115.6388476652116,0.028571908661402665,3.999925715645759,7.971408392609705,278.994605753383,844,0.14214138352069386,1.552609162714545,1.302574739583623,-16.104144503035645
