sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
seeds,16,3,42,2,-153.26711059662722,-153.26711059662722,0.0,278.60340831708163,True,1.3851408274006345,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,16,3,43,2,-153.00603560253927,-153.26711059662722,0.17033986813717217,281.47863424383104,True,1.0500582895362105,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,16,3,44,2,-153.26711059662722,-153.26711059662722,0.0,275.68402643781155,True,1.3851408274006345,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,16,3,45,2,-153.24068946238307,-153.26711059662722,0.017238619649900953,255.7756822220981,True,1.4919848850262931,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,16,3,46,2,-153.22574116732136,-153.26711059662722,0.02699171997489859,255.54476040042937,True,1.4547087673515529,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,20,4,42,2,-335.8630986891205,-336.15232144200877,0.0860391954598439,875.2799271596596,True,1.0255832694764193,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,20,4,43,2,-335.97543209602736,-336.15232144200877,0.05262178325069936,870.4454072695225,True,0.9963951630234823,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,20,4,44,2,-336.0926602541601,-336.15232144200877,0.01774825995333253,863.9007355682552,True,1.3139748467270016,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,20,4,45,2,-335.91285280148,-336.15232144200877,0.07123813380240288,866.4093130649999,True,1.2522395138773195,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
seeds,20,4,46,2,-336.1404648963906,-336.15232144200877,0.0035271348320044726,877.6473447056487,True,1.4360383792399112,exact,braket_sv1,double,50,1000,2023-08-06,2026-08-05
