n_assets,instance,penalty_label,qaoa_seed,best_expectation_single,best_expectation_double,best_expectation_diff,final_P_F_single,final_P_F_double,final_P_F_diff,final_P_tau_main_single,final_P_tau_main_double,final_P_tau_main_diff,final_Q_tau_main_1000_single,final_Q_tau_main_1000_double,final_Q_tau_main_1000_diff,final_D_cond_single,final_D_cond_double,final_D_cond_diff,within_tau_main_agree,same_stop_reason
12,0,Aheur,42,-1.5170698165893557,-1.5170629913452904,-6.825244065034042e-06,0.1835216046310961,0.1836755448366281,-0.0001539402055319,0.0026083278935402,0.0026112878193295,-2.959925789242004e-06,0.9265929653091874,0.9268104902945598,-0.0002175249853723,0.0127690467197192,0.0127106768306468,5.836988907243802e-05,False,True
12,0,Aheur,43,-0.8526636362075806,-0.8526642080763068,5.71868726262359e-07,0.0106011798343388,0.0106054855377536,-4.305703414832912e-06,0.0001598798844497,0.0001599450702702,-6.51858204892789e-08,0.1477647426356905,0.1478203033641399,-5.556072844942195e-05,0.001247011463529,0.0012466344582754,3.7700525359462417e-07,True,False
12,0,Amargin,42,-4.3168463706970215,-4.2641131946470505,-0.0527331760499709,0.4429330830462277,0.3773656869529591,0.0655673960932685,0.0069692311808466,0.0031259741387273,0.0038432570421193,0.999082290528998,0.956320229507805,0.042762061021193,0.0335148822159865,0.1232957515570931,-0.0897808693411065,True,True
12,0,Amargin,43,-0.9112809896469116,-0.9112814792099048,4.895629930334877e-07,0.0128679092013044,0.0128638596652839,4.049536020430192e-06,0.0002306660608155,0.0002305761894552,8.987136026683746e-08,0.2060165551943432,0.2059451791540235,7.137604031962064e-05,0.0800499262687838,0.0800485292562828,1.3970125009865608e-06,False,False
12,1,Aheur,42,-1.534980535507202,-1.53497745146805,-3.084039152279061e-06,0.1785133411176502,0.1785100265422635,3.3145753867702688e-06,0.0024998430162668,0.00249974193514,1.010811267613057e-07,0.918158664656242,0.9181503708899909,8.29376625122169e-06,0.0137969538718111,0.0138006031480594,-3.6492762483658634e-06,True,True
12,1,Aheur,43,-0.8597674369812012,-0.8597673654607753,-7.152042591496155e-08,0.0106890975002897,0.0106943253841395,-5.227883849717382e-06,0.0001613923086551,0.0001614705040339,-7.819537876205978e-08,0.1490529164166638,0.1491194646872344,-6.654827057064883e-05,0.0014751343979464,0.0014759730368938,-8.386389474621808e-07,True,False
12,1,Amargin,42,-1.890912771224976,-1.890916183804252,3.4125792762740303e-06,0.1920593967151944,0.1927864447296654,-0.0007270480144709,0.0008886721916496,0.0008902159204008,-1.5437287512092349e-06,0.5889610478451499,0.5895956549842232,-0.0006346071390732,0.3671138309673247,0.3674656796847811,-0.0003518487174564,False,False
12,1,Amargin,43,-1.1232550144195557,-1.1232575007377228,2.4863181671275214e-06,0.0210570427007041,0.0210390816831103,1.7961017593860762e-05,0.0003715999773703,0.000371296339777,3.036375933511632e-07,0.3104175694866123,0.3102080767179608,0.0002094927686514,0.041561464304955,0.0415949104760262,-3.344617107124692e-05,False,True
16,0,Aheur,42,-2.1704742908477783,-2.1709233608102387,0.0004490699624604,0.2859552619047463,0.2823525754909585,0.0036026864137878,0.0013879108882974,0.001370527186183,1.7383702114385016e-05,0.7506443101992394,0.7462655972619967,0.0043787129372426,0.0156562474959592,0.015627118795805,2.9128700154229525e-05,True,False
16,0,Aheur,43,-1.2599902153015137,-1.259973743748408,-1.6471553105690262e-05,0.0006491027600077,0.0006506148787816,-1.5121187739248945e-06,3.514141212690447e-06,3.5211673823853194e-06,-7.026169694872429e-09,0.0035079799978562,0.0035149815199203,-7.001522064085941e-06,0.0061378226329931,0.0060896073744613,4.8215258531727166e-05,False,False
