n_assets,n_select,penalty_used,penalty_min,penalty_ratio,binding_cardinality,binding_is_exact,objective_optimum,objective_range,abs_energy_optimum_used,abs_energy_optimum_min,gap_at_penalty_used_pct,gap_at_penalty_min_pct,gap_of_objective_range_pct
8,2,8.999999999986137,0.010716638400568579,839.8155898876495,1,True,-0.2526116808323948,0.6360036898294723,36.252611680776944,0.29547823443466914,0.0,0.0,0.0
12,2,12.999999999979208,0.010716638400568579,1213.0669631709775,1,True,-0.2526116808323877,0.6490147388383107,52.25261168074922,0.29547823443466203,0.0,0.0,0.0
16,3,16.999999999972275,0.04411181027848038,385.38431981481386,2,True,-0.267110596876762,1.2705106296258748,153.26711059662722,0.6641168893830853,0.0,0.0,0.0
20,4,20.999999999965347,0.11478915431353509,182.94411284367465,3,True,-0.15232144256322044,1.9296468975433072,336.15232144200877,1.988947911579782,0.05283078730441684,8.928937601931944,9.20333757362474
24,4,24.999999999958415,0.11478915431353509,217.79061052818122,3,True,-0.1523214425632773,1.929646897543421,400.1523214418979,1.9889479115798387,0.031195455275826886,6.276149201485989,6.4690249096612975
28,5,28.999999999951484,0.1656753506121532,175.04112647294542,4,True,-0.1676098069336831,3.023463850462008,725.1676098057208,4.309493572237513,0.02391525225050851,4.02427014258146,5.735992613158602
30,6,30.999999999948017,0.20991172565526275,147.68112597415927,5,True,0.04230191872193245,3.999925715645759,1115.9576980794068,7.514520204867527,0.028571908661402665,4.243124051867006,7.971408392609705
