n_assets,penalty_label,runs,runs_without_feasible_mass,P_F_median,conditional_quality_rate_median,feasible_set_quality_share,enrichment_R_tau_median,enrichment_R_tau_p25,enrichment_R_tau_p75,runs_with_R_tau_above_1
12,A0,45,0,0.1987067385634873,0.09045411370848225,0.015151515151515152,4.5102280038598,2.613775514603231,6.5583855567658365,40
12,1.1xAcrit,105,0,0.257418918190524,0.029985782892917746,0.015151515151515152,1.8346725891634137,1.191233610810971,2.9928798602237565,86
12,2xAcrit,105,0,0.2768135280985007,0.02208055402214027,0.015151515151515152,1.3980554684212039,0.9500458486732656,2.2623295543742477,76
12,5xAcrit,105,0,0.24370194114635524,0.019566646457438445,0.015151515151515152,1.225657015125207,0.9197156810143835,1.7320125728383842,71
12,10xAcrit,105,0,0.1900712714996189,0.01788518837440118,0.015151515151515152,1.1288736964921493,0.9260598449839045,1.5048967498849244,65
12,Amargin,150,0,0.3278395322849974,0.02203701804364477,0.015151515151515152,1.40378885187959,1.0383365942303167,1.9703015529038215,114
12,Aheur,150,0,0.17894412658642977,0.015185208871899777,0.015151515151515152,0.9985422462113864,0.9914251057248088,1.0091127098318478,68
16,1.1xAcrit,150,0,0.24500366982323385,0.004654728920541537,0.0017857142857142857,2.2591208282891406,1.3995238961023255,3.9096974691700233,120
16,2xAcrit,150,0,0.275322192661406,0.0033306708703761704,0.0017857142857142857,1.6462260554285086,1.1996866020495516,2.451901713406102,119
16,5xAcrit,150,0,0.358763086842373,0.0025958336708470312,0.0017857142857142857,1.2714506809037334,0.8735080047047159,1.6954828078783806,97
16,10xAcrit,150,0,0.30875639014993794,0.0020826565459300256,0.0017857142857142857,1.0972578522293674,0.9083635495863387,1.4305901727046257,94
16,Amargin,150,0,0.3006080320919864,0.0030147573159537413,0.0017857142857142857,1.553818218119149,1.2142897756115387,2.039867864321996,125
16,Aheur,150,0,0.22930728540814016,0.0017845992138780225,0.0017857142857142857,0.997635280226373,0.9951457879002514,1.0026359726963394,50
20,1.1xAcrit,150,0,0.23772236672732006,0.0012739076546745653,0.000412796697626419,3.0993684300914923,1.5175580777798003,7.87724352052172,122
20,2xAcrit,150,0,0.2237195011279658,0.0006564762587699914,0.000412796697626419,1.552569908051253,0.7438289014685824,4.58908140455945,111
20,5xAcrit,150,0,0.23284351457914454,0.00038885944203639975,0.000412796697626419,0.9652059718968062,0.7555217907548363,1.747172375156258,57
20,10xAcrit,150,0,0.21905061280813243,0.0003740907297366072,0.000412796697626419,0.9727700578502768,0.8735173830391203,1.3559393482525235,64
20,Amargin,150,0,0.30267274139850997,0.00041856180234593505,0.000412796697626419,1.0144717945896105,0.8035935009218109,2.1010879015456725,85
20,Aheur,150,0,0.1672784861711989,0.00040719550790625276,0.000412796697626419,1.008781552493871,0.9940912754639841,1.012425980717842,90
