n_assets,treatment,control,pairs,skipped_zero_gap,skipped_no_feasible_shot,g_off_ratio_median,g_off_ratio_geomean,solution_part_geomean,denominator_part_geomean,solution_part_median,solution_part_p25,solution_part_p75,denominator_part_median,solution_part_below_1_rate
12,Amargin,Aheur,3,47,0,44.39977625767044,18.669512624448924,0.37637094283075656,49.604022255363326,0.9166993371538612,0.46916417255322884,1.8028309113220702,48.43439332630199,0.6666666666666666
16,Amargin,Aheur,17,25,8,44.71829641299101,69.05325099622746,2.050425990497994,33.67751448539544,1.6220608800683984,1.0,2.7692889691990286,34.301343371825844,0.23529411764705882
20,Amargin,Aheur,44,6,0,17.95253488646856,12.400390037970846,0.4521995048438312,27.422387475309968,0.6726260677518201,0.2145983019695231,1.1285446987174763,27.77678616644454,0.6818181818181818
