,mu,2914.T,3382.T,3407.T,4063.T,4307.T,4502.T,4519.T,4523.T,4543.T,4568.T,4661.T,4901.T,5108.T,5401.T,5713.T,6098.T,6301.T,6367.T,6501.T,6503.T,6645.T,6702.T,6758.T,6762.T,6857.T,6861.T,6902.T,6954.T,6971.T,7011.T,7203.T,7267.T,7733.T,7751.T,7832.T,7974.T,8031.T,8035.T,8058.T,8306.T,8316.T,8411.T,8766.T,8801.T,9022.T,9201.T,9202.T,9432.T,9433.T,9984.T
2914.T,0.2371112434883336,0.030326715628171002,0.013618049414237002,0.016785425864602046,0.012382010308453881,0.0029315445933751957,0.0095333511250382096,0.0095056514692262607,0.0091524169272337169,0.0097945181319555076,0.013169651634576745,0.010178849062862831,0.0096232666267749012,0.014910449866406239,0.018054466281808623,0.01123547441564292,0.011551089934776498,0.019867297328662034,0.013112153554839447,0.019959381509778489,0.01436669858881973,0.012543434039172647,0.0095548252332484911,0.013667048104413257,0.012249497665816528,0.0088780466599492919,0.012925478298415552,0.018589779559657564,0.013737467989190127,0.010794974276626318,0.017846041260347143,0.014396475844135866,0.018278861226214756,0.012549332594111059,0.013920209885559627,0.0088180823172693355,0.0052778521641162479,0.019070158034101767,0.0082704736749236087,0.01642220237870869,0.015782695307997197,0.015794515822842855,0.014355029962567581,0.015298846052929587,0.018680963802590728,0.011398752733287087,0.014089098852523177,0.013196678780695581,0.011827114426819173,0.0097302580297921014,0.012981761829799278
3382.T,0.25261955722244728,0.013618049414237002,0.067143423118393011,0.024395921965996117,0.018606765531501288,0.0088242784246175647,0.016288261825458852,0.018014528352233921,0.01730636264079978,0.02068507664231415,0.023832674169046161,0.018898897199974774,0.016174230002350558,0.02259319257975087,0.033568155803388837,0.020342081328999933,0.026577205684756616,0.024765521828509975,0.01972540275588671,0.026578137737056032,0.022101568647632106,0.01840437833277583,0.01626102632446097,0.016691589660444279,0.018588227310344065,0.010103800773161522,0.020183119149593587,0.02354218642275174,0.020896670298197587,0.01799826460155874,0.026985893648387643,0.020205931970156018,0.02767202412296909,0.020730798537171774,0.021560174768595591,0.012770726062401065,0.0080916541633772304,0.026435515422889695,0.012215840404753181,0.021920325385595973,0.026713578471928165,0.026749301527152682,0.02203370393490894,0.022474231156653819,0.029157174864330972,0.024567315690882462,0.02606453256297972,0.024445954990727662,0.018086852504627642,0.015970721324561135,0.022189431822188042
3407.T,0.070840499949903754,0.016785425864602046,0.024395921965996117,0.060158987693007517,0.035138943774982383,0.01323940027419448,0.017865939143698471,0.019958315052593992,0.016896521693585541,0.025839172051147028,0.021224917182666472,0.018636295075114342,0.024594061684735369,0.03158383628579315,0.041429869993929273,0.039739646319855659,0.033558407847279273,0.040417104669498993,0.034943731546533657,0.039783500213955963,0.030600376783976917,0.031175532273086358,0.021313938427098184,0.030872955543305838,0.0306992211471947,0.02500249079413179,0.028814725783830153,0.04170976912323586,0.035569612841096256,0.029201713050277172,0.039599960443113355,0.031895483740295993,0.040954111964342961,0.025603536987414729,0.025812220623937676,0.019804885854133904,0.0098183129704029221,0.036198668493854003,0.02384753218741642,0.028954358893238368,0.029028484653990206,0.028688357359628137,0.02429490861422522,0.028003885572547814,0.034807321340532188,0.024331467763863641,0.026894647298315231,0.023132460908036702,0.015175000847553317,0.011541290719016835,0.028273505659141222
4063.T,0.26393223163543994,0.012382010308453881,0.018606765531501288,0.035138943774982383,0.078944551572267027,0.032369911058670084,0.014986291264477959,0.032247654792350061,0.015901837107809642,0.034129064839635043,0.035023004986742538,0.022706133396202359,0.034012307556569761,0.029361037955342926,0.032615278526519055,0.038486948355747168,0.052614171740553849,0.038085258811649932,0.046448745322291575,0.040602714129332231,0.029281707950876736,0.051268875414462942,0.035144499953269959,0.045775806645119745,0.050848134281968979,0.063443591085299206,0.051649038645961987,0.04213694634848552,0.04694874156298455,0.031934924406215343,0.027720446773349571,0.032034000209626996,0.032514604207427432,0.036877478417268281,0.019361633533412817,0.031276490370799916,0.019967149727835067,0.034536276181714044,0.061171915485130908,0.02807751419646675,0.02166171548429123,0.020717588702268194,0.0167952562632082,0.021874471162777253,0.023845209402145229,0.013443530044834111,0.015395538348233527,0.013683068828069096,0.010939428269829849,0.0095514925843219033,0.043018446313025496
4307.T,0.18898660981052232,0.0029315445933751957,0.0088242784246175647,0.01323940027419448,0.032369911058670084,0.10160167355952923,0.013065603475205445,0.033126706346052824,0.023389495203342686,0.031223927124562765,0.023003611816722083,0.021909679535484193,0.027997105198268625,0.013091237245332172,0.012333207418539292,0.020341581391383371,0.043371914973631701,0.0099838202407148673,0.03421473949111456,0.020158852518223882,0.018280764481571701,0.037675660564243721,0.038731896682291107,0.038940054587035207,0.030771827121098674,0.041727028881461917,0.04004852019095613,0.022483260169662709,0.028425007904429072,0.017977152173914532,0.0046355067331976946,0.017743797816766257,0.014810496462617338,0.029149219065000335,0.0049876067350696253,0.034383360282354919,0.023817751845850863,0.014832504043196868,0.043058871399548414,0.013127064944334584,0.007090951058433723,0.0070078358417407279,0.0058957383395922469,0.014109301540257491,0.014307065219682507,0.0063875832672154525,0.0013214408404739126,0.0055653448195414536,0.0087786371409800581,0.0065466713358585359,0.036847127730610787
4502.T,0.10209386312110444,0.0095333511250382096,0.016288261825458852,0.017865939143698471,0.014986291264477959,0.013065603475205445,0.035798742610100222,0.022512679080435381,0.024843287480346348,0.019660746697630346,0.025326104601376638,0.016156111413376778,0.013240765905176711,0.012681411389095777,0.02010044087517188,0.015853450403571657,0.019622821612760199,0.018474588316406863,0.014104007985828833,0.021998002245103846,0.015752570246129916,0.016713169438649624,0.019004667317298329,0.01950745160903921,0.01262653108300596,0.01103226515252631,0.018593717693804409,0.016634334943717195,0.014450347079913006,0.016394206934671581,0.018678925466823929,0.015461284929566523,0.01734604934004453,0.018044443282542403,0.014133071741118644,0.012458218819692633,0.010913467388188011,0.01729069609218141,0.011095453974967357,0.014339074151848241,0.013825878897260535,0.013734564380882624,0.01262155876604836,0.016225075370171947,0.018938399519268383,0.016145951821583217,0.016302576946900654,0.016530621762707899,0.013091147702110072,0.011059612119774969,0.022198437206333573
4519.T,-0.0037872383768119775,0.0095056514692262607,0.018014528352233921,0.019958315052593992,0.032247654792350061,0.033126706346052824,0.022512679080435381,0.077886144877366531,0.037622161671024397,0.035955500686167007,0.045608366067006363,0.024139939034680605,0.024257800118264075,0.017554223548832543,0.016616396868173317,0.022422394026840001,0.04188847677021363,0.018757189556261385,0.035903760828911065,0.026919092014859033,0.020293926772578894,0.037325084145606126,0.031194589796154668,0.033119287872972442,0.028858653462279886,0.03222900999221464,0.035348690776078544,0.023203498981591977,0.029848984672336272,0.022214968710485693,0.015509545401569055,0.02044798308430356,0.018483263271264011,0.030636854978072146,0.013838217501295901,0.030770374845113187,0.021492557682138414,0.020812553794833565,0.030626930190453802,0.017658451130511822,0.01126231314067948,0.010570659605997968,0.01037299202799865,0.018266949508985157,0.020022634188164672,0.015080262421661026,0.013294777720884478,0.015436609273055199,0.013358395577435313,0.013828242268868375,0.032758581657255217
4523.T,0.11906671728152735,0.0091524169272337169,0.01730636264079978,0.016896521693585541,0.015901837107809642,0.023389495203342686,0.024843287480346348,0.037622161671024397,0.16962444846723781,0.029586540417562632,0.040273104022066006,0.017865658617417544,0.019952861916334247,0.014240242050322992,0.012235434345907386,0.0060617951563036489,0.025707866597033696,0.016105897895725429,0.025442938749351315,0.025811067058770273,0.015529657063307169,0.024674530522338246,0.023765289499068858,0.025960214029955481,0.016977473078658128,0.025353843996040747,0.025883449719798137,0.015704094887500287,0.02000276887172368,0.017206590924220545,0.011173844509740011,0.015306900189822226,0.010580960776712492,0.02432078978545401,0.01530553872391008,0.016363167488211181,0.017964258486812122,0.013266526148860808,0.0180280070526222,0.01077905074598254,0.0062354732956004391,0.0088986744790327567,0.0087306342442699594,0.0085078249497562847,0.020297714587064815,0.020107972424583065,0.023702617763589562,0.019459594137111371,0.0096639462201443,0.010206313244489545,0.028784747810404597
4543.T,0.069531412131396908,0.0097945181319555076,0.02068507664231415,0.025839172051147028,0.034129064839635043,0.031223927124562765,0.019660746697630346,0.035955500686167007,0.029586540417562632,0.072556862395242769,0.036230288075439633,0.024317998759926709,0.028676071677694457,0.022179062214726139,0.026369911552339927,0.024839184367487208,0.046068343608956765,0.026622405117348789,0.039343506579727322,0.03012051024275245,0.024109438544726528,0.038496629530100954,0.03099036592560301,0.039765816922604301,0.036520658016880571,0.037514904865049659,0.038799928165872744,0.031686342199535457,0.038959025497723898,0.029871305587069297,0.021112150760576705,0.024785224851938389,0.027291067605946431,0.052540514506554364,0.019536316698089511,0.037448993813817555,0.017672683180814976,0.025686153387303418,0.036974805103143701,0.023026727409199407,0.014411567332627866,0.014423817126825923,0.011583904670758838,0.019633825311213018,0.025075685323542183,0.019577639422103398,0.014992463815520633,0.014967111157585892,0.011846283783644345,0.014473920346290182,0.03870326522460215
4568.T,0.18101066965846252,0.013169651634576745,0.023832674169046161,0.021224917182666472,0.035023004986742538,0.023003611816722083,0.025326104601376638,0.045608366067006363,0.040273104022066006,0.036230288075439633,0.12855971092714702,0.020436580463857896,0.026438379572772699,0.025989708269517436,0.020353847485068324,0.020027395079078025,0.038847195890759446,0.025520719638348798,0.036795262277295231,0.03177511463094182,0.022473691564220698,0.032378230760292649,0.030370495395101452,0.035002205742844905,0.030789187107303755,0.032199244039016917,0.035352611323405385,0.028426808916393494,0.030528262596067033,0.026176542188523885,0.024856832682551965,0.024352039934112168,0.022987993480104708,0.040659790972126492,0.015765102379601274,0.033099350032325836,0.017012409624903951,0.025816583244939264,0.028620183941350311,0.018516673854473597,0.015269321106093262,0.016461378136356366,0.012501953950120005,0.019491847978722755,0.027687466392216867,0.01978500167073162,0.017989956948469624,0.018065106369848403,0.019304776786803583,0.018512051843347629,0.042478612158590112
